ordem,evidence_id,pmid,doi,zotero_key,titulo,tipos_documentais_pubmed,relacao_editorial,pmid_relacionado,titulo_relacionado,doi_relacionado,citacao_relacao_pubmed,url_fonte_primaria,url_relacao_primaria,decisao_assistida_ia,risco,justificativa_ia,proxima_acao,limite_de_claim,claim_ready,status_adjudicacao_origem,revisor_humano,data_humana,decisao_humana,justificativa_humana,opcoes_decisao_humana
1,EV-1171,26159007,,9UE7LEZP,Performance differences between male and female marines on standardized physical fitness tests and combat proxy tasks: identifying the gap.,"Comparative Study; Journal Article; Research Support, U.S. Gov't, Non-P.H.S.; Retracted Publication",RetractionIn,26357708,Retracted: Performance differences between male and female marines on standardized physical fitness tests and combat proxy tasks: identifying the gap.,,US Army Med Dep J. 2015 Jul-Sep:32.,https://pubmed.ncbi.nlm.nih.gov/26159007/,https://pubmed.ncbi.nlm.nih.gov/26357708/,Confirmar bloqueio,CRÍTICO,PubMed registra RetractionIn para o PMID 26357708; o artigo permanece bloqueado e não pode sustentar claims.,Revisor humano deve confirmar o bloqueio e documentar a justificativa; não excluir fisicamente o registro.,This retracted article cannot support any scientific conclusion in this project.,No / Pending,Pending,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial
2,EV-0059,42412865,10.1371/journal.pone.0353341,UR4UXGB5,Correction: Salivary biomarkers of tactical athlete readiness: A systematic review.,Published Erratum,ErratumFor,40299918,Salivary biomarkers of tactical athlete readiness: A systematic review.,10.1371/journal.pone.0321223,PLoS One. 2025 Apr 29;20(4):e0321223. doi: 10.1371/journal.pone.0321223.,https://pubmed.ncbi.nlm.nih.gov/42412865/,https://pubmed.ncbi.nlm.nih.gov/40299918/,Investigar relação editorial,ALTO,O registro é uma correção do PMID 40299918; deve ser vinculado ao artigo corrigido sem ser tratado como evidência independente.,Ler a correção e o artigo relacionado; decidir se o aviso deve ser excluído como unidade de evidência ou apenas vinculado.,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation.",No / Pending,Pending,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial
3,EV-0063,42400068,10.1186/s13011-026-00746-1,MRP2ZHSP,Perspectives on harm reduction kit implementation in heterogeneous outpatient clinics.,Journal Article,UpdateOf,41646313,Perspectives on Harm Reduction Kit Implementation in Heterogeneous Outpatient Clinics.,10.21203/rs.3.rs-6059606/v1,Res Sq. 2026 Jan 25:rs.3.rs-6059606. doi: 10.21203/rs.3.rs-6059606/v1.,https://pubmed.ncbi.nlm.nih.gov/42400068/,https://pubmed.ncbi.nlm.nih.gov/41646313/,Investigar relação editorial,MODERADO,O registro atualiza o preprint PMID 41646313; é necessário confirmar a versão de registro e evitar dupla contagem.,Comparar versões; manter separadas até decisão humana e definir qual versão segue para texto completo.,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation.",No / Pending,Pending,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial
4,EV-0106,42088002,10.3389/fpsyt.2026.1837016,7587TZZW,Correction: Innovating military suicide prevention: learnings from the Australian Defence SafeSide Project.,Published Erratum,ErratumFor,41908109,Innovating military suicide prevention: learnings from the Australian Defence SafeSide Project.,10.3389/fpsyt.2026.1757232,Front Psychiatry. 2026 Mar 13;17:1757232. doi: 10.3389/fpsyt.2026.1757232.,https://pubmed.ncbi.nlm.nih.gov/42088002/,https://pubmed.ncbi.nlm.nih.gov/41908109/,Investigar relação editorial,ALTO,O registro é uma correção do PMID 41908109; deve ser vinculado ao artigo corrigido sem ser tratado como evidência independente.,Ler a correção e o artigo relacionado; decidir se o aviso deve ser excluído como unidade de evidência ou apenas vinculado.,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim.",No / Pending,Pending,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial
5,EV-0128,41908109,10.3389/fpsyt.2026.1757232,BNNMXLW6,Innovating military suicide prevention: learnings from the Australian Defence SafeSide Project.,Journal Article,ErratumIn,42088002,Correction: Innovating military suicide prevention: learnings from the Australian Defence SafeSide Project.,10.3389/fpsyt.2026.1837016,Front Psychiatry. 2026 Apr 20;17:1837016. doi: 10.3389/fpsyt.2026.1837016.,https://pubmed.ncbi.nlm.nih.gov/41908109/,https://pubmed.ncbi.nlm.nih.gov/42088002/,Investigar relação editorial,ALTO,"PubMed informa correção posterior no PMID 42088002; conteúdo, metadados ou interpretação podem ter sido alterados.","Comparar artigo e correção; registrar impacto sobre elegibilidade, dados e qualquer futura síntese.","Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation.",No / Pending,Pending,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial
6,EV-0202,41317041,10.1093/milmed/usaf585,SEC3AQXF,Wilderness Medicine Training Effect on Perceived Confidence Practicing in Deployed Environments.,Journal Article,ErratumIn,41693123,Correction to: Wilderness Medicine Training Effect on Perceived Confidence Practicing in Deployed Environments.,10.1093/milmed/usag033,Mil Med. 2026 Jul 1;191(7-8):e1775. doi: 10.1093/milmed/usag033.,https://pubmed.ncbi.nlm.nih.gov/41317041/,https://pubmed.ncbi.nlm.nih.gov/41693123/,Investigar relação editorial,ALTO,"PubMed informa correção posterior no PMID 41693123; conteúdo, metadados ou interpretação podem ter sido alterados.","Comparar artigo e correção; registrar impacto sobre elegibilidade, dados e qualquer futura síntese.","Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation.",No / Pending,Pending,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial
7,EV-0217,41220806,10.3389/fbioe.2025.1709142,EUEEG7IZ,Correction: Biomechanically optimized 3D-printed titanium prostheses with stiffener arrangement for critical femoral diaphyseal defects: early weight-bearing capacity and combat readiness validated through integrated biomechanical-FEA approach.,Published Erratum,ErratumFor,41040412,Biomechanically optimized 3D-Printed titanium prostheses with stiffener arrangement for critical femoral diaphyseal defects: early weight-bearing capacity and combat readiness validated through integrated biomechanical-FEA approach.,10.3389/fbioe.2025.1642787,Front Bioeng Biotechnol. 2025 Sep 17;13:1642787. doi: 10.3389/fbioe.2025.1642787.,https://pubmed.ncbi.nlm.nih.gov/41220806/,https://pubmed.ncbi.nlm.nih.gov/41040412/,Investigar relação editorial,ALTO,O registro é uma correção do PMID 41040412; deve ser vinculado ao artigo corrigido sem ser tratado como evidência independente.,Ler a correção e o artigo relacionado; decidir se o aviso deve ser excluído como unidade de evidência ou apenas vinculado.,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation.",No / Pending,Pending,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial
8,EV-0220,41208212,10.1093/tbm/ibaf054,4QWKTX4Z,"Using the Consolidated Framework for Implementation Research (CFIR) to understand student perceptions of reach, relevance, and fit of opioid overdose education and naloxone distribution programs on university campuses.",Journal Article,UpdateOf,40894045,Applying the Consolidated Framework for Implementation Research (CFIR) to understand college health administrator perceptions on adopting and implementing opioid overdose education and naloxone distribution (OEND) programs among universities nationally.,10.21203/rs.3.rs-7313339/v1,Res Sq. 2025 Aug 21:rs.3.rs-7313339. doi: 10.21203/rs.3.rs-7313339/v1.,https://pubmed.ncbi.nlm.nih.gov/41208212/,https://pubmed.ncbi.nlm.nih.gov/40894045/,Investigar relação editorial,MODERADO,O registro atualiza o preprint PMID 40894045; é necessário confirmar a versão de registro e evitar dupla contagem.,Comparar versões; manter separadas até decisão humana e definir qual versão segue para texto completo.,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation.",No / Pending,Pending,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial
9,EV-0240,41040412,10.3389/fbioe.2025.1642787,GT2QB4J2,Biomechanically optimized 3D-Printed titanium prostheses with stiffener arrangement for critical femoral diaphyseal defects: early weight-bearing capacity and combat readiness validated through integrated biomechanical-FEA approach.,Journal Article,ErratumIn,41220806,Correction: Biomechanically optimized 3D-printed titanium prostheses with stiffener arrangement for critical femoral diaphyseal defects: early weight-bearing capacity and combat readiness validated through integrated biomechanical-FEA approach.,10.3389/fbioe.2025.1709142,Front Bioeng Biotechnol. 2025 Oct 27;13:1709142. doi: 10.3389/fbioe.2025.1709142.,https://pubmed.ncbi.nlm.nih.gov/41040412/,https://pubmed.ncbi.nlm.nih.gov/41220806/,Investigar relação editorial,ALTO,"PubMed informa correção posterior no PMID 41220806; conteúdo, metadados ou interpretação podem ter sido alterados.","Comparar artigo e correção; registrar impacto sobre elegibilidade, dados e qualquer futura síntese.","Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation.",No / Pending,Pending,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial
10,EV-0325,40299918,10.1371/journal.pone.0321223,HNGGU78Y,Salivary biomarkers of tactical athlete readiness: A systematic review.,Journal Article; Systematic Review,ErratumIn,42412865,Correction: Salivary biomarkers of tactical athlete readiness: A systematic review.,10.1371/journal.pone.0353341,PLoS One. 2026 Jul 7;21(7):e0353341. doi: 10.1371/journal.pone.0353341.,https://pubmed.ncbi.nlm.nih.gov/40299918/,https://pubmed.ncbi.nlm.nih.gov/42412865/,Investigar relação editorial,ALTO,"PubMed informa correção posterior no PMID 42412865; conteúdo, metadados ou interpretação podem ter sido alterados.","Comparar artigo e correção; registrar impacto sobre elegibilidade, dados e qualquer futura síntese.","Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation.",No / Pending,Pending,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial
11,EV-0540,37952191,10.1093/milmed/usad431,KXHMGT9N,"Nasal Decolonization in Congregant Settings: Reducing Infection Spread, Cutting Costs, and Improving Operational Readiness.",Journal Article,ErratumIn,39846215,"Correction To: Nasal Decolonization in Congregant Settings: Reducing Infection Spread, Cutting Costs, and Improving Operational Readiness.",10.1093/milmed/usaf019,Mil Med. 2025 Apr 23;190(5-6):e1334. doi: 10.1093/milmed/usaf019.,https://pubmed.ncbi.nlm.nih.gov/37952191/,https://pubmed.ncbi.nlm.nih.gov/39846215/,Investigar relação editorial,ALTO,"PubMed informa correção posterior no PMID 39846215; conteúdo, metadados ou interpretação podem ter sido alterados.","Comparar artigo e correção; registrar impacto sobre elegibilidade, dados e qualquer futura síntese.","Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation.",No / Pending,Pending,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial
