evidence_id,pmid,zotero_key,doi,title,workflow_status,priority_tier,priority_score,lawful_availability_score,operational_relevance_score,quality_potential_score,transferability_potential_score,lawful_access_status,lawful_access_url,publication_types,families,full_text_obtained,quality_appraisal_complete,integrity_cleared_for_use,human_confirmation,claim_ready,limitation
EV-0668,36141388,BHR9XD2I,10.3390/healthcare10091777,"Development of an Evidence-Informed Solution to Emotional Distress in Public Safety Personnel and Healthcare Workers: The Social Support, Tracking Distress, Education, and Discussion CommunitY (STEADY) Program.",FULL_TEXT_QUEUE,P1,23,4,11,2,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC9498760/,Journal Article | Review,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0869,32691885,YVGG4JIG,10.1002/ajcp.12438,"Addressing Crime, Violence, and Other Determinants of Health through Community-Based Participatory Research and Implementation Science.",FULL_TEXT_QUEUE,P1,22,2,11,3,6,DISCOVERY_REQUIRED,https://doi.org/10.1002/ajcp.12438,"Journal Article | Research Support, U.S. Gov't, Non-P.H.S. | Systematic Review",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0787,33933923,4AXW7YEU,10.1016/j.drugpo.2021.103259,Implementation of a New Hampshire community-initiated response to the opioid crisis: A mixed-methods process evaluation of Safe Station.,FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC8530836/,"Journal Article | Research Support, N.I.H., Extramural",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0758,34622213,CRYUZSIZ,10.1007/s43477-021-00011-6,"The Readiness, Resilience and Recovery Tool: An Emerging Approach to Enhance Readiness Amidst Disruption.",FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC8116638/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0753,34665820,NAFL5D8I,10.1371/journal.pone.0258547,Implementation and perceived effectiveness of gun violence restraining orders in California: A qualitative evaluation.,FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC8525775/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0727,35076700,H7XKJIDC,10.1001/jamanetworkopen.2021.44955,Perspectives About Emergency Department Care Encounters Among Adults With Opioid Use Disorder.,FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC8790663/,"Journal Article | Multicenter Study | Research Support, N.I.H., Extramural",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0593,37297641,57HE5M3N,10.3390/ijerph20116037,How Do We Keep our Heads above Water? An Embedded Mixed-Methods Study Exploring Implementation of a Workplace Reintegration Program for Nurses Affected by Operational Stress Injury.,FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10252876/,"Journal Article | Research Support, Non-U.S. Gov't",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0523,38115970,45XR289H,10.1136/tsaco-2023-001292,Implementation science in action: national organization of an ambitious first responder training program.,FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10729156/,Comment | Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0503,38322801,7Q3Z785H,10.1177/26334895231220259,Barriers and enablers to implementing police mental health co-responder programs: A qualitative study using the consolidated framework for implementation research.,FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10775732/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0447,39028235,5H6N3ED3,10.5811/westjem.18033,Harm Reduction in the Field: First Responders' Perceptions of Opioid Overdose Interventions.,FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC11254139/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0425,39205432,96HF9IFT,10.1111/dar.13926,"""You might be nice, but where you take me, they're not gonna be"": Preferences for field-based post-overdose interventions.",FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC12372593/,"Journal Article | Research Support, Non-U.S. Gov't",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0367,39808097,Q45USE2S,10.1016/j.jen.2024.12.010,Emergency Nurses' Perspectives on Adopting Geriatric Screenings for Cognitive Impairment: A Qualitative Study.,FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC12064357/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0176,41492854,2KBKDFBY,10.1111/hex.70552,"""Convenience, Quickness, and Compassion"": Experiences of People Involved in the Criminal-Legal System Accessing Medications for Opioid Use Disorder Services From a Mobile Unit in Chicago.",FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC12771649/,"Journal Article | Research Support, N.I.H., Extramural",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0171,41520119,P5KDUIF2,10.1186/s40814-025-01758-7,Implementing a peer navigation program for individuals with serious mental illness in the criminal legal system: insights and lessons learned.,FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC12882353/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0160,41626406,FU3CE6LR,10.1177/29768357251413412,Building Community Capacity for Harm Reduction: An Adaptive Implementation Science Approach in Rural Appalachian Ohio.,FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC12852583/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0157,41673910,9S3E8CNQ,10.1186/s12954-026-01413-1,Drug checking services: barriers and facilitators to implementation by U.S. syringe services programs.,FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC12998156/,"Journal Article | Research Support, U.S. Gov't, P.H.S.",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0091,42196761,ME325L4C,10.3390/ijerph23050669,Building a Resilience Ecosystem to Improve Employee Mental Health and Wellbeing in Canadian High-Stress Low-Control Occupations.,FULL_TEXT_QUEUE,P1,22,4,11,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC13206323/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0572,37565409,5QBL9A95,10.1111/jnu.12929,"Nurses' preparedness, opinions, barriers, and facilitators in responding to intimate partner violence: A mixed-methods study.",FULL_TEXT_QUEUE,P1,21,2,11,2,6,DISCOVERY_REQUIRED,https://doi.org/10.1111/jnu.12929,Journal Article | Review,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-1328,19947877,NCPMCR97,10.3109/10903120903349762,Trauma care training for National Police nurses in Colombia.,FULL_TEXT_QUEUE,P1,20,4,11,1,4,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC3413284/,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't",B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-1232,24183771,HEYDTUVF,10.7205/milmed-d-13-00127,Identification of barriers to adaptation of battlefield technologies into civilian trauma in California.,FULL_TEXT_QUEUE,P1,20,2,11,3,4,DISCOVERY_REQUIRED,https://doi.org/10.7205/milmed-d-13-00127,Journal Article | Multicenter Study | Randomized Controlled Trial,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0896,32191195,FISZESIY,10.5811/westjem.2019.11.44887,How to Stop the Bleed: First Care Provider Model for Developing Public Trauma Response Beyond Basic Hemorrhage Control.,FULL_TEXT_QUEUE,P1,20,4,11,1,4,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC7081854/,Journal Article,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
