evidence_id,pmid,doi,pubmed_url,pmc_url,publisher_url,human_verification
EV-0103,42093038,10.1186/s13049-026-01621-5,https://pubmed.ncbi.nlm.nih.gov/42093038/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13147615/,https://doi.org/10.1186/s13049-026-01621-5,
EV-1328,19947877,10.3109/10903120903349762,https://pubmed.ncbi.nlm.nih.gov/19947877/,https://pmc.ncbi.nlm.nih.gov/articles/PMC3413284/,https://doi.org/10.3109/10903120903349762,
EV-0632,36689353,10.1080/10903127.2023.2172493,https://pubmed.ncbi.nlm.nih.gov/36689353/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10329983/,https://doi.org/10.1080/10903127.2023.2172493,
EV-0896,32191195,10.5811/westjem.2019.11.44887,https://pubmed.ncbi.nlm.nih.gov/32191195/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7081854/,https://doi.org/10.5811/westjem.2019.11.44887,
EV-0503,38322801,10.1177/26334895231220259,https://pubmed.ncbi.nlm.nih.gov/38322801/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10775732/,https://doi.org/10.1177/26334895231220259,
EV-0758,34622213,10.1007/s43477-021-00011-6,https://pubmed.ncbi.nlm.nih.gov/34622213/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8116638/,https://doi.org/10.1007/s43477-021-00011-6,
EV-0668,36141388,10.3390/healthcare10091777,https://pubmed.ncbi.nlm.nih.gov/36141388/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9498760/,https://doi.org/10.3390/healthcare10091777,
EV-0091,42196761,10.3390/ijerph23050669,https://pubmed.ncbi.nlm.nih.gov/42196761/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13206323/,https://doi.org/10.3390/ijerph23050669,
EV-0523,38115970,10.1136/tsaco-2023-001292,https://pubmed.ncbi.nlm.nih.gov/38115970/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10729156/,https://doi.org/10.1136/tsaco-2023-001292,
EV-0376,39727243,10.1177/15248380241305567,https://pubmed.ncbi.nlm.nih.gov/39727243/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12202711/,https://doi.org/10.1177/15248380241305567,
