Evidence_ID,Title,Year,DOI,PMID,Country,Population,Study_Design,Domain,Pass1,Pass2,Pass3,Priority,Manuscript_Layer,Section,Citation_Fitness,Contradictory,Replace_Existing,Full_Text_Required,Integrity,Freeze_Change,Why_Useful,Source_URL
EV-0164,The Effectiveness of a 10-Week Concurrent Strength and Endurance Training Program on the Physical Readiness of Trained British Army Soldiers.,2026,10.1519/jsc.0000000000005275,41576259,,,Journal Article; Randomized Controlled Trial,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/41576259/
EV-0386,Impact of astaxanthin supplementation on markers of cardiometabolic health and tactical performance among firefighters.,2024,10.1080/15502783.2024.2427751,39568140,,,Journal Article; Randomized Controlled Trial,Medical / cardiovascular readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Medical and Cardiovascular Readiness / Saude e prontidao medica,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/39568140/
EV-0426,Dietary Supplementation on Physical Performance and Recovery in Active-Duty Military Personnel: A Systematic Review of Randomized and Quasi-Experimental Controlled Trials.,2024,10.3390/nu16162746,39203882,,,Journal Article; Systematic Review,Nutrition / shift work,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Nutrition and Schedule Load / Nutricao e jornadas,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/39203882/
EV-0521,"The Effects of Protein and Carbohydrate Supplementation, with and without Creatine, on Occupational Performance in Firefighters.",2023,10.3390/nu15245134,38140393,,,Journal Article; Randomized Controlled Trial,Nutrition / shift work,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Nutrition and Schedule Load / Nutricao e jornadas,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/38140393/
EV-0667,"The reliability, validity and usefulness of the 30-15 intermittent fitness test for cardiorespiratory fitness assessment in military personnel.",2022,10.1038/s41598-022-20315-3,36167789,,,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/36167789/
EV-0716,Effect of Exercise Training Programs on Physical Fitness Domains in Military Personnel: A Systematic Review and Meta-Analysis.,2022,10.1093/milmed/usac040,35247052,,,Journal Article; Meta-Analysis; Systematic Review,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/35247052/
EV-0893,Influence of a Multitask Paradigm on Motor and Cognitive Performance of Military and Law Enforcement Personnel: A Systematic Review.,2020,10.55460/ii7l-nfhc,32203610,,,Journal Article; Systematic Review,Cognition / firearm performance,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Cognition and Firearm-Task Performance / Cognicao e tiro,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/32203610/
EV-0959,Effects of sleep extension on cognitive/motor performance and motivation in military tactical athletes.,2019,10.1016/j.sleep.2019.03.013,31096123,,,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",Cognition / firearm performance,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Cognition and Firearm-Task Performance / Cognicao e tiro,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/31096123/
EV-1062,Whole dietary patterns to optimize cognitive function for military mission-readiness: a systematic review and recommendations for the field.,2017,10.1093/nutrit/nux009,28969343,,,Journal Article; Systematic Review,Nutrition / shift work,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Nutrition and Schedule Load / Nutricao e jornadas,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/28969343/
EV-1063,Omega-3 polyunsaturated fatty acids to optimize cognitive function for military mission-readiness: a systematic review and recommendations for the field.,2017,10.1093/nutrit/nux008,28969342,,,Journal Article; Systematic Review,Cognition / firearm performance,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Cognition and Firearm-Task Performance / Cognicao e tiro,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/28969342/
EV-1064,Caffeine to optimize cognitive function for military mission-readiness: a systematic review and recommendations for the field.,2017,10.1093/nutrit/nux007,28969341,,,Journal Article; Systematic Review,Cognition / firearm performance,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Cognition and Firearm-Task Performance / Cognicao e tiro,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/28969341/
EV-1065,Phytochemicals to optimize cognitive function for military mission-readiness: a systematic review and recommendations for the field.,2017,10.1093/nutrit/nux005,28969340,,,Journal Article; Systematic Review,Cognition / firearm performance,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Cognition and Firearm-Task Performance / Cognicao e tiro,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/28969340/
EV-1122,Sustained Military Operations and Cognitive Performance.,2016,10.3357/amhp.4468.2016,27634607,,,Journal Article; Systematic Review,Cognition / firearm performance,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Cognition and Firearm-Task Performance / Cognicao e tiro,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/27634607/
EV-1457,Characterization of the Physical Fitness of Police Officers: A Systematic Review,2019,10.1519/jsc.0000000000003177,31045682,International,Police officers,Systematic review,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Yes,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/31045682/
EV-1458,The impact of body armor on physical performance of law enforcement personnel: a systematic review,2017,10.1186/s40557-017-0169-9,28515947,International,Law-enforcement personnel,Systematic review,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Yes,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pmc.ncbi.nlm.nih.gov/articles/PMC5434519/
EV-1462,Acute caffeine supplementation as a nutrition-based strategy to mitigate sleep-loss-related cognitive and operational performance impairments in military personnel: a systematic review and meta-analysis,2026,10.3389/fnut.2026.1893033,,International,Military personnel,Systematic review and meta-analysis,Nutrition / shift work,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Nutrition and Schedule Load / Nutricao e jornadas,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Yes,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://doi.org/10.3389/fnut.2026.1893033
