pmid,decision,rationale,reviewer,review_date,source,abstract_available,priority,priority_reasons,metadata_verified,metadata_conflicts,identifiers_verified,source_doi_absence_confirmed,correction_retraction_status,integrity_status,integrity_action,integrity_source_url,limitation
42658917,INCLUDE_FULL_TEXT,Title/abstract identify an explicit operational APHT/medical-readiness topic; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42658917/ — NCBI Entrez EFetch 2026-09-07,True,True,source DOI absent,True,,True,True,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42658917/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42658911,INCLUDE_FULL_TEXT,Title/abstract identify an explicit operational APHT/medical-readiness topic; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42658911/ — NCBI Entrez EFetch 2026-09-07,True,True,source DOI absent,True,,True,True,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42658911/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42653059,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42653059/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42653059/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42641240,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42641240/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42641240/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42635296,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42635296/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42635296/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42623656,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42623656/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42623656/,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
42617370,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42617370/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42617370/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42614648,INCLUDE_FULL_TEXT,Title/abstract identify an explicit operational APHT/medical-readiness topic; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42614648/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42614648/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42611729,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42611729/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42611729/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42603443,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42603443/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42603443/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42601604,INCLUDE_FULL_TEXT,Title/abstract identify an explicit operational APHT/medical-readiness topic; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42601604/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42601604/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42600053,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42600053/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42600053/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42589357,INCLUDE_FULL_TEXT,Title/abstract identify an explicit operational APHT/medical-readiness topic; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42589357/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42589357/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42583191,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42583191/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42583191/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42580328,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42580328/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42580328/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42580324,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42580324/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42580324/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42569530,EXCLUDE_TITLE_ABSTRACT,"No tactical/public-safety context, readiness domain, operational APHT link or explicit implementation-science role is evident in title/abstract.",OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42569530/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42569530/,This title/abstract screening record does not support conclusions about Brazilian operational readiness or institutional practice.
42565722,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42565722/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42565722/,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
