evidence_id,pmid,doi,pmcid,zotero_key,title,ai_class,priority_score,ai_qualified,human_claim_ready,primary_domain,main_boundary
EV-0643,36553905,10.3390/healthcare10122381,PMC9778182,CUD7RC9P,"Inter-Rater and Intra-Rater Reliability of Return-to-Work Screening Tests for UK Firefighters Following Injury.",CORE_EVIDENCE,80,YES,NO,"return-to-work;functional readiness","Reliability is not predictive validity or proof of fitness for duty."
EV-0588,37344226,10.1080/10903127.2023.2227249,PMC11229579,WWWRVHNP,"Safe Ground Transport of Pediatric Patients: A Qualitative Assessment of Best Practice Guidelines Implementation.",CONTEXTUAL_EVIDENCE,58,YES,NO,"EMS;implementation","Peripheral to tactical-athlete core and no outcome-effect estimate."
EV-0465,38869933,10.2196/52811,PMC11211708,NBCGXV82,"Quality of Life, Physical Activity Participation, and Perceptions of Physical Rehabilitation Among Community-Reintegrated Veterans With Lower Limb Amputation in Sri Lanka: Convergent Parallel Mixed Methods Study.",SUPPORTING_EVIDENCE,65,YES,NO,"rehabilitation;physical activity","Amputee veteran population is not active tactical personnel."
EV-0394,39506879,10.1186/s44158-024-00209-8,PMC11542215,32R38UKQ,"Management of critically ill patients in austere environments: good clinical practice by SIAARTI.",CORE_EVIDENCE,81,YES,NO,"austere medicine;operational medicine","Consensus guidance is not treatment-effect evidence."
EV-0387,39542779,10.1016/j.cjtee.2024.07.010,PMC11840308,YTB7XW3B,"Research progress of tourniquets and their application in the Russia-Ukraine Conflict.",SUPPORTING_EVIDENCE,71,YES,NO,"TCCC;tourniquets","Narrative review; no pooled comparative effect estimate."
EV-0224,41184648,10.1186/s13089-025-00458-w,PMC12583298,D6MS74EE,"Performance and development trends of ultrasound diagnostic systems in military settings: a review.",SUPPORTING_EVIDENCE,62,YES,NO,"POCUS;military medicine","Technology review does not prove outcome superiority."
EV-1103,28265416,10.1186/2054-314X-1-1,PMC5327874,2UJHPAUA,"Evaluating new types of tourniquets by the Israeli Naval special warfare unit.",CORE_EVIDENCE,84,YES,NO,"TCCC;tourniquets;special operations","Simulated single-unit performance does not establish casualty mortality benefit."
EV-1038,29386714,10.1016/j.mjafi.2017.09.009,PMC5771708,LIFU8U27,"Forward surgical care: Emerging issues and challenges.",CONTEXTUAL_EVIDENCE,57,YES,NO,"forward surgical care;austere medicine","Narrative expert review, not causal evidence."
EV-0966,30963311,10.1186/s40352-019-0086-9,PMC6718001,35EGMGLJ,"A scoping review of military veterans involved in the criminal justice system and their health and healthcare.",LOW_PRIORITY,41,YES,NO,"veterans;criminal justice","Poor directness to active tactical-athlete operational readiness."
EV-0946,31338408,10.1016/j.tcr.2019.100217,PMC6611996,XRMRS6DJ,"Tactical tourniquet: Surgical management must be within 3 hours.",SUPPORTING_EVIDENCE,67,YES,NO,"TCCC;prolonged field care","Two case reports cannot establish a universal causal 3-hour threshold."
