evidence_id,integrity,version,ai_qualified,action
EV-0603,ERRATUM_OR_CORRECTION_LINKED,RESCUED_FOR_DEEP_QUALIFICATION,YES,CARRY_PROVENANCE
EV-1001,ERRATUM_OR_CORRECTION_LINKED,RESCUED_FOR_DEEP_QUALIFICATION,YES,CARRY_PROVENANCE
EV-0325,ERRATUM_OR_CORRECTION_LINKED,RESCUED_FOR_DEEP_QUALIFICATION,YES,CARRY_PROVENANCE
EV-1117,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,RESCUED_FOR_DEEP_QUALIFICATION,YES,CARRY_PROVENANCE
EV-1266,ERRATUM_OR_CORRECTION_LINKED,RESCUED_FOR_DEEP_QUALIFICATION,YES,CARRY_PROVENANCE
EV-1379,ERRATUM_SCOPE_PENDING,HOLD_VERSION,NO,RESOLVE_BEFORE_FINAL_CLAIM
INT-EXT-31045682,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NEW_EXTERNAL_PENDING_RECONCILIATION,YES,CARRY_PROVENANCE
INT-EXT-28515947,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NEW_EXTERNAL_PENDING_RECONCILIATION,YES,CARRY_PROVENANCE
INT-EXT-29316674,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NEW_EXTERNAL_PENDING_RECONCILIATION,YES,CARRY_PROVENANCE
INT-EXT-30862044,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NEW_EXTERNAL_PENDING_RECONCILIATION,YES,CARRY_PROVENANCE
INT-EXT-42165076,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NEW_EXTERNAL_PENDING_RECONCILIATION,YES,CARRY_PROVENANCE
INT-EXT-FNUT2026,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NEW_EXTERNAL_PENDING_RECONCILIATION,YES,CARRY_PROVENANCE
BR-EXT-001,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NEW_EXTERNAL_PENDING_RECONCILIATION,YES,CARRY_PROVENANCE
BR-EXT-002,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,FULL_TEXT_VERIFICATION_PENDING,NO,RESOLVE_BEFORE_FINAL_CLAIM
BR-EXT-003,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NEW_EXTERNAL_PENDING_RECONCILIATION,YES,CARRY_PROVENANCE
BR-EXT-004,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NEW_EXTERNAL_PENDING_RECONCILIATION,YES,CARRY_PROVENANCE
BR-EXT-005,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NEW_EXTERNAL_PENDING_RECONCILIATION,YES,CARRY_PROVENANCE
BR-EXT-006,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NEW_EXTERNAL_PENDING_RECONCILIATION,YES,CARRY_PROVENANCE
BR-EXT-007,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NUMERIC_EXTRACTION_PENDING,NO,RESOLVE_BEFORE_FINAL_CLAIM
BR-EXT-008,NO_CURRENT_INTEGRITY_SIGNAL_FOUND,NEW_EXTERNAL_PENDING_RECONCILIATION,YES,CARRY_PROVENANCE
