evidence_id,tool,domain,judgment,basis,human_confirmed
EV-0668,SANRA,importance justified,2,The STEADY Program ¶1–2; Key Components ¶1–8; What Does STEADY Add? ¶10; Next Steps and Implications for Practice ¶1–2,
EV-0668,SANRA,aims stated,2,The STEADY Program ¶1–2; Key Components ¶1–8; What Does STEADY Add? ¶10; Next Steps and Implications for Practice ¶1–2,
EV-0668,SANRA,literature search described,0,The STEADY Program ¶1–2; Key Components ¶1–8; What Does STEADY Add? ¶10; Next Steps and Implications for Practice ¶1–2,
EV-0668,SANRA,referencing,2,The STEADY Program ¶1–2; Key Components ¶1–8; What Does STEADY Add? ¶10; Next Steps and Implications for Practice ¶1–2,
EV-0668,SANRA,scientific reasoning,1,The STEADY Program ¶1–2; Key Components ¶1–8; What Does STEADY Add? ¶10; Next Steps and Implications for Practice ¶1–2,
EV-0668,SANRA,endpoint data,1,The STEADY Program ¶1–2; Key Components ¶1–8; What Does STEADY Add? ¶10; Next Steps and Implications for Practice ¶1–2,
EV-0753,JBI Qualitative Research,methodology/philosophical perspective congruity,UNCLEAR,Materials and methods—Study sample ¶1–2; Analytic approach ¶2–3; Results ¶1; Implementation sections; Evidence strength and quality ¶1–4; Limitations ¶1–2,
EV-0753,JBI Qualitative Research,methodology/research question congruity,YES,Materials and methods—Study sample ¶1–2; Analytic approach ¶2–3; Results ¶1; Implementation sections; Evidence strength and quality ¶1–4; Limitations ¶1–2,
EV-0753,JBI Qualitative Research,methodology/data collection congruity,YES,Materials and methods—Study sample ¶1–2; Analytic approach ¶2–3; Results ¶1; Implementation sections; Evidence strength and quality ¶1–4; Limitations ¶1–2,
EV-0753,JBI Qualitative Research,methodology/data representation/analysis congruity,YES,Materials and methods—Study sample ¶1–2; Analytic approach ¶2–3; Results ¶1; Implementation sections; Evidence strength and quality ¶1–4; Limitations ¶1–2,
EV-0753,JBI Qualitative Research,methodology/interpretation congruity,YES,Materials and methods—Study sample ¶1–2; Analytic approach ¶2–3; Results ¶1; Implementation sections; Evidence strength and quality ¶1–4; Limitations ¶1–2,
EV-0753,JBI Qualitative Research,researcher culturally/theoretically located,UNCLEAR,Materials and methods—Study sample ¶1–2; Analytic approach ¶2–3; Results ¶1; Implementation sections; Evidence strength and quality ¶1–4; Limitations ¶1–2,
EV-0753,JBI Qualitative Research,researcher influence addressed,UNCLEAR,Materials and methods—Study sample ¶1–2; Analytic approach ¶2–3; Results ¶1; Implementation sections; Evidence strength and quality ¶1–4; Limitations ¶1–2,
EV-0753,JBI Qualitative Research,participants and voices represented,YES,Materials and methods—Study sample ¶1–2; Analytic approach ¶2–3; Results ¶1; Implementation sections; Evidence strength and quality ¶1–4; Limitations ¶1–2,
EV-0753,JBI Qualitative Research,ethics approval,YES,Materials and methods—Study sample ¶1–2; Analytic approach ¶2–3; Results ¶1; Implementation sections; Evidence strength and quality ¶1–4; Limitations ¶1–2,
EV-0753,JBI Qualitative Research,conclusions flow from analysis,YES,Materials and methods—Study sample ¶1–2; Analytic approach ¶2–3; Results ¶1; Implementation sections; Evidence strength and quality ¶1–4; Limitations ¶1–2,
EV-0727,JBI Qualitative Research,methodology/philosophical perspective congruity,UNCLEAR,Methods—Selection of Participants ¶1; Data Collection ¶1; Data Analysis ¶1; Results—Participant Characteristics ¶1; Themes ¶1; Discussion—Limitations ¶1; Conclusions ¶1,
EV-0727,JBI Qualitative Research,methodology/research question congruity,YES,Methods—Selection of Participants ¶1; Data Collection ¶1; Data Analysis ¶1; Results—Participant Characteristics ¶1; Themes ¶1; Discussion—Limitations ¶1; Conclusions ¶1,
EV-0727,JBI Qualitative Research,methodology/data collection congruity,YES,Methods—Selection of Participants ¶1; Data Collection ¶1; Data Analysis ¶1; Results—Participant Characteristics ¶1; Themes ¶1; Discussion—Limitations ¶1; Conclusions ¶1,
EV-0727,JBI Qualitative Research,methodology/data representation/analysis congruity,YES,Methods—Selection of Participants ¶1; Data Collection ¶1; Data Analysis ¶1; Results—Participant Characteristics ¶1; Themes ¶1; Discussion—Limitations ¶1; Conclusions ¶1,
EV-0727,JBI Qualitative Research,methodology/interpretation congruity,YES,Methods—Selection of Participants ¶1; Data Collection ¶1; Data Analysis ¶1; Results—Participant Characteristics ¶1; Themes ¶1; Discussion—Limitations ¶1; Conclusions ¶1,
EV-0727,JBI Qualitative Research,researcher culturally/theoretically located,UNCLEAR,Methods—Selection of Participants ¶1; Data Collection ¶1; Data Analysis ¶1; Results—Participant Characteristics ¶1; Themes ¶1; Discussion—Limitations ¶1; Conclusions ¶1,
EV-0727,JBI Qualitative Research,researcher influence addressed,UNCLEAR,Methods—Selection of Participants ¶1; Data Collection ¶1; Data Analysis ¶1; Results—Participant Characteristics ¶1; Themes ¶1; Discussion—Limitations ¶1; Conclusions ¶1,
EV-0727,JBI Qualitative Research,participants and voices represented,YES,Methods—Selection of Participants ¶1; Data Collection ¶1; Data Analysis ¶1; Results—Participant Characteristics ¶1; Themes ¶1; Discussion—Limitations ¶1; Conclusions ¶1,
EV-0727,JBI Qualitative Research,ethics approval,YES,Methods—Selection of Participants ¶1; Data Collection ¶1; Data Analysis ¶1; Results—Participant Characteristics ¶1; Themes ¶1; Discussion—Limitations ¶1; Conclusions ¶1,
EV-0727,JBI Qualitative Research,conclusions flow from analysis,YES,Methods—Selection of Participants ¶1; Data Collection ¶1; Data Analysis ¶1; Results—Participant Characteristics ¶1; Themes ¶1; Discussion—Limitations ¶1; Conclusions ¶1,
EV-0503,JBI Qualitative Research,methodology/philosophical perspective congruity,UNCLEAR,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,
EV-0503,JBI Qualitative Research,methodology/research question congruity,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,
