canonical_evidence_id,doi,pmid,zotero_key,status,action,safety_note
EV-1457,10.1519/JSC.0000000000003177,31045682,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1458,10.1186/s40557-017-0169-9,28515947,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1459,,29316674,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1460,,30862044,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1461,,42165076,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1462,10.3389/fnut.2026.1893033,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1463,10.3389/fpubh.2025.1716547,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1464,10.1002/ajhb.24184,39630574,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1465,10.1016/j.rbce.2018.01.011,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1466,10.63231/2595-0118.e202684-en,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1467,10.3390/jfmk8040148,37987484,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1468,10.62827/fb.v25i6.1038,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1469,10.36776/ribsp.v5i13.219,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1470,,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1471,10.1016/j.nut.2025.112989,41252783,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1472,10.1177/08901171251336887,40262036,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
