Layer,Section,Evidence,Role,Current_Coverage,Additional_Evidence_Needed,Contradictory_Evidence_Needed,Brazilian_Evidence_Needed,International_Comparison_Needed,Action
International,Introduction / Conceptual Background,"EXT-TFF-2013; EXT-ACC-AHA-2026",Conceptual,ADEQUATE_FOR_CONCEPTUAL_BASE,YES,YES,NO,YES,FULL_UNIVERSE_SCREEN
International,Nutrition and Schedule Load,"EV-1471; EV-1472",CORE,ADEQUATE_FOR_BOUNDED_CLAIMS,YES,YES,YES,YES,FULL_UNIVERSE_SCREEN
International,Cognition / Firearm Task,"EV-1473; EV-1474",CORE_OVERLAP_FAMILY,ADEQUATE_FOR_PROTOCOL_SPECIFIC_CLAIMS,YES,YES,YES,YES,INDEPENDENT_REPLICATION_SEARCH
International,Tactical Medicine,"EV-1475; EV-1476; EV-1477",CORE_PLUS_CONTEXTUAL,STRUCTURAL_GAP,YES,YES,YES,YES,PATIENT_OUTCOME_SEARCH
International,Policy / Organization,"EV-1478; EV-1479",CORE,ADEQUATE_FOR_BOUNDED_ORGANIZATIONAL_CLAIMS,YES,YES,YES,YES,FULL_UNIVERSE_SCREEN
International,Physical / Academy,"EV-1481; EV-1480",CORE_PLUS_SUPPORTING,ADEQUATE_FOR_BOUNDED_CLAIMS,YES,YES,YES,YES,FULL_UNIVERSE_SCREEN
International,Medical / Cardiovascular,"EV-1484; EV-1483",CORE_PLUS_CONTEXTUAL,ADEQUATE_FOR_STATE_SPECIFIC_AND_INDIRECT_CLAIMS,YES,YES,YES,YES,FULL_UNIVERSE_SCREEN
International,Organizational Health Context,EV-1482,CONTEXTUAL,CONTEXT_ONLY,YES,YES,YES,YES,FULL_UNIVERSE_SCREEN
Brazil,Nutricao e jornadas,"EV-1471; EV-1472",CORE,ADEQUATE_FOR_LOCAL_ASSOCIATIONS,YES,YES,YES,YES,FULL_UNIVERSE_SCREEN
Brazil,Cognicao e tiro,"EV-1473; EV-1474",CORE_OVERLAP_FAMILY,ADEQUATE_FOR_PROTOCOL_SPECIFIC_CLAIMS,YES,YES,YES,YES,INDEPENDENT_REPLICATION_SEARCH
Brazil,APH-Tatico,"EV-1475; EV-1476; EV-1477",CORE_PLUS_CONTEXTUAL,STRUCTURAL_GAP,YES,YES,YES,YES,PATIENT_OUTCOME_SEARCH
Brazil,Aptidao / academia / forca,"EV-1481; EV-1480",CORE_PLUS_SUPPORTING,ADEQUATE_FOR_BOUNDED_CLAIMS,YES,YES,YES,YES,FULL_UNIVERSE_SCREEN
Brazil,Saude / prontidao medica,"EV-1484; EV-1483",CORE_PLUS_CONTEXTUAL,ADEQUATE_FOR_STATE_SPECIFIC_CLAIMS,YES,YES,YES,YES,FULL_UNIVERSE_SCREEN
Brazil,Politica / organizacao,"EV-1478; EV-1479; EV-1482",CORE_PLUS_CONTEXTUAL,ADEQUATE_FOR_BOUNDED_CLAIMS,YES,YES,YES,YES,FULL_UNIVERSE_SCREEN
