Lot,Start_EV,End_EV,Processed,High_Relevance,Direct_Fit,Full_Text,Contradictory,Replace,Excluded,Freeze_Candidates,QA
LOT-01,EV-0001,EV-0100,100,21,19,20,1,0,45,1,PASS
LOT-02,EV-0101,EV-0200,100,30,29,29,1,1,41,2,PASS
LOT-03,EV-0201,EV-0300,100,18,17,18,0,0,49,0,PASS
LOT-04,EV-0301,EV-0400,100,15,14,14,0,1,47,1,PASS
LOT-05,EV-0401,EV-0500,100,11,10,10,0,1,48,1,PASS
LOT-06,EV-0501,EV-0600,100,20,19,19,0,1,57,1,PASS
LOT-07,EV-0601,EV-0700,100,23,22,22,0,1,41,1,PASS
LOT-08,EV-0701,EV-0800,100,23,23,22,0,1,44,1,PASS
LOT-09,EV-0801,EV-0900,100,13,11,12,0,1,55,1,PASS
LOT-10,EV-0901,EV-1000,100,16,16,16,0,1,53,1,PASS
LOT-11,EV-1001,EV-1100,100,17,15,12,1,4,57,5,PASS
LOT-12,EV-1101,EV-1200,100,27,25,26,0,1,48,1,PASS
LOT-13,EV-1201,EV-1300,100,16,15,16,0,0,53,0,PASS
LOT-14,EV-1301,EV-1400,100,15,12,15,0,0,54,0,PASS
LOT-15,EV-1401,EV-1484,84,32,32,15,0,3,35,3,PASS
