pilot_order,evidence_id,pmid,doi,pmcid,zotero_key,title,authors,journal,year,volume,issue,pages_or_elocation,full_text_source,lawful_access,full_text_obtained,identity_status,version_status,article_type_jats,integrity_status,integrity_detail,eligibility_full_text,evidence_origin,country_context,population,design,evidence_class,appraisal_tool,appraisal_version,appraisal_type,extraction,result,exact_evidence_location,supported_claims,unsupported_claims,transferability_limits,appraisal_summary,original_data,empirical_effect_estimate,appraisal_complete_ai_provisional,global_quality_score,extraction_complete,exact_location_complete,boundary_complete,transferability_complete,editorial_hold,human_reviewer,human_review_date,human_decision,human_justification,human_confirmation,claim_ready,record_status
1,EV-0367,39808097,10.1016/j.jen.2024.12.010,PMC12064357,Q45USE2S,Emergency Nurses’ Perspectives on Adopting Geriatric Screenings for Cognitive Impairment: A Qualitative Study,Anita N. Chary; Annika R. Bhananker; Andrea Gilmore-Bykovskyi; Aanand D. Naik; Margaret Samuels-Kalow; Kyler M. Godwin; Maura Kennedy,Journal of emergency nursing,2025,51,3,398,https://pmc.ncbi.nlm.nih.gov/articles/PMC12064357/,YES,YES,MATCH_CONFIRMED,AUTHOR_ACCEPTED_MANUSCRIPT,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,EMPIRICAL,"Houston, Texas, United States; public safety-net emergency department",11 emergency nurses interviewed from 36 approached,qualitative case study using semi-structured interviews and CFIR-guided deductive-inductive analysis,QUALITATIVE_EVIDENCE,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,"Nurses framed cognitive screening around patient and staff safety and identified staffing, time, private space, education, electronic-record support and follow-up capacity as implementation conditions.","Eleven nurses rated delirium screening feasibility at a mean 3.9/5 and dementia screening at 3.45/5; these are perceptions, not implementation or patient outcomes.",Study Design P1; Selection of Participants P1; Data Collection P1-P3; Data Analysis P1; Reflexivity P1; Results P1-P3; System resources needed for screenings P1-P3; Delirium—Local attitudes P2; Dementia—Complexity P2; Limitations P1,"In this single-site sample, interviewed nurses identified concrete barriers and facilitators to introducing delirium and dementia screening.","The study does not establish screening effectiveness, diagnostic accuracy, patient-safety benefit, adoption rates or generalizability to other emergency departments.","Single under-resourced US safety-net hospital, daytime recruitment and no Brazilian or public-safety workforce implementation.","AI-provisional JBI qualitative appraisal: clear case-study methods, saturation, ethics and reflexivity safeguards; single-site daytime sampling constrains transferability.",YES,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
2,EV-0176,41492854,10.1111/hex.70552,PMC12771649,2KBKDFBY,"“Convenience, Quickness, and Compassion”: Experiences of People Involved in the Criminal‐Legal System Accessing Medications for Opioid Use Disorder Services From a Mobile Unit in Chicago",Toni Martinford; Dennis P. Watson; Sarah Messmer; Leyla Rashid; Monte Staton; Michael L. Dennis; Christine E. Grella; Abigail Elmes‐Patel,Health Expectations : An International Journal of Public Participation in Health Care and Health Policy,2026,29,1,e70552,https://pmc.ncbi.nlm.nih.gov/articles/PMC12771649/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,EMPIRICAL,"West Side of Chicago, United States; mobile MOUD program and criminal-legal involvement",13 mobile-service participants with OUD and criminal-legal involvement in the prior 90 days,qualitative descriptive study using semi-structured interviews and inductive thematic analysis,QUALITATIVE_EVIDENCE,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,"Participants described proximity, walk-in access, onsite medication, comprehensive care and non-judgmental staff as facilitators; incarceration, transport and schedule awareness were barriers.",Thirteen interviews produced five themes and eight subthemes; findings describe service experiences and perceived access conditions.,Methods—Setting P1-P2; Participant Recruitment P1; Data Collection and Analysis P2-P3; Results—Participant Characteristics P1 and thematic sections; Discussion P1-P8,These 13 participants reported that mobile MOUD access was supported by convenience and compassionate care and constrained by structural barriers.,"The study does not estimate treatment effectiveness, retention, overdose reduction, causal benefit or experiences of people unable to access the service.",Small service-engaged sample from a few Chicago neighborhoods and a specific US treatment and criminal-legal context.,"AI-provisional JBI qualitative appraisal: transparent recruitment, dual coding, ethics and participant quotations; researcher positionality and excluded non-users remain limitations.",YES,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
3,EV-0171,41520119,10.1186/s40814-025-01758-7,PMC12882353,P5KDUIF2,Implementing a peer navigation program for individuals with serious mental illness in the criminal legal system: insights and lessons learned,Maji Hailemariam; Garrett Brown; Teresa Ng; Lauren M. Weinstock; Rodlescia S. Sneed; Cindy Nguyen; Jordan Simon; Taryn Hayes; Tatiana E. Bustos; Patrick W. Corrigan; Jennifer E. Johnson,Pilot and Feasibility Studies,2026,12,,21,https://pmc.ncbi.nlm.nih.gov/articles/PMC12882353/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,EMPIRICAL,"Flint, Michigan, United States; jail-to-community peer navigation",4 peer navigators interviewed; 3 completed 12 client-specific WAI ratings; 25 administrative documents reviewed,"mixed-methods implementation process evaluation integrating qualitative interviews, descriptive WAI ratings and document review",MIXED_METHODS_EVIDENCE,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,"Peer navigators perceived MAPS as feasible, acceptable and culturally appropriate, while reporting jail access, staffing, distrust, unstable contact information and unmet post-release needs as implementation barriers.",Three navigators supplied 12 WAI ratings with high descriptive alliance scores; opinions about effectiveness were mixed and no client-effect estimate was tested.,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,"Within this small pilot, participating peer navigators identified implementation strengths, barriers and refinements for MAPS.","The study does not establish service-linkage effectiveness, cost-effectiveness, reduced reincarceration or client outcomes.","Four Black male navigators in one locality, three survey respondents, unstable post-release follow-up and no powered outcome comparison.",AI-provisional full MMAT: qualitative evidence is coherent and integrated with descriptive ratings and documents; the tiny quantitative component and incomplete participation limit inference.,YES,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
4,EV-0160,41626406,10.1177/29768357251413412,PMC12852583,FU3CE6LR,Building Community Capacity for Harm Reduction: An Adaptive Implementation Science Approach in Rural Appalachian Ohio,Adams L. Sibley; Christine A. Schalkoff; David C. Colston; Hannah M. Piscalko; Abby G. Spears; William C. Miller; Vivian F. Go,Substance Use : Research and Treatment,2026,20,,29768357251413412,https://pmc.ncbi.nlm.nih.gov/articles/PMC12852583/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,EMPIRICAL,"Three rural Appalachian Ohio counties, United States","34 stakeholders, 30 people who use drugs, 258 survey participants, agencies and a 9-member leadership board","adaptive mixed-methods implementation project with formative interviews, respondent-driven survey, network analysis and process evaluation",MIXED_METHODS_EVIDENCE,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,"Community co-creation produced more than 20 capacity-building activities addressing stigma, interagency fragmentation and provider capacity; process measures documented reach and delivery.",The article reports implementation activities and sustainment examples; planned repeated survey and population-outcome analyses were not completed after COVID-19 disruption.,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,The project demonstrates how these three counties co-developed and delivered adaptive capacity-building activities and documents their process outputs.,"It does not establish reductions in overdose or infection, causal community benefit, effectiveness of individual activities or sustainability across settings.","Grant-supported US rural harm-reduction context, local legal climate, incomplete outcome evaluation and COVID-era adaptation differ from Brazil.",AI-provisional full MMAT: explicit mixed-method triangulation and adaptive integration; incomplete powered survey and population-outcome components constrain effectiveness inference.,YES,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
5,EV-0157,41673910,10.1186/s12954-026-01413-1,PMC12998156,9S3E8CNQ,Drug checking services: barriers and facilitators to implementation by U.S. syringe services programs,Jessica Smith; Sarah Margaret Philbrick; Christopher F. Akiba; Lynn D. Wenger; Sara Hairgrove; Alex H. Kral; Barrot H. Lambdin; Sheila V. Patel,Harm Reduction Journal,2026,23,,55,https://pmc.ncbi.nlm.nih.gov/articles/PMC12998156/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,EMPIRICAL,United States; syringe service programs across four regions,23 representatives of syringe service programs after one ineligible interview was excluded,"qualitative implementation study using semi-structured interviews, reflexive thematic analysis and secondary CFIR coding",QUALITATIVE_EVIDENCE,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,"Cost, staffing, space, legal ambiguity and law-enforcement opposition constrained advanced drug checking; external laboratory and university partnerships facilitated implementation.",Eight of 23 represented programs had implemented advanced services; this descriptive count accompanies qualitative themes and is not an effectiveness estimate.,Sample identification and recruitment P1; Interview guide P1; Data collection P1-P2; Data analysis P1-P3; Findings P1-P2; Barriers P1-P5; Facilitators P1-P4; Discussion P1-P6,Interviewed program representatives identified multilevel barriers and partnership-based facilitators for advanced drug-checking implementation.,"The study does not show that drug checking reduces overdose, quantify adoption nationally or establish partnership effectiveness.","Purposive US program sample, program representatives rather than service users, and US legal and funding structures.","AI-provisional JBI qualitative appraisal: purposive sampling, saturation, iterative analysis, ethics and quotations are reported; split coding and limited positionality require caution.",YES,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
6,EV-0091,42196761,10.3390/ijerph23050669,PMC13206323,ME325L4C,Building a Resilience Ecosystem to Improve Employee Mental Health and Wellbeing in Canadian High-Stress Low-Control Occupations,Gregory S. Anderson; Yan Song; Rosemary Ricciardelli; Joy C. MacDermid; Heidi Cramm; Deborah Norris; R. Nicholas Carleton,International Journal of Environmental Research and Public Health,2026,23,5,669,https://pmc.ncbi.nlm.nih.gov/articles/PMC13206323/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,EMPIRICAL,Five Canadian police and fire organizations,Repeated survey samples of 372 at T1 and 207 at T2 plus organizational records; training follow-up samples varied,uncontrolled longitudinal multiple-cohort implementation case series with repeated cross-sectional pre-post surveys and exploratory organizational correlations,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,Five organizations implemented locally selected mental-health and resilience activities; repeated surveys and administrative indicators were compared over time and correlations were explored at organization level.,"Aggregate scores improved for anxiety, alcohol use and team psychological safety, while individual resilience deteriorated; small-N correlations with benefit costs were exploratory and sometimes unexpected.",Purpose P1; Materials and Methods P1-P4; Psychological Health and Well-Being Survey P1-P3; Data Cleaning P1-P2; Analytic Approach P1-P2; Results—PHW Survey P1-P5; Training Outcomes P1-P3; Correlation Analysis P1-P6; Limitations P1-P3; Tables 3-5,"In these five organizations, selected survey measures changed over time and exploratory organization-level associations with benefit costs were observed.","The study does not establish that the Standard or training caused the changes, reduced costs, prevented illness or will reproduce in other organizations.","No control group, different repeated samples, attrition, COVID timing, organization-level N of four or five and Canadian context.","AI-provisional revised JBI quasi-experimental appraisal: temporal ordering and repeated measurement exist, but no control, non-equivalent samples, attrition and small-N exploratory analyses create serious bias concerns.",YES,YES,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
7,EV-1328,19947877,10.3109/10903120903349762,PMC3413284,NCPMCR97,Trauma Care Training for National Police Nurses in Colombia,Andrés M. Rubiano; Álvaro I. Sánchez; Francis Guyette; Juan C. Puyana,Prehospital emergency care : official journal of the National Association of EMS Physicians and the National Association of State EMS Directors,2010,14,1,124,https://pmc.ncbi.nlm.nih.gov/articles/PMC3413284/,YES,YES,MATCH_CONFIRMED,AUTHOR_ACCEPTED_MANUSCRIPT,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,EMPIRICAL,Colombian National Police antinarcotics and rural operations,374 combat nursing students trained between March 2006 and July 2007,single-group pre-post quasi-experimental course evaluation,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,"A 26-hour tactical trauma course combined lectures, simulation, live tissue procedures and a jungle exercise; knowledge and instructor-rated skills were measured before and after training.",Mean written scores rose from 59.8% to 98.9% (p<0.01); all 374 participants were rated as demonstrating complete knowledge after practical training.,Setting and Design P1-P2; Analytical Methods P1; Results P1-P3; Tables 4-5; Limitations P1,"Among these 374 trainees, written scores and instructor-rated simulation skills were higher after the MEDTAC course.","The uncontrolled evaluation does not establish clinical performance, casualty outcomes, long-term retention or superiority to another course.","Colombian police combat-nurse setting, non-standardized instruments, instructor assessment and no control or long-term follow-up.","AI-provisional revised JBI quasi-experimental appraisal: complete paired pre-post cohort, but no control and non-standardized instructor-rated outcomes create substantial bias risk.",YES,YES,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
8,EV-0896,32191195,10.5811/westjem.2019.11.44887,PMC7081854,FISZESIY,How to Stop the Bleed: First Care Provider Model for Developing Public Trauma Response Beyond Basic Hemorrhage Control,Joshua P. Bobko; Dylan J. Badin; Leila Danishgar; Kate Bayhan; Kevin J. Thompson; William J. Harris; R. Todd Baldridge; Gerald R. Fortuna,Western Journal of Emergency Medicine,2020,21,2,365,https://pmc.ncbi.nlm.nih.gov/articles/PMC7081854/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,EMPIRICAL,"Westminster, California, United States; civilian mass-casualty simulation","51 of 75 volunteers participated, including trained and untrained civilians; nursing graduates and one fire engine company were reference groups",nonrandomized comparative simulation study of trained versus untrained volunteers,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,Volunteers receiving a four-hour First Care Provider course were compared with untrained volunteers on time to first action and time to solution in arterial bleeding and airway-obstruction simulations.,"Time to solution was shorter for trained groups for bleeding (3:33 versus the 8-minute cutoff, p=0.0014) and airway obstruction (32.6 seconds versus 7:03, p=0.0087); time-to-first-action differences were not significant.",Participant Selection P1; Training P1; Simulation and Grading P1-P3; Analysis P1; Simulation Results and four outcome subsections; Limitations P1-P2,"In this simulation, trained volunteer groups completed the two specified interventions faster than untrained groups.","The study does not prove real-event mortality benefit, durable skill retention, population effectiveness or equivalence to professional EMS.","Small volunteer sample, nonrandom group assignment, simulated setting, potential group differences and donated equipment.","AI-provisional revised JBI quasi-experimental appraisal: a comparator and objective timing existed, but nonrandom allocation, attrition and one-sided clustered analysis limit confidence.",YES,YES,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
9,EV-0791,33909512,10.1080/10903127.2021.1922556,PMC8626520,JL2TE34F,Assessment of Fall-Related Emergency Medical Service Calls and Transports After a Community-Level Fall-Prevention Initiative,Catherine C. Quatman-Yates; David Wisner; Mark Weade; Mindy Gabriel; Jessica M. Wiseman; Elizabeth Sheridan; Jennifer H. Garvin; John F.P. Bridges; Heena P. Santry; Ashish R. Panchal; Soledad Fernandez; Carmen E. Quatman,Prehospital emergency care,2022,26,3,410,https://pmc.ncbi.nlm.nih.gov/articles/PMC8626520/,YES,YES,MATCH_CONFIRMED,AUTHOR_ACCEPTED_MANUSCRIPT,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,EMPIRICAL,"One Midwestern US city of approximately 35,000 residents","10,215 EMS calls over three years, including 892 fall-related calls; community-paramedic users were not consistently characterized",quality-improvement initiative with uncontrolled retrospective interrupted time-series/pre-post comparison,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,Community-FIT embedded a fall-prevention pathway and learning health system in a fire-based community-paramedicine program and compared 12 baseline with 12 sustainment months.,"Fall-related calls decreased from 135 to 46 (reported relative risk reduction 0.66, 95% CI 0.53-0.76); transports decreased from 96 to 36 (0.63, 95% CI 0.46-0.75).",Initiative P1; Study Design P1-P2; Data Collection and Use P1; Outcome Measures and Analyses P1-P2; Results P1-P2; Fall Calls P1; Fall-related Calls Resulting in Transport P1; Study Limitations P1; Table 2,Fall-related EMS calls and transports were lower in the sustainment period than in the baseline period in this community.,The uncontrolled comparison does not establish that Community-FIT caused the reductions or that the effect will generalize to other communities.,"Single supportive small city, established grant-funded program, changing documentation and no concurrent control for secular or seasonal trends.","AI-provisional revised JBI quasi-experimental appraisal: repeated monthly data and consistent outcomes exist, but no control and no segmented time-series model leave confounding and trend bias unresolved.",YES,YES,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
10,EV-0723,35120531,10.1186/s12954-022-00590-z,PMC8814788,NDHXQXSC,The Bronze Age of drug checking: barriers and facilitators to implementing advanced drug checking amidst police violence and COVID-19,Jennifer J. Carroll; Sarah Mackin; Clare Schmidt; Michelle McKenzie; Traci C. Green,Harm Reduction Journal,2022,19,,9,https://pmc.ncbi.nlm.nih.gov/articles/PMC8814788/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,EMPIRICAL,"Urban Boston, Massachusetts, United States; one syringe service program","8 staff and 4 service participants interviewed, with field observations and process measures over 22 months","longitudinal qualitative implementation case study with field observations, interviews and descriptive process measures",QUALITATIVE_EVIDENCE,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,"Shared harm-reduction culture, horizontal structure, partnerships and adaptive reflection facilitated drug checking; technical complexity, legal ambiguity, police activity and COVID-19 constrained delivery.",Requests fell from an average 42 per month before a police operation to 23 in August 2019 and later stopped during COVID restrictions; these descriptive changes do not isolate causal effects.,Methods P1-P5; Results—Initial intervention plan P1-P3; Outer setting P1-P6; Inner setting and implementation P1-P2; Characteristics of individuals P1; Implementation process P1-P3; Discussion P1-P8,"This case documents how organizational, technical, legal, policing and pandemic conditions shaped implementation at one program.","It does not establish drug-checking effectiveness, overdose prevention, causal effects of policing or generalizability beyond the site.","One independently operated urban US program, 12 interviewees, distinct drug laws and law-enforcement environment.","AI-provisional JBI qualitative appraisal: longitudinal triangulation, ethics and participant voices are present; small single-site sampling and limited reflexivity constrain transferability.",YES,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
