Ref,Evidence_ID,Verification,Citations_INT,Citations_BRA,QA
1,EXT-TFF-2013,VERIFIED,3,3,PASS
2,EXT-ACC-AHA-2026,VERIFIED_AHEAD_OF_PRINT,4,4,PASS
3,EV-1471,VERIFIED,2,2,PASS
4,EV-1472,VERIFIED,2,2,PASS
5,EV-1473,VERIFIED,3,3,PASS
6,EV-1474,VERIFIED,3,3,PASS
7,EV-1475,VERIFIED,4,2,PASS
8,EV-1476,VERIFIED,2,2,PASS
9,EV-1477,LOCKED_METADATA_RESOLVED,2,3,PASS
10,EV-1478,VERIFIED,3,3,PASS
11,EV-1479,VERIFIED,3,3,PASS
12,EV-1481,VERIFIED,2,2,PASS
13,EV-1480,VERIFIED_AHEAD_OF_PRINT,3,2,PASS
14,EV-1484,VERIFIED,2,2,PASS
15,EV-1483,VERIFIED,3,2,PASS
16,EV-1482,VERIFIED,2,2,PASS
