evidence_id,title,design,instrument,version,integrity,human_reviewer,human_decision,claim_ready
EV-0103,The role of tactical police medics in the prehospital environment: results from an interview study.,qualitative interview study,JBI Qualitative Research,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,NO
EV-1328,Trauma Care Training for National Police Nurses in Colombia,single-group pre/post quasi-experimental course evaluation,JBI Quasi-Experimental Studies,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR,,,NO
EV-0632,"Comparing the Effects of Low-Dose Ketamine, Fentanyl, and Morphine on Hemorrhagic Tolerance and Analgesia in Humans.",randomized crossover placebo-controlled human experimental studies,RoB 2,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR,,,NO
EV-0896,How to Stop the Bleed: First Care Provider Model for Developing Public Trauma Response Beyond Basic Hemorrhage Control,nonrandomized comparative simulation study,JBI Quasi-Experimental Studies,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,NO
EV-0503,Barriers and enablers to implementing police mental health co-responder programs,qualitative service evaluation using post hoc CFIR analysis,JBI Qualitative Research,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,NO
EV-0758,"The Readiness, Resilience and Recovery Tool: An Emerging Approach to Enhance Readiness Amidst Disruption",conceptual implementation tool with descriptive case illustrations,JBI Textual Evidence: Expert Opinion,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,NO
EV-0668,Development of an Evidence-Informed Solution to Emotional Distress in Public Safety Personnel and Healthcare Workers: The STEADY Program,narrative review / program development,SANRA,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,NO
EV-0091,Building a Resilience Ecosystem to Improve Employee Mental Health and Wellbeing in Canadian High-Stress Low-Control Occupations,uncontrolled longitudinal multiple-cohort implementation case series,JBI Quasi-Experimental Studies,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,NO
EV-0523,Implementation science in action: national organization of an ambitious first responder training program,editorial commentary,JBI Textual Evidence: Expert Opinion,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,NO
EV-0376,Integrating Implementation Science in Interpersonal Violence Research and Practice: A Systematic Review of Barriers and Facilitators of Implementation.,systematic review with CFIR-based synthesis,JBI Systematic Reviews and Research Syntheses,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR,,,NO
