evidence_id,pmid,zotero_key,doi,title,relation,relation_urls,primary_source_url,risk,ai_decision_provisional,ai_justification,human_reviewer,human_date,human_decision,human_justification,human_options,claim_ready
EV-0059,42412865,UR4UXGB5,10.1371/journal.pone.0353341,Correction: Salivary biomarkers of tactical athlete readiness: A systematic review.,ErratumFor -> PMID 40299918,https://pubmed.ncbi.nlm.nih.gov/40299918/,https://pubmed.ncbi.nlm.nih.gov/42412865/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0063,42400068,MRP2ZHSP,10.1186/s13011-026-00746-1,Perspectives on harm reduction kit implementation in heterogeneous outpatient clinics.,UpdateOf -> PMID 41646313,https://pubmed.ncbi.nlm.nih.gov/41646313/,https://pubmed.ncbi.nlm.nih.gov/42400068/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0106,42088002,7587TZZW,10.3389/fpsyt.2026.1837016,Correction: Innovating military suicide prevention: learnings from the Australian Defence SafeSide Project.,ErratumFor -> PMID 41908109,https://pubmed.ncbi.nlm.nih.gov/41908109/,https://pubmed.ncbi.nlm.nih.gov/42088002/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0116,41997270,GFMM7RIR,10.1016/j.actatropica.2026.108097,Residual knockdown effects of pyrethroid and neonicotinoid-treated nets on Rhodnius prolixus.,ErratumIn -> PMID 42728190,https://pubmed.ncbi.nlm.nih.gov/42728190/,https://pubmed.ncbi.nlm.nih.gov/41997270/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0128,41908109,BNNMXLW6,10.3389/fpsyt.2026.1757232,Innovating military suicide prevention: learnings from the Australian Defence SafeSide Project.,ErratumIn -> PMID 42088002,https://pubmed.ncbi.nlm.nih.gov/42088002/,https://pubmed.ncbi.nlm.nih.gov/41908109/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0202,41317041,SEC3AQXF,10.1093/milmed/usaf585,Wilderness Medicine Training Effect on Perceived Confidence Practicing in Deployed Environments.,ErratumIn -> PMID 41693123,https://pubmed.ncbi.nlm.nih.gov/41693123/,https://pubmed.ncbi.nlm.nih.gov/41317041/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0217,41220806,EUEEG7IZ,10.3389/fbioe.2025.1709142,Correction: Biomechanically optimized 3D-printed titanium prostheses with stiffener arrangement for critical femoral diaphyseal defects: early weight-bearing capacity and combat readiness validated through integrated biomechanical-FEA approach.,ErratumFor -> PMID 41040412,https://pubmed.ncbi.nlm.nih.gov/41040412/,https://pubmed.ncbi.nlm.nih.gov/41220806/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0220,41208212,4QWKTX4Z,10.1093/tbm/ibaf054,"Using the Consolidated Framework for Implementation Research (CFIR) to understand student perceptions of reach, relevance, and fit of opioid overdose education and naloxone distribution programs on university campuses.",UpdateOf -> PMID 40894045,https://pubmed.ncbi.nlm.nih.gov/40894045/,https://pubmed.ncbi.nlm.nih.gov/41208212/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0240,41040412,GT2QB4J2,10.3389/fbioe.2025.1642787,Biomechanically optimized 3D-Printed titanium prostheses with stiffener arrangement for critical femoral diaphyseal defects: early weight-bearing capacity and combat readiness validated through integrated biomechanical-FEA approach.,ErratumIn -> PMID 41220806,https://pubmed.ncbi.nlm.nih.gov/41220806/,https://pubmed.ncbi.nlm.nih.gov/41040412/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0325,40299918,HNGGU78Y,10.1371/journal.pone.0321223,Salivary biomarkers of tactical athlete readiness: A systematic review.,ErratumIn -> PMID 42412865,https://pubmed.ncbi.nlm.nih.gov/42412865/,https://pubmed.ncbi.nlm.nih.gov/40299918/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0540,37952191,KXHMGT9N,10.1093/milmed/usad431,"Nasal Decolonization in Congregant Settings: Reducing Infection Spread, Cutting Costs, and Improving Operational Readiness.",ErratumIn -> PMID 39846215,https://pubmed.ncbi.nlm.nih.gov/39846215/,https://pubmed.ncbi.nlm.nih.gov/37952191/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0603,37046894,YTP3YID4,10.3390/healthcare11070967,Physical Training Programs for Tactical Populations: Brief Systematic Review.,ErratumIn -> PMID 37761801,https://pubmed.ncbi.nlm.nih.gov/37761801/,https://pubmed.ncbi.nlm.nih.gov/37046894/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0832,33313735,JT4S2PB5,10.1093/pm/pnaa367,Resolving the Burden of Low Back Pain in Military Service Members and Veterans (RESOLVE): Protocol for a Multisite Pragmatic Clinical Trial.,ErratumIn -> PMID 33611567,https://pubmed.ncbi.nlm.nih.gov/33611567/,https://pubmed.ncbi.nlm.nih.gov/33313735/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-0860,32908996,XHQD4258,10.1101/2020.08.31.20185140,COVID-19 Myocardial Pathology Evaluated Through scrEening Cardiac Magnetic Resonance (COMPETE CMR).,UpdateIn -> PMID 33332151,https://pubmed.ncbi.nlm.nih.gov/33332151/,https://pubmed.ncbi.nlm.nih.gov/32908996/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-1001,30393251,2BGUD3R5,10.2486/indhealth.2018-0086,The effectiveness of the functional movement screen in determining injury risk in tactical occupations.,ErratumIn -> PMID 31554759,https://pubmed.ncbi.nlm.nih.gov/31554759/,https://pubmed.ncbi.nlm.nih.gov/30393251/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-1117,27825363,SU7REG6T,10.1186/s13054-016-1543-7,Pre-hospital management of mass casualty civilian shootings: a systematic literature review.,ErratumIn -> PMID 28403866,https://pubmed.ncbi.nlm.nih.gov/28403866/,https://pubmed.ncbi.nlm.nih.gov/27825363/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-1266,23192066,8P9QAB82,10.1097/ta.0b013e3182755dcc,Death on the battlefield (2001-2011): implications for the future of combat casualty care.,ErratumIn -> PMID ,,https://pubmed.ncbi.nlm.nih.gov/23192066/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
EV-1379,15460628,Q3MG2N6N,,Caffeine restores engagement speed but not shooting precision following 22 h of active wakefulness.,ErratumIn -> PMID ,,https://pubmed.ncbi.nlm.nih.gov/15460628/,Relação editorial requer interpretação antes de uso,REVIEW_REQUIRED,Correção/atualização detectada em fonte PubMed atual; manter fora de uso até esclarecimento.,,,,,Confirmar bloqueio | Confirmar exclusão | Manter candidato | Solicitar texto completo | Investigar relação editorial,NO
