evidence_id,tool,tool_version,appraisal_type,component,criterion_code,domain,judgment_ai_provisional,basis,classification_reason,source_url,human_confirmed
EV-0425,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,conclusions flow from analysis,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0425,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,ethics approval,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0425,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/data collection congruity,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0425,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/data representation/analysis congruity,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0425,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/interpretation congruity,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0425,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/philosophical perspective congruity,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0425,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/research question congruity,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0425,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,participants and voices represented,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0425,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,researcher culturally/theoretically located,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0425,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,researcher influence addressed,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0447,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,conclusions flow from analysis,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
