staging_id,canonical_evidence_id,doi,pmid,zotero_key,duplicate_status,action,provenance,reconciliation_result
INT-EXT-31045682,EV-1457,10.1519/JSC.0000000000003177,31045682,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
INT-EXT-28515947,EV-1458,10.1186/s40557-017-0169-9,28515947,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
INT-EXT-29316674,EV-1459,,29316674,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
INT-EXT-30862044,EV-1460,,30862044,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
INT-EXT-42165076,EV-1461,,42165076,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
INT-EXT-FNUT2026,EV-1462,10.3389/fnut.2026.1893033,,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
BR-EXT-001,EV-1463,10.3389/fpubh.2025.1716547,,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
BR-EXT-002,EV-1464,10.1002/ajhb.24184,39630574,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
BR-EXT-003,EV-1465,10.1016/j.rbce.2018.01.011,,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
BR-EXT-004,EV-1466,10.63231/2595-0118.e202684-en,,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
BR-EXT-005,EV-1467,10.3390/jfmk8040148,37987484,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
BR-EXT-006,EV-1468,10.62827/fb.v25i6.1038,,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
BR-EXT-007,EV-1469,10.36776/ribsp.v5i13.219,,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
BR-EXT-008,EV-1470,,,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
B03-NEW-001,EV-1471,10.1016/j.nut.2025.112989,41252783,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
B03-NEW-002,EV-1472,10.1177/08901171251336887,40262036,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
B03-NEW-003,EV-1473,10.3389/fpsyg.2025.1557524,40212308,,NOT_FOUND_IN_1456_BASELINE,CREATE_CANONICAL,Batch02/03 gap-directed discovery,CANONICAL_ID_ASSIGNED; ZOTERO_WRITE_PENDING
