Domain,Status,Reason
Operational readiness,PARTIALLY_SATURATED,Conceptual architecture present but full-universe screening pending
Nutrition / schedule load,PARTIALLY_SATURATED,Two direct Core studies; broader evidence not exhaustively screened
Cognition / firearm performance,PARTIALLY_SATURATED,Overlap family limits replication
Tactical medicine,EVIDENCE_GAP,No robust Brazilian comparative patient-outcome evidence in frozen set
Policy / organizational readiness,PARTIALLY_SATURATED,Core policy evidence present; full-universe screening pending
Physical / academy readiness,PARTIALLY_SATURATED,Direct and supporting evidence present; broader screening pending
Medical / cardiovascular readiness,PARTIALLY_SATURATED,State-specific direct plus indirect physiology; representativeness limited
Organizational health,PARTIALLY_SATURATED,Contextual evidence only
Implementation science,EVIDENCE_GAP,Formal Brazilian public-safety implementation-science evidence remains structural gap
International transferability,UNRESOLVED,Requires broader direct international comparison and full-universe audit
