Ordem,Evidence ID,PMID,Prioridade,Score,Acesso,Posição após excluir Pilotos 01/02/03,Regra determinística
1,EV-0103,42093038,P1,20,PMC_AVAILABLE,1,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02_03
2,EV-1301,21761154,P1,19,PMC_AVAILABLE,2,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02_03
3,EV-1039,29373993,P1,19,PMC_AVAILABLE,3,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02_03
4,EV-0796,33824854,P1,19,PMC_AVAILABLE,4,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02_03
5,EV-0632,36689353,P1,19,PMC_AVAILABLE,5,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02_03
6,EV-0458,38943537,P1,19,PMC_AVAILABLE,6,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02_03
7,EV-0376,39727243,P1,19,PMC_AVAILABLE,7,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02_03
8,EV-0880,32414356,P1,18,PMC_AVAILABLE,8,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02_03
9,EV-0862,32884581,P1,18,PMC_AVAILABLE,9,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02_03
10,EV-0813,33588821,P1,18,PMC_AVAILABLE,10,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02_03
