Evidence ID,PMID,PMCID,Versão fonte,URL publisher,Acesso publisher,Comparação VOR,Escopo comparado,Localização de claim,Confirmação humana
EV-0103,42093038,PMC13147615,VERSION_OF_RECORD,https://doi.org/10.1186/s13049-026-01621-5,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,PMC/publisher VOR metadata and full-text route,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-1301,21761154,PMC3218271,VERSION_OF_RECORD,https://link.springer.com/article/10.1007/s11121-011-0234-5,PUBLISHER_FULL_TEXT_ACCESSIBLE,NOT_APPLICABLE,Publisher VOR and PMC text available,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-1039,29373993,PMC5787269,VERSION_OF_RECORD,https://doi.org/10.1186/s13063-017-2437-y,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,PMC/publisher VOR full text,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0796,33824854,PMC8008048,VERSION_OF_RECORD,https://doi.org/10.4102/ajlm.v10i1.1057,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,PMC VOR and journal metadata,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0632,36689353,PMC10329983,AUTHOR_ACCEPTED_MANUSCRIPT,https://doi.org/10.1080/10903127.2023.2172493,PUBLISHER_METADATA_ROUTE_ACCESSIBLE,VOR_COMPARISON_PENDING,PMC identifies author manuscript; publisher page did not expose sufficient full VOR text in this environment,VOR_LOCATION_REQUIRED_BEFORE_CLAIM_READY,
EV-0458,38943537,PMC13396151,VERSION_OF_RECORD,https://doi.org/10.1093/milmed/usae332,PMC/PUBMED_FULL_TEXT_ROUTE,NOT_APPLICABLE,PMC/PubMed article text and metadata,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0376,39727243,PMC12202711,AUTHOR_ACCEPTED_MANUSCRIPT,https://doi.org/10.1177/15248380241305567,PUBLISHER_VOR_METADATA_LIMITED,VOR_COMPARISON_PENDING,PMC explicitly labels author manuscript; full publisher VOR comparison insufficient in this environment,VOR_LOCATION_REQUIRED_BEFORE_CLAIM_READY,
EV-0880,32414356,PMC7229618,VERSION_OF_RECORD,https://link.springer.com/article/10.1186/s12889-020-08868-2,PUBLISHER_VOR_FULL_TEXT,NOT_APPLICABLE,Publisher states version of record; PubMed/PMC metadata consistent,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0862,32884581,PMC7461150,VERSION_OF_RECORD,https://link.springer.com/article/10.1186/s13031-020-00308-7,PUBLISHER_VOR_FULL_TEXT,NOT_APPLICABLE,Publisher/PMC version-of-record route,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0813,33588821,PMC7885386,VERSION_OF_RECORD,https://link.springer.com/article/10.1186/s12909-021-02530-0,PUBLISHER_VOR_FULL_TEXT,NOT_APPLICABLE,Open-access publisher/PMC VOR,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
