evidence_id,pmid,pmcid,source_version,publisher_url,publisher_access,vor_comparison,comparison_scope,claim_location_status,human_confirmed
EV-0629,36747268,PMC9902242,VERSION_OF_RECORD,https://doi.org/10.1186/s13722-023-00363-4,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,PMC VOR used,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0592,37326779,PMC10689544,VERSION_OF_RECORD,https://doi.org/10.1007/s10552-023-01732-9,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,PMC VOR used,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0515,38233933,PMC10795311,VERSION_OF_RECORD,https://doi.org/10.1186/s13011-023-00590-7,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,PMC VOR used,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0439,39119394,PMC11307241,VERSION_OF_RECORD,https://doi.org/10.7759/cureus.64132,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,PMC VOR used,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0405,39425094,PMC11490149,VERSION_OF_RECORD,https://doi.org/10.1186/s12889-024-20336-9,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,PMC VOR used,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0335,40156033,PMC11951663,VERSION_OF_RECORD,https://doi.org/10.1186/s12954-025-01193-0,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,PMC VOR used,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0316,40406195,PMC12094109,AUTHOR_ACCEPTED_MANUSCRIPT,https://journals.sagepub.com/doi/10.1177/10986111241265290,PUBLISHER_FULL_TEXT_ACCESSIBLE,NO_MATERIAL_DIFFERENCE_OBSERVED,"metadata, abstract, headings, methods/review account, tables, discussion and claims compared",SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0282,40710431,PMC12298807,VERSION_OF_RECORD,https://doi.org/10.3390/jpm15070314,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,PMC VOR used,SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
EV-0252,40979841,PMC12448121,AUTHOR_ACCEPTED_MANUSCRIPT,https://www.tandfonline.com/doi/abs/10.1080/15614263.2025.2512806,PUBLISHER_METADATA_AND_ABSTRACT_ACCESSIBLE,VOR_COMPARISON_PENDING,"metadata and abstract compared; full methods, results, tables and limitations unavailable for sufficient comparison",VOR_LOCATION_REQUIRED_BEFORE_CLAIM_READY,
EV-0167,41537090,PMC12798756,AUTHOR_ACCEPTED_MANUSCRIPT,https://link.springer.com/article/10.1007/s11292-025-09711-7,PUBLISHER_FULL_TEXT_ACCESSIBLE,NO_MATERIAL_DIFFERENCE_OBSERVED,"metadata, abstract, methods, results, limitations and claims compared",SOURCE_LOCATION_RECORDED_HUMAN_AUDIT_REQUIRED,
