pilot_order,evidence_id,pmid,priority_tier,priority_score,access_status,queue_position_after_pilot01_exclusion,selection_rule
1,EV-0367,39808097,P1,22,PMC_AVAILABLE,1,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOT_01
2,EV-0176,41492854,P1,22,PMC_AVAILABLE,2,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOT_01
3,EV-0171,41520119,P1,22,PMC_AVAILABLE,3,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOT_01
4,EV-0160,41626406,P1,22,PMC_AVAILABLE,4,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOT_01
5,EV-0157,41673910,P1,22,PMC_AVAILABLE,5,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOT_01
6,EV-0091,42196761,P1,22,PMC_AVAILABLE,6,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOT_01
7,EV-1328,19947877,P1,20,PMC_AVAILABLE,7,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOT_01
8,EV-0896,32191195,P1,20,PMC_AVAILABLE,8,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOT_01
9,EV-0791,33909512,P1,20,PMC_AVAILABLE,9,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOT_01
10,EV-0723,35120531,P1,20,PMC_AVAILABLE,10,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOT_01
