evidence_id,pmid,zotero_key
EV-0001,42658917,JZ28Y5TU
EV-0002,42658911,872J4UGW
EV-0003,42653059,24PZ6F9R
EV-0004,42641240,M9Z93JK4
EV-0005,42635296,S7QIB5YW
EV-0006,42623656,2XMNRPEP
EV-0007,42617370,NX6WZGTQ
EV-0008,42614648,MXBJDKL4
EV-0009,42611729,JIQ79LKJ
EV-0010,42603443,KCNR2CJT
EV-0011,42601604,KHDY95GN
EV-0012,42600053,UDYFBWEI
EV-0013,42589357,XNBWQ4VP
EV-0014,42583191,KZ8CDGSF
EV-0015,42580328,3I2HPGTL
EV-0016,42580324,6YINE2ZT
EV-0017,42569530,95D89M93
EV-0018,42565722,KI5ANE8D
EV-0019,42564675,758ZMY3V
EV-0020,42564434,56UFXMSR
EV-0021,42560255,X54NDJU9
EV-0022,42560254,A742KZS4
EV-0023,42560239,M6HTHMWU
EV-0024,42560233,6AC92QFW
EV-0025,42560229,TS669K8S
EV-0026,42560223,ABZRERK5
EV-0027,42560220,L3NEIF3E
EV-0028,42560215,FVTTTZ4M
EV-0029,42560206,2JCHS3NI
EV-0030,42560205,VJ85HKPK
EV-0031,42560189,FRCZW9AS
EV-0032,42550655,6KACFSNJ
EV-0033,42550646,NSDTRWZB
EV-0034,42550637,EQZQ4YQF
EV-0035,42550628,PG6A6WYP
EV-0036,42550626,FTZTJ5WX
EV-0037,42536945,RFPB8MW4
EV-0038,42535933,55KCXIEP
EV-0039,42534159,KFLZYXQ9
EV-0040,42534052,ZRI82RPN
EV-0041,42533972,8SL5C5J6
EV-0042,42533083,QVMZZUC2
EV-0043,42524425,XH93SGZV
EV-0044,42520311,34YKCU2L
EV-0045,42514456,JM5N5233
EV-0046,42513241,FEE8DAL8
EV-0047,42507964,LZXZEIES
EV-0048,42506803,YJWXWN9J
EV-0049,42498086,L9WG2365
EV-0050,42498016,F532KLXG
EV-0051,42496407,7TGWNRUZ
EV-0052,42489479,3P7JQVMJ
EV-0053,42472470,BLTKDMAV
EV-0054,42470582,S2NRC2J2
EV-0055,42467735,2ANI88FV
EV-0056,42436168,WLMCG5G4
EV-0057,42425810,FMZEJDSB
EV-0058,42422937,5UVNWDIT
EV-0059,42412865,UR4UXGB5
EV-0060,42404340,WWIHRICU
EV-0061,42404335,D9YBSUE4
EV-0062,42403460,ZJW99JVE
EV-0063,42400068,MRP2ZHSP
EV-0064,42391276,47FHHBY3
EV-0065,42391107,4HIFMWZS
EV-0066,42390623,A74JVCPZ
EV-0067,42389873,9GJNY5FT
EV-0068,42365570,EHUL3ZTC
EV-0069,42341153,FXEZVLWM
EV-0070,42340123,NR884JWC
EV-0071,42336376,Q7X7AIYS
EV-0072,42335273,P279MFFU
EV-0073,42330086,Y94KWV7C
EV-0074,42321991,Z563AFWR
EV-0075,42316751,P9ZYG6KD
EV-0076,42312763,NSW44PR5
EV-0077,42302140,JIFZJJKH
EV-0078,42299138,7SSBZ5B8
EV-0079,42288715,4I442A5U
EV-0080,42283338,I6K44TZX
EV-0081,42280200,4I8JVXWN
EV-0082,42268904,6S686U2D
EV-0083,42268855,RSXE39VU
EV-0084,42245804,IK8Y3XQQ
EV-0085,42233423,39NSEMMZ
EV-0086,42231972,NTVKQUW9
EV-0087,42223144,Y76X7DAZ
EV-0088,42212717,8BPIVEQZ
EV-0089,42209130,B3QH2XSU
EV-0090,42201815,K8YUL986
EV-0091,42196761,ME325L4C
EV-0092,42188571,ELXDR7GP
EV-0093,42179269,3M366AYH
EV-0094,42176615,NFCLN2YJ
EV-0095,42160182,YCQ488BK
