Layer,Section,Evidence,Role,Permitted_Use,Prohibited_Inference
International,Introduction / Conceptual Background,"EXT-TFF-2013; EXT-ACC-AHA-2026",Conceptual,"Multidomain/task-linked readiness context","No originality claim for multidomain readiness"
International,Nutrition and Schedule Load,"EV-1471; EV-1472",CORE,"Shift/intake/vigilance associations","No dietary causality; no national norms"
International,Cognition / Firearm Task,"EV-1473; EV-1474","CORE overlap family","Protocol-specific shooting/stress/fitness findings","No independent replication; no field universalization"
International,Tactical Medicine,"EV-1475; EV-1476; EV-1477","CORE + CONTEXTUAL","Operational use + APH-Tatico context","No survival/mortality/effectiveness claim"
International,Policy / Organization,"EV-1478; EV-1479",CORE,"DiD policy estimate + null program result","No physiological-readiness inference"
International,Physical / Academy,"EV-1481; EV-1480","CORE + SUPPORTING","Fitness change + simulated use-of-force","No component causality; no field-efficacy claim"
International,Medical / Cardiovascular,"EV-1484; EV-1483","CORE + CONTEXTUAL","Medical readiness + indirect military physiology","No national prevalence; no direct transfer"
International,Organizational Health Context,EV-1482,CONTEXTUAL,"Mental-health promotion context","No clinical-effectiveness claim"
Brazil,Nutricao e jornadas,"EV-1471; EV-1472",CORE,"Associacoes turno/ingestao/vigilancia","Sem causalidade ou norma nacional"
Brazil,Cognicao e tiro,"EV-1473; EV-1474","CORE overlap family","Achados especificos de cadetes/protocolo","Sem universalizacao operacional"
Brazil,APH-Tatico,"EV-1475; EV-1476; EV-1477","CORE + CONTEXTUAL","Uso documentado + contexto institucional","Sem claim de sobrevida/efetividade"
Brazil,Aptidao / academia / forca,"EV-1481; EV-1480","CORE + SUPPORTING","Mudanca fisica + simulacao","Sem causalidade de componentes ou eficacia de campo"
Brazil,Saude / prontidao medica,"EV-1484; EV-1483","CORE + CONTEXTUAL","Prontidao estadual + mecanismo indireto","Sem prevalencia nacional / transferencia direta"
Brazil,Politica / organizacao,"EV-1478; EV-1479; EV-1482","CORE + CONTEXTUAL","Politica, resultado nulo e saude mental contextual","Sem converter politica em prontidao fisiologica"
