evidence_id,pmid,zotero_key,field,previous_value,current_primary_value,resolution_status,resolution_reason,primary_source_url,verification_date,canonical_master_changed
EV-0027,42560220,L3NEIF3E,authors,"Talbot, Laura A | Webb, Lee | Ramirez, Vanessa J | Taylor-Clark, Tanekkia M | Morrell, Christopher H | Enochs, Kayla | Fagan, Mathias | Hillner, Jesse Sr | Scallan, Ross M | Metter, E Jeffrey","Talbot, Laura A | Webb, Lee | Ramirez, Vanessa J | Taylor-Clark, Tanekkia M | Morrell, Christopher H | Enochs, Kayla | Fagan, Mathias | Hillner, Jesse | Scallan, Ross M | Metter, E Jeffrey",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/42560220/,2026-09-16,NO
EV-0028,42560215,FVTTTZ4M,authors,"Lebeau, Jennelle CPT | Edgeworth, Daniel B | Crellin, Holly MAJ | White-Phillip, Jessica A","Lebeau, Jennelle | Edgeworth, Daniel B | Crellin, Holly | White-Phillip, Jessica A",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/42560215/,2026-09-16,NO
EV-0045,42514456,JM5N5233,authors,"Anyzewska, Anna | Lakomy, Roman | Lepionka, Tomasz | Tomczak, Andrzej | Bertrandt, Jerzy","Anyżewska, Anna | Łakomy, Roman | Lepionka, Tomasz | Tomczak, Andrzej | Bertrandt, Jerzy",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/42514456/,2026-09-16,NO
EV-0053,42472470,BLTKDMAV,authors,"Beisheim-Ryan, Emma H | Hendershot, Brad D | Patterson, Charity G | Kakyomya, Joseph | Maikos, Jason | Highsmith, M Jason | Gorczynski, Sara R | Dearth, Christopher L | Farrokhi, Shawn","Beisheim-Ryan, Emma H | Hendershot, Brad D | Patterson, Charity G | Kakyomya, Joseph | Maikos, Jason | Highsmith, M Jason | Gorczynski, Sara R | RESOLVE Trial Team | Dearth, Christopher L | Farrokhi, Shawn",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/42472470/,2026-09-16,NO
EV-0058,42422937,5UVNWDIT,authors,"Cornwell, William K 3rd | Dineen, Elizabeth H | Petek, Bradley J | Shafer, Keri M | Davenport, Eddie | Chung, Eugene H | Kim, Jonathan H | Levine, Benjamin D","Cornwell, William K | Dineen, Elizabeth H | Petek, Bradley J | Shafer, Keri M | Davenport, Eddie | Chung, Eugene H | Kim, Jonathan H | Levine, Benjamin D",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/42422937/,2026-09-16,NO
EV-0098,42124344,UEU5ERLK,authors,"Hebert, Avery | Sanan, Akshat | Arcieri, Talia | Reyes, Ana | Boomsma, Shawn LTC | Summers, Shane COL | Pearson, Nadia COL | Nelson, Vincente LTC | Buzzelli, Mark D COL | Schulman, Carl I | Namias, Nicholas | Proctor, Kenneth G | Wetstein, Paul J LTC","Hebert, Avery | Sanan, Akshat | Arcieri, Talia | Reyes, Ana | Boomsma, Shawn | Summers, Shane | Pearson, Nadia | Nelson, Vincente | Buzzelli, Mark D | Schulman, Carl I | Namias, Nicholas | Proctor, Kenneth G | Wetstein, Paul J",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/42124344/,2026-09-16,NO
EV-0107,42075499,XVT79TD2,authors,"Zachaj, Jakub | Moorthi, Katarzyna | Kreglicki, Lukasz | Bielka, Kateryna | Formina, Hanna | Kryveshko, Liliia | Galazkowski, Robert | Podgorski, Marcin | Rzonca, Patryk","Zachaj, Jakub | Moorthi, Katarzyna | Kręglicki, Łukasz | Bielka, Kateryna | Formina, Hanna | Kryveshko, Liliia | Gałązkowski, Robert | Podgórski, Marcin | Rzońca, Patryk",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/42075499/,2026-09-16,NO
EV-0112,42040064,C8YXV9YD,authors,"Baron, Andrea | Over-Muller, Laura | Brandt, Swantje | Franzen, Ole | Messer, Ingo | Mortensen, Kai | Franzen, Peer | Munstedt, Peter | Elsner, Bernhard | von der Forst, Maik | Ries, Markus | Dromann, Daniel | Ristau, Patrick | Franzen, Klaas F","Baron, Andrea | Over-Müller, Laura | Brandt, Swantje | Franzen, Ole | Meßer, Ingo | Mortensen, Kai | Franzen, Peer | Münstedt, Peter | Elsner, Bernhard | von der Forst, Maik | Ries, Markus | Drömann, Daniel | Ristau, Patrick | Franzen, Klaas F",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/42040064/,2026-09-16,NO
EV-0116,41997270,GFMM7RIR,authors,"Agbajelola, Victor I | Roachell, Walter D | Lane, Gillian S | Solis, Mauricio E | Bast, Joshua D | Ramutkowski, Anthony J Jr | Raghavan, Ram K","Agbajelola, Victor I | Roachell, Walter D | Lane, Gillian S | Solis, Mauricio E | Bast, Joshua D | Ramutkowski, Anthony J | Raghavan, Ram K",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/41997270/,2026-09-16,NO
EV-0137,41863396,KX3L9Y73,authors,"Talbot, Laura A | Wu, Lin | Ramirez, Vanessa J | Taylor-Clark, Tanekkia M | Fagan, Mathias | Zuber, Pilar | Bradley, David F Jr | Scallan, Ross | Morrell, Christopher H | Enochs, Kayla | Rountree, Josh | Cole, Catherine | Hillner, Jesse Sr | Knizel, Jessica | Mahoney, Jeramy | Metter, Earl Jeffrey","Talbot, Laura A | Wu, Lin | Ramirez, Vanessa J | Taylor-Clark, Tanekkia M | Fagan, Mathias | Zuber, Pilar | Bradley, David F | Scallan, Ross | Morrell, Christopher H | Enochs, Kayla | Rountree, Josh | Cole, Catherine | Hillner, Jesse | Knizel, Jessica | Mahoney, Jeramy | Metter, Earl Jeffrey",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/41863396/,2026-09-16,NO
EV-0139,41845870,WHJECGT4,authors,"Nakase-Richardson, Risa | Haun, Jolie N | Moore, Megan | Bogner, Jennifer | Hoffman, Jeanne M | Dams-O'Connor, Kristen | Coulter, Jill | Kretzmer, Tracy | Martin, Aaron M | Silva, Marc A","Nakase-Richardson, Risa | Haun, Jolie N | Moore, Megan | Bogner, Jennifer | Hoffman, Jeanne M | Dams-O'Connor, Kristen | Coulter, Jill | Kretzmer, Tracy | Martin, Aaron M | Silva, Marc A | I-HEAL Consortium",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/41845870/,2026-09-16,NO
EV-0145,41790570,9ZK35F4P,authors,"Austin, Stubbs MAJ | Kevin, Brunstein MAJ","Austin, Stubbs | Kevin, Brunstein",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/41790570/,2026-09-16,NO
EV-0151,41714953,U86J7838,authors,"Gunsoy, Ertug | Selman, Fatma | Aykut, Ahmet | Yildirim, Cem | Tatli, Mehmet","Günsoy, Ertuğ | Selman, Fatma | Aykut, Ahmet | Yıldırım, Cem | Tatlı, Mehmet",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/41714953/,2026-09-16,NO
EV-0153,41703548,AQA86FUR,authors,"Melenko, Vasyl | Kravchuk, Lyudmila | Nozdrenko, Dmytro | Maznychenko, Andriy | Abramovych, Tetiana | Sokolowska, Inna | Fishchenko, Iaksmall i, Ukrainianv","Melenko, Vasyl | Kravchuk, Lyudmila | Nozdrenko, Dmytro | Maznychenko, Andriy | Abramovych, Tetiana | Sokolowska, Inna | Fishchenko, Iakіv",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/41703548/,2026-09-16,NO
