rank,evidence_id,pilot,pmid,doi,title,priority_score,selection_reason,design,instrument,version,integrity
1,EV-0103,PILOT_04,42093038,10.1186/s13049-026-01621-5,The role of tactical police medics in the prehospital environment: results from an interview study.,33,Tactical police medics + direct prehospital/tactical medicine relevance,qualitative interview study,JBI Qualitative Research,VERSION_OF_RECORD,INTEGRITY_CLEAR
2,EV-1328,PILOT_02,19947877,10.3109/10903120903349762,Trauma Care Training for National Police Nurses in Colombia,28,National Police + combat trauma training + direct tactical training relevance,single-group pre/post quasi-experimental course evaluation,JBI Quasi-Experimental Studies,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR
3,EV-0632,PILOT_04,36689353,10.1080/10903127.2023.2172493,"Comparing the Effects of Low-Dose Ketamine, Fentanyl, and Morphine on Hemorrhagic Tolerance and Analgesia in Humans.",14,TCCC-derived doses + hemorrhage + randomized crossover human experiment,randomized crossover placebo-controlled human experimental studies,RoB 2,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR
4,EV-0896,PILOT_02,32191195,10.5811/westjem.2019.11.44887,How to Stop the Bleed: First Care Provider Model for Developing Public Trauma Response Beyond Basic Hemorrhage Control,13,Trauma/TECC-adjacent public response + training simulation,nonrandomized comparative simulation study,JBI Quasi-Experimental Studies,VERSION_OF_RECORD,INTEGRITY_CLEAR
5,EV-0503,PILOT_01_CORRECTED,38322801,10.1177/26334895231220259,Barriers and enablers to implementing police mental health co-responder programs,14,Direct policing + CFIR implementation,qualitative service evaluation using post hoc CFIR analysis,JBI Qualitative Research,VERSION_OF_RECORD,INTEGRITY_CLEAR
6,EV-0758,PILOT_01_CORRECTED,34622213,10.1007/s43477-021-00011-6,"The Readiness, Resilience and Recovery Tool: An Emerging Approach to Enhance Readiness Amidst Disruption",14,Direct readiness/resilience concept + conceptual route,conceptual implementation tool with descriptive case illustrations,JBI Textual Evidence: Expert Opinion,VERSION_OF_RECORD,INTEGRITY_CLEAR
7,EV-0668,PILOT_01_CORRECTED,36141388,10.3390/healthcare10091777,Development of an Evidence-Informed Solution to Emotional Distress in Public Safety Personnel and Healthcare Workers: The STEADY Program,14,Public safety personnel + resilience/mental health + narrative route,narrative review / program development,SANRA,VERSION_OF_RECORD,INTEGRITY_CLEAR
8,EV-0091,PILOT_02,42196761,10.3390/ijerph23050669,Building a Resilience Ecosystem to Improve Employee Mental Health and Wellbeing in Canadian High-Stress Low-Control Occupations,14,Public-safety high-stress occupations + longitudinal quantitative implementation,uncontrolled longitudinal multiple-cohort implementation case series,JBI Quasi-Experimental Studies,VERSION_OF_RECORD,INTEGRITY_CLEAR
9,EV-0523,PILOT_01_CORRECTED,38115970,10.1136/tsaco-2023-001292,Implementation science in action: national organization of an ambitious first responder training program,18,First responder training + implementation science; deliberate expert-opinion comparator,editorial commentary,JBI Textual Evidence: Expert Opinion,VERSION_OF_RECORD,INTEGRITY_CLEAR
10,EV-0376,PILOT_04,39727243,10.1177/15248380241305567,Integrating Implementation Science in Interpersonal Violence Research and Practice: A Systematic Review of Barriers and Facilitators of Implementation.,14,Systematic review + implementation science + military/correctional settings,systematic review with CFIR-based synthesis,JBI Systematic Reviews and Research Syntheses,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR
