Section,Full_Text,Replace,Contradictory,Discussion_Only,Context_Only,Already_Cited
Tactical Medicine Readiness / APH-Tatico,29,0,0,10,3,3
Introduction / Conceptual Background / Discussion,0,0,0,418,6,1
Physical and Academy Readiness / Aptidao e academia,67,5,2,6,0,1
Organizational Health Context / Discussao,20,0,0,1,0,0
Nutrition and Schedule Load / Nutricao e jornadas,27,4,1,1,0,3
Operational Implications / Discussion,60,0,0,1,1,0
Integrated Operational Readiness / Discussion,27,0,0,3,0,0
Cognition and Firearm-Task Performance / Cognicao e tiro,14,6,0,1,0,2
Medical and Cardiovascular Readiness / Discussion,4,0,0,1,0,0
Medical and Cardiovascular Readiness / Saude e prontidao medica,10,1,0,4,0,1
Implementation Considerations / Implementacao,7,0,0,2,0,3
Future Research Agenda / Agenda de pesquisa,1,0,0,0,0,0
Organizational and Policy Readiness / Politica e organizacao,0,0,0,0,0,0
