evidence_id,layer,score,tier,brazil_tier,final_ai_judgment_reason
EV-0603,INTERNATIONAL,94,CORE_EVIDENCE,,RESCUED_FOR_DEEP_QUALIFICATION
EV-1001,INTERNATIONAL,88,CORE_EVIDENCE,,RESCUED_FOR_DEEP_QUALIFICATION
EV-0325,INTERNATIONAL,91,CORE_EVIDENCE,,RESCUED_FOR_DEEP_QUALIFICATION
EV-1117,INTERNATIONAL,90,CORE_EVIDENCE,,RESCUED_FOR_DEEP_QUALIFICATION
EV-1266,INTERNATIONAL,93,CORE_EVIDENCE,,RESCUED_FOR_DEEP_QUALIFICATION
EV-1379,INTERNATIONAL,78,HOLD_VERSION,,HOLD_VERSION
INT-EXT-31045682,INTERNATIONAL,95,CORE_EVIDENCE,,NEW_EXTERNAL_PENDING_RECONCILIATION
INT-EXT-28515947,INTERNATIONAL,94,CORE_EVIDENCE,,NEW_EXTERNAL_PENDING_RECONCILIATION
INT-EXT-29316674,INTERNATIONAL,84,SUPPORTING_EVIDENCE,,NEW_EXTERNAL_PENDING_RECONCILIATION
INT-EXT-30862044,INTERNATIONAL,95,CORE_EVIDENCE,,NEW_EXTERNAL_PENDING_RECONCILIATION
INT-EXT-42165076,INTERNATIONAL,96,CORE_EVIDENCE,,NEW_EXTERNAL_PENDING_RECONCILIATION
INT-EXT-FNUT2026,INTERNATIONAL,95,CORE_EVIDENCE,,NEW_EXTERNAL_PENDING_RECONCILIATION
BR-EXT-001,BRAZIL,96,CORE_EVIDENCE,BRAZIL_CORE_EVIDENCE,NEW_EXTERNAL_PENDING_RECONCILIATION
BR-EXT-002,BRAZIL,88,SUPPORTING_EVIDENCE,BRAZIL_CORE_CANDIDATE,FULL_TEXT_VERIFICATION_PENDING
BR-EXT-003,BRAZIL,92,CORE_EVIDENCE,BRAZIL_CORE_EVIDENCE,NEW_EXTERNAL_PENDING_RECONCILIATION
BR-EXT-004,BRAZIL,82,SUPPORTING_EVIDENCE,BRAZIL_SUPPORTING_EVIDENCE,NEW_EXTERNAL_PENDING_RECONCILIATION
BR-EXT-005,BRAZIL,83,SUPPORTING_EVIDENCE,BRAZIL_SUPPORTING_EVIDENCE,NEW_EXTERNAL_PENDING_RECONCILIATION
BR-EXT-006,BRAZIL,86,SUPPORTING_EVIDENCE,BRAZIL_CORE_CANDIDATE,NEW_EXTERNAL_PENDING_RECONCILIATION
BR-EXT-007,BRAZIL,87,SUPPORTING_EVIDENCE,BRAZIL_CORE_CANDIDATE,NUMERIC_EXTRACTION_PENDING
BR-EXT-008,BRAZIL,85,SUPPORTING_EVIDENCE,BRAZIL_SUPPORTING_EVIDENCE,NEW_EXTERNAL_PENDING_RECONCILIATION
