evidence_id,pmid,zotero_key,doi,title,batch,workflow_status,ai_decision_provisional,criterion,confidence,source,integrity_status,human_reviewer,human_date,human_decision,human_justification,claim_ready,what_not_allowed
EV-1397,12099092,T2WQFWIH,,A mysterious blood pressure increase in a drilling Naval reservist.,ADJ-01,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/12099092/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1394,12319966,7QU6UJPX,,"By virtue of their occupation, soldiers and sailors are at greater risk. Special report: the military.",ADJ-01,PENDING_ADJUDICATION,PENDING_ADJUDICATION,No abstract is available in the current PubMed record; title alone is insufficient for exclusion.,LOW,https://pubmed.ncbi.nlm.nih.gov/12319966/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1388,12775176,QMXRVI5G,,Predictors of successful physical readiness testing under the new standard: OPNAV Instruction 6110.1F.,ADJ-01,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/12775176/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1384,14692469,4PJ3Y2Q9,,"Impact of melatonin, zaleplon, zopiclone, and temazepam on psychomotor performance.",ADJ-01,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/14692469/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1382,15198277,E7YGM33M,,"Sleep-inducing pharmaceuticals: a comparison of melatonin, zaleplon, zopiclone, and temazepam.",ADJ-01,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/15198277/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1453,1603373,EYDVQXT3,,An assessment of pre- and post-fitness measures in two remedial conditioning programs.,ADJ-01,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/1603373/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1359,17517914,Q2ZR64E2,10.1177/0748730407301376,"Developing mathematical models of neurobehavioral performance for the ""real world"".",ADJ-01,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/17517914/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1354,17901393,9WQESI5C,10.1161/strokeaha.107.186094,Implementation strategies for emergency medical services within stroke systems of care: a policy statement from the American Heart Association/American Stroke Association Expert Panel on Emergency Medical Services Systems and the Stroke Council.,ADJ-01,PENDING_ADJUDICATION,PENDING_ADJUDICATION,No abstract is available in the current PubMed record; title alone is insufficient for exclusion.,LOW,https://pubmed.ncbi.nlm.nih.gov/17901393/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1346,18333501,5BHEXXFU,10.7205/milmed.173.2.217,Successful treatment of disabling cholinergic urticaria.,ADJ-01,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/18333501/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1339,18816926,3ENDFC7F,10.7205/milmed.173.9.871,Referrals for alcohol use problems in an overseas military environment: description of the client population and reasons for referral.,ADJ-01,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/18816926/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
