evidence_id,funding,coi,human_verification_needed
EV-0603,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
EV-1001,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
EV-0325,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
EV-1117,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
EV-1266,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
EV-1379,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
INT-EXT-31045682,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
INT-EXT-28515947,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
INT-EXT-29316674,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
INT-EXT-30862044,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
INT-EXT-42165076,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
INT-EXT-FNUT2026,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
BR-EXT-001,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
BR-EXT-002,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
BR-EXT-003,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
BR-EXT-004,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
BR-EXT-005,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
BR-EXT-006,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
BR-EXT-007,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
BR-EXT-008,SEE_FULL_TEXT_OR_NOT_REPORTED,SEE_FULL_TEXT_OR_NOT_REPORTED,YES
