pilot,evidence_id,pmid,title,ai_decision_provisional,design,evidence_class,instrument,main_findings,limitations,supported_claims,unsupported_claims,pending_items,human_reviewer,human_review_date,human_decision,human_justification,human_confirmation,claim_ready
PILOT_01_CORRECTED,EV-0668,36141388,"Development of an Evidence-Informed Solution to Emotional Distress in Public Safety Personnel and Healthcare Workers: The Social Support, Tracking Distress, Education, and Discussion CommunitY (STEADY) Program",INCLUDE_FULL_TEXT,narrative review / program development,NARRATIVE_REVIEW_EVIDENCE,SANRA,The paper describes program components and planned implementation; it explicitly does not report a STEADY evaluation.,Canadian program-development context; mixed PSP/healthcare target; no Brazilian implementation or outcome data.,The authors developed and described the five-component STEADY program and its proposed implementation basis.,"The article does not establish STEADY effectiveness, causal mental-health benefit, long-term outcomes or superiority to other programs.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_01_CORRECTED,EV-0787,33933923,Implementation of a New Hampshire community-initiated response to the opioid crisis: A mixed-methods process evaluation of Safe Station,INCLUDE_FULL_TEXT,convergent parallel mixed-methods process evaluation,MIXED_METHODS_EVIDENCE,MMAT,"Implementation scores were descriptive; small samples precluded significance testing, and staff adoption/acceptability appeared lower than client and leadership ratings.","Single US city, self-selected small stakeholder samples, local fire/health partnerships and no inferential testing.","In this local evaluation, participating stakeholder groups identified specific facilitators and barriers to Safe Station implementation.","The study does not prove program effectiveness, mortality reduction, causal benefit, sustainability or transportability to Brazil.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_01_CORRECTED,EV-0758,34622213,"The Readiness, Resilience and Recovery Tool: An Emerging Approach to Enhance Readiness Amidst Disruption",INCLUDE_FULL_TEXT,conceptual implementation tool with descriptive case illustrations,CONCEPTUAL_EVIDENCE,JBI Textual Evidence: Expert Opinion,Authors report preliminary user experience and explicitly state that structured qualitative and quantitative evaluation is still needed.,Heterogeneous US examples; no Brazilian public-safety application; authors characterize validity support as anecdotal.,"The article describes the RRR tool, its conceptual basis and five early applications.","It does not validate the tool, establish psychometric properties, prove effectiveness or demonstrate generalizability.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_01_CORRECTED,EV-0753,34665820,Implementation and perceived effectiveness of gun violence restraining orders in California: A qualitative evaluation,INCLUDE_FULL_TEXT,qualitative grounded-theory/CFIR evaluation,QUALITATIVE_EVIDENCE,JBI Qualitative Research,Perceived effectiveness was favorable but informants and authors stated that outcome evidence remained incomplete.,California law and institutions differ from Brazil; participating counties had used GVROs and informants may have been more supportive.,"Interviewed California stakeholders identified barriers, facilitators and perceived outcomes of GVRO implementation.","The interviews do not establish that GVROs reduce violence or suicide, quantify causal effects, or resolve equity impacts.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_01_CORRECTED,EV-0727,35076700,Perspectives About Emergency Department Care Encounters Among Adults With Opioid Use Disorder,INCLUDE_FULL_TEXT,multisite qualitative focus-group study,QUALITATIVE_EVIDENCE,JBI Qualitative Research,The study reports participant experiences and implementation needs; it did not test an intervention effect.,US ED and addiction-care context; selected English-speaking participants; no Brazilian public-safety workforce sample.,Participants in these focus groups reported stigma and identified opportunities to improve ED care and treatment linkage.,"The study does not quantify prevalence, prove intervention effectiveness, establish causality or represent all people with OUD.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_01_CORRECTED,EV-0593,37297641,How Do We Keep our Heads above Water? An Embedded Mixed-Methods Study Exploring Implementation of a Workplace Reintegration Program for Nurses Affected by Operational Stress Injury,INCLUDE_FULL_TEXT,embedded mixed-methods implementation study,MIXED_METHODS_EVIDENCE,MMAT,"Among 19 respondents, 89% reported psychological distress, 63% sought mental health care and 42% required time away; findings are descriptive and self-reported.","Canadian nurses, all-women sample, one health system, small self-selected groups and no implemented intervention outcome.",This small sample identified perceived needs and contextual barriers for a nurse workplace-reintegration program.,"The study does not establish program effectiveness, population prevalence, causal benefit or direct applicability to police in Brazil.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_01_CORRECTED,EV-0523,38115970,Implementation science in action: national organization of an ambitious first responder training program,HUMAN_REVIEW_REQUIRED,editorial commentary,COMMENTARY_EXPERT_OPINION,JBI Textual Evidence: Expert Opinion,"No original effectiveness, training-target attainment or lives-saved result is reported.","Opinion about a Pakistan initiative; no original data; different institutions, curriculum and health-system context.",The commentary describes the author's interpretation of another implementation report and its use of EPIS.,"It cannot establish training effectiveness, lives saved, fidelity, sustainability or national generalizability.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_01_CORRECTED,EV-0503,38322801,Barriers and enablers to implementing police mental health co-responder programs: A qualitative study using the consolidated framework for implementation research,INCLUDE_FULL_TEXT,qualitative service evaluation using post hoc CFIR analysis,QUALITATIVE_EVIDENCE,JBI Qualitative Research,"Participants perceived the program favorably; no cost-benefit, consumer outcome or causal effectiveness evaluation was conducted.","Queensland legal/data-sharing context, post hoc evaluation and uncertain police participation denominator differ from Brazil.",Participating Queensland police and mental-health staff identified contextual barriers and enablers to this co-responder model.,"The study does not prove clinical effectiveness, cost-effectiveness, reduced detention or transport, or success in other jurisdictions.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_01_CORRECTED,EV-0447,39028235,Harm Reduction in the Field: First Responders’ Perceptions of Opioid Overdose Interventions,INCLUDE_FULL_TEXT,community-engaged qualitative interview study,QUALITATIVE_EVIDENCE,JBI Qualitative Research,The study identifies perceived facilitators and barriers; it does not evaluate patient health impact.,"Single US county, convenience/snowball sample, limited racial/ethnic diversity and opioid-policy context unlike Brazil.",Interviewed first responders and leaders identified local implementation barriers and facilitators for three overdose interventions.,"The study does not demonstrate intervention efficacy, safety, cost-effectiveness, adoption rates or patient outcomes.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_01_CORRECTED,EV-0425,39205432,"“You might be nice, but where you take me, they’re not gonna be”: Preferences for field-based post-overdose interventions",INCLUDE_FULL_TEXT,community-engaged qualitative interview study,QUALITATIVE_EVIDENCE,JBI Qualitative Research,"Findings describe preferences and experiences, not clinical or implementation effectiveness.",Small convenience sample from service-connected Seattle locations; highly regional overdose and policing context.,These 13 participants described preferences and concerns about post-overdose interventions in their local EMS context.,"The study does not establish population-wide acceptability, intervention effectiveness, safety, treatment uptake or causal outcomes.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited; VOR comparison,,,,,,NO
