pilot_order,evidence_id,pmid,priority_tier,priority_score,access_status,queue_position_after_pilots_01_02_exclusion,selection_rule
1,EV-0629,36747268,P1,20,PMC_AVAILABLE,1,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02
2,EV-0592,37326779,P1,20,PMC_AVAILABLE,2,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02
3,EV-0515,38233933,P1,20,PMC_AVAILABLE,3,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02
4,EV-0439,39119394,P1,20,PMC_AVAILABLE,4,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02
5,EV-0405,39425094,P1,20,PMC_AVAILABLE,5,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02
6,EV-0335,40156033,P1,20,PMC_AVAILABLE,6,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02
7,EV-0316,40406195,P1,20,PMC_AVAILABLE,7,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02
8,EV-0282,40710431,P1,20,PMC_AVAILABLE,8,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02
9,EV-0252,40979841,P1,20,PMC_AVAILABLE,9,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02
10,EV-0167,41537090,P1,20,PMC_AVAILABLE,10,FIRST_10_P1_PMC_AVAILABLE_NOT_IN_PILOTS_01_02
