evidence_id,pmid,article_identity,pmid_identity,pmcid_identity,doi_identity,duplicate_exclusion,supplement_not_article,version_classification,editorial_relation_checked,retraction_checked,design_classification,tool_compatibility,appraisal_completeness,denominator_traceability,result_traceability,table_figure_interpretation,primary_secondary_outcome_boundary,adjusted_unadjusted_boundary,causal_boundary,geographic_transferability_boundary,exact_claim_location,human_gate_fail_closed,control_item_excluded,retracted_record_excluded,record_gate,finding,overall
EV-0629,36747268,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The interviews do not establish reduced readmission, infection cure, treatment retention, mortality benefit or causal effectiveness of the SIRI team.",PASS
EV-0592,37326779,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The study does not demonstrate that the network improved equity, cancer outcomes or population access, or that its model transfers to public safety.",PASS
EV-0515,38233933,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The study does not establish uptake, analytical accuracy, behavior change, overdose prevention or effectiveness of a service not yet operational.",PASS
EV-0439,39119394,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The cross-sectional unadjusted comparisons do not show that courses caused higher knowledge, validate the proprietary test, measure practical competence or predict patient outcomes.",PASS
EV-0405,39425094,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"It cannot establish any public-health, policing, economic or causal effect because outcomes have not yet been reported.",PASS
EV-0335,40156033,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The study does not estimate how often EMS is avoided, quantify police effects, establish overdose outcomes or represent people outside participating harm-reduction sites.",PASS
EV-0316,40406195,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"It does not demonstrate that CFIR, EPIS or any implementation strategy improves policing outcomes, legitimacy, safety or sustainability.",PASS
EV-0282,40710431,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The uncontrolled evaluation and modeled scenarios do not establish causal clinical benefit, mortality reduction, realized regional savings or superiority over alternative systems.",PASS
EV-0252,40979841,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The survey does not establish prevalence across US policing, causal determinants of implementation success, innovation effectiveness or transferability to Brazil.",PASS
EV-0167,41537090,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The study does not establish improved officer behavior, public safety, accountability, technology accuracy or general effects across agencies; department assignment was not randomized for this comparison.",PASS
