evidence_id,tool,tool_version,appraisal_type,component,criterion_code,domain,judgment_ai_provisional,basis,source_url,human_confirmed
EV-0091,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q1,cause and effect temporal order clear,YES,Purpose P1; Materials and Methods P1-P4; Psychological Health and Well-Being Survey P1-P3; Data Cleaning P1-P2; Analytic Approach P1-P2; Results—PHW Survey P1-P5; Training Outcomes P1-P3; Correlation Analysis P1-P6; Limitations P1-P3; Tables 3-5,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0091,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q2,control group present,NO,Purpose P1; Materials and Methods P1-P4; Psychological Health and Well-Being Survey P1-P3; Data Cleaning P1-P2; Analytic Approach P1-P2; Results—PHW Survey P1-P5; Training Outcomes P1-P3; Correlation Analysis P1-P6; Limitations P1-P3; Tables 3-5,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0091,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q3,comparison participants similar,NO,Purpose P1; Materials and Methods P1-P4; Psychological Health and Well-Being Survey P1-P3; Data Cleaning P1-P2; Analytic Approach P1-P2; Results—PHW Survey P1-P5; Training Outcomes P1-P3; Correlation Analysis P1-P6; Limitations P1-P3; Tables 3-5,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0091,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q4,comparison participants received similar care apart from exposure,UNCLEAR,Purpose P1; Materials and Methods P1-P4; Psychological Health and Well-Being Survey P1-P3; Data Cleaning P1-P2; Analytic Approach P1-P2; Results—PHW Survey P1-P5; Training Outcomes P1-P3; Correlation Analysis P1-P6; Limitations P1-P3; Tables 3-5,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0091,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q5,multiple outcome measurements pre and post,YES,Purpose P1; Materials and Methods P1-P4; Psychological Health and Well-Being Survey P1-P3; Data Cleaning P1-P2; Analytic Approach P1-P2; Results—PHW Survey P1-P5; Training Outcomes P1-P3; Correlation Analysis P1-P6; Limitations P1-P3; Tables 3-5,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0091,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q6,comparison outcomes measured in the same way,NO,Purpose P1; Materials and Methods P1-P4; Psychological Health and Well-Being Survey P1-P3; Data Cleaning P1-P2; Analytic Approach P1-P2; Results—PHW Survey P1-P5; Training Outcomes P1-P3; Correlation Analysis P1-P6; Limitations P1-P3; Tables 3-5,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0091,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q7,outcomes measured reliably,YES,Purpose P1; Materials and Methods P1-P4; Psychological Health and Well-Being Survey P1-P3; Data Cleaning P1-P2; Analytic Approach P1-P2; Results—PHW Survey P1-P5; Training Outcomes P1-P3; Correlation Analysis P1-P6; Limitations P1-P3; Tables 3-5,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0091,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q8,follow-up complete or adequately analyzed,NO,Purpose P1; Materials and Methods P1-P4; Psychological Health and Well-Being Survey P1-P3; Data Cleaning P1-P2; Analytic Approach P1-P2; Results—PHW Survey P1-P5; Training Outcomes P1-P3; Correlation Analysis P1-P6; Limitations P1-P3; Tables 3-5,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0091,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q9,appropriate statistical analysis,NO,Purpose P1; Materials and Methods P1-P4; Psychological Health and Well-Being Survey P1-P3; Data Cleaning P1-P2; Analytic Approach P1-P2; Results—PHW Survey P1-P5; Training Outcomes P1-P3; Correlation Analysis P1-P6; Limitations P1-P3; Tables 3-5,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0157,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q1,methodology/philosophical perspective congruity,UNCLEAR,Sample identification and recruitment P1; Interview guide P1; Data collection P1-P2; Data analysis P1-P3; Findings P1-P2; Barriers P1-P5; Facilitators P1-P4; Discussion P1-P6,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
