Evidence_ID,Title,Year,DOI,PMID,Country,Population,Study_Design,Domain,Pass1,Pass2,Pass3,Priority,Manuscript_Layer,Section,Citation_Fitness,Contradictory,Replace_Existing,Full_Text_Required,Integrity,Freeze_Change,Why_Useful,Source_URL
EV-0001,Prehospital Tranexamic Acid Administration in Deployed Military Settings: A Review of the Department of Defense Trauma Registry.,2025,,42658917,,,Journal Article,Tactical medicine / TCCC / TECC / APH,HIGH_RELEVANCE,GAP_CLOSURE_CANDIDATE,FULL_TEXT_REVIEW,P0 — CRITICAL,International,Tactical Medicine Readiness / APH-Tatico,POTENTIAL_GAP_CLOSURE,NO,NO,YES,Verified — clear,NO,Potential structural-gap closure,https://pubmed.ncbi.nlm.nih.gov/42658917/
EV-0012,"Soldiers' Dietary Intake in 3 Settings: In the Field, on Base and at Home.",2026,10.1093/milmed/usag387,42600053,,,Journal Article,Nutrition / shift work,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Nutrition and Schedule Load / Nutricao e jornadas,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42600053/
EV-0014,Phase angle identifies a muscle quality phenotype associated with physical performance in U.S. marines.,2026,10.3389/fphys.2026.1904857,42583191,,,Journal Article,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42583191/
EV-0016,Body Composition and Physical Performance in Military Personnel: A Systematic Review of Anthropometric Predictors and Operational Implications.,2026,10.1093/milmed/usag353,42580324,,,Journal Article,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42580324/
EV-0018,Estimating the Causal Effect of Alcohol Consumption on Military-Relevant Mental Health Conditions: A Mendelian Randomization Study Using the All of Us Research Program.,2026,10.1093/milmed/usag368,42565722,,,Journal Article,Mental health / stress,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Organizational Health Context / Discussao,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42565722/
EV-0022,"Shifting From Morning to Afternoon Physical Training Is Associated With Improved Sleep Health, Morale, and Operational Readiness in Soldiers.",2026,10.1093/milmed/usag054,42560254,,,Journal Article,Sleep / fatigue / recovery,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Integrated Operational Readiness / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42560254/
EV-0023,Return to Push-ups After Distal Radius Fractures Among Active Duty Service Members in the United States Military: A 13-Year Population-Based Study.,2026,10.1093/milmed/usag011,42560239,,,Journal Article,Musculoskeletal injury,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Operational Implications / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42560239/
EV-0025,Perceived Barriers to PT Care for Musculoskeletal Injury in Active-Duty Service Members at a Navy Shore-Based Medical Clinic.,2026,10.1093/milmed/usag084,42560229,,,Journal Article,Musculoskeletal injury,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Operational Implications / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42560229/
EV-0026,"Evaluation of Interprofessional Collaboration, Communication, Teamwork, and Prehospital Clinical Competencies Among Military Healthcare Providers During a Medical Trauma Simulation Exercise: A Cross-sectional Study.",2026,10.1093/milmed/usag097,42560223,,,Journal Article,Tactical medicine / TCCC / TECC / APH,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Tactical Medicine Readiness / APH-Tatico,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42560223/
EV-0027,Effects of Neurostimulation With Blood Flow Restriction on Physical and Mental Health-Related Quality of Life in Military Personnel With Patellofemoral Pain Syndrome: Secondary Data Analysis.,2026,10.1093/milmed/usaf630,42560220,,,Journal Article; Randomized Controlled Trial,Musculoskeletal injury,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,Both,Operational Implications / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42560220/
EV-0031,Tactical Combat Casualty Care Training in the U.S. Military: A Comparative Cost Assessment Between Virtual Reality Simulation and Traditional Simulation.,2026,10.1093/milmed/usag190,42560189,,,Comparative Study; Journal Article,Tactical medicine / TCCC / TECC / APH,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Tactical Medicine Readiness / APH-Tatico,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42560189/
EV-0045,Dietary Habits and Nutritional Status Among Polish Police Officers: A Cross-Sectional Study Within the National Health Programme.,2026,10.3390/nu18142385,42514456,,,Journal Article,Nutrition / shift work,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Nutrition and Schedule Load / Nutricao e jornadas,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42514456/
EV-0052,Psychological Self-Report Questionnaires Are Not Associated With Decrements in Physical Performance Following Special Operations Forces Unit Training.,2026,10.1519/jsc.0000000000005436,42489479,,,Journal Article,Physical / academy readiness,HIGH_RELEVANCE,CONTRADICTORY_FIT,CONTRADICTORY_CANDIDATE,P0 — CRITICAL,International,Physical and Academy Readiness / Aptidao e academia,CONTRADICTORY,YES,NO,YES,Verified — clear,YES — REVIEW REQUIRED,"May qualify wording, certainty or heterogeneity",https://pubmed.ncbi.nlm.nih.gov/42489479/
EV-0066,Duckweed Proteins in Neuro-Nutrition: Mechanistic Insights and Translational Relevance for Military and Extreme Environments.,2026,10.1007/s11130-026-01540-x,42390623,,,Journal Article; Review,Nutrition / shift work,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Nutrition and Schedule Load / Nutricao e jornadas,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42390623/
EV-0068,"Co-Creating an Intervention to Prevent Injuries in Police Force Recruits: A Concept Mapping Study of Police Force Recruits, Police Force Staff, Health Professionals, and Research Experts.",2026,10.1186/s40798-026-01042-9,42365570,,,Journal Article,Musculoskeletal injury,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Operational Implications / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42365570/
EV-0076,Sex-Specific Cardiovascular Strain During Heat Acclimation in Tactical Athletes.,2026,10.1016/j.jacadv.2026.102785,42312763,,,Journal Article,Medical / cardiovascular readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Medical and Cardiovascular Readiness / Saude e prontidao medica,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42312763/
EV-0087,Isometric Strength Adaptations After Two Consecutive 12-week Strength and Conditioning Programs in U.S. Air Force ROTC Cadets: The STAR Program.,2026,10.1519/jsc.0000000000005485,42223144,,,Journal Article,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42223144/
EV-0089,Immersive virtual reality for assessing decision-making in mass casualty incident and tactical combat casualty care scenarios among military personnel.,2026,10.1136/military-2026-003286,42209130,,,Journal Article,Tactical medicine / TCCC / TECC / APH,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Tactical Medicine Readiness / APH-Tatico,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42209130/
EV-0092,Holistic Performance Programming for mTBI Recovery in U.S. Military Tactical Athletes: A Narrative Review.,2026,10.3390/sports14050195,42188571,,,Journal Article; Review,Sleep / fatigue / recovery,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Integrated Operational Readiness / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42188571/
EV-0093,Pre-Kinetic Military Care: Biosurveillance and Climate-Related Health Monitoring as Complements to Tactical Combat Casualty Care.,2026,10.1093/milmed/usag229,42179269,,,Journal Article,Tactical medicine / TCCC / TECC / APH,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Tactical Medicine Readiness / APH-Tatico,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42179269/
EV-0099,Implementation of post-traumatic stress injury programs in Alberta first responder organizations: a qualitative study.,2026,10.1080/09638288.2026.2667689,42116711,,,Journal Article,Musculoskeletal injury,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Operational Implications / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42116711/
EV-0102,"Self-reported nutritional intake is associated with physical performance, but not musculoskeletal injury incidence in a cohort of United States Army Reserve Component Soldiers.",2026,10.1016/j.nut.2026.113227,42096853,,,"Journal Article; Research Support, Non-U.S. Gov't",Nutrition / shift work,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Nutrition and Schedule Load / Nutricao e jornadas,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42096853/
EV-0103,The role of tactical police medics in the prehospital environment: results from an interview study.,2026,10.1186/s13049-026-01621-5,42093038,,,Journal Article,Tactical medicine / TCCC / TECC / APH,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Tactical Medicine Readiness / APH-Tatico,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42093038/
EV-0114,Ocular Hypertension and Glaucoma in United States Army Personnel: Barriers to Detection and Impact on Operational Readiness.,2026,10.7759/cureus.105620,42022734,,,Journal Article; Review,Medical / cardiovascular readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Medical and Cardiovascular Readiness / Saude e prontidao medica,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/42022734/
EV-0115,Prevalence of musculoskeletal disorders among police officers from an organizational unit of a German federal state police force.,2026,10.1186/s12995-026-00511-x,41998685,,,Journal Article,Musculoskeletal injury,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Operational Implications / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41998685/
EV-0120,Anthropometrics and Physical Performance in Swedish Home Guard Soldiers.,2026,10.1093/milmed/usag149,41984628,,,Journal Article,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41984628/
EV-0123,Changes in Physical Fitness and Program Utilization During Professional Military Education.,2026,10.1093/milmed/usag155,41964614,,,Journal Article,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41964614/
EV-0125,Cross-Sectional and Longitudinal Validity of Automated Body Composition Methods in U.S. Air Force Reserve Officers' Training Corps Cadets Throughout a 12-Week Physical Training Program: The Supporting Tactical Athlete Readiness Program.,2026,10.1093/milmed/usag107,41934316,,,Journal Article,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41934316/
EV-0137,"Rehabilitative Interventions for Flight-Related Musculoskeletal Injuries in the Neck, Shoulder, and Back among Military Pilots and Aircrew: A Systematic Review With Meta-Analysis.",2026,10.1093/milmed/usag098,41863396,,,Journal Article,Musculoskeletal injury,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Operational Implications / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41863396/
EV-0140,Short-Term Moderately High-Fat Diet Has No Effect on Physical Performance.,2026,10.1249/mss.0000000000003908,41843415,,,Journal Article; Randomized Controlled Trial,Nutrition / shift work,MODERATE_RELEVANCE,CONTRADICTORY_FIT,CONTRADICTORY_CANDIDATE,P1 — HIGH,International,Nutrition and Schedule Load / Nutricao e jornadas,CONTRADICTORY,YES,NO,YES,Verified — clear,YES — REVIEW REQUIRED,"May qualify wording, certainty or heterogeneity",https://pubmed.ncbi.nlm.nih.gov/41843415/
EV-0141,Effectiveness of Structured Breathwork Interventions on Heart Rate Variability and Heart Rate Recovery Following Maximal Exertion in Tactical Athletes.,2026,10.1249/mss.0000000000003972,41839180,,,Journal Article; Randomized Controlled Trial,Sleep / fatigue / recovery,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,Both,Integrated Operational Readiness / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41839180/
EV-0143,Strengthening Navy's biosecurity in the face of the asymmetric threat of marine zoonoses.,2026,10.1016/j.mjafi.2025.11.017,41821592,,,Journal Article; Review,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41821592/
EV-0146,Epidemiology of stress fractures among military cadets: a retrospective cohort study at a tertiary military medical center.,2026,10.1097/ms9.0000000000004697,41789227,,,Journal Article,Musculoskeletal injury,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Operational Implications / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41789227/
EV-0149,Enhancing Military Musculoskeletal Readiness: A Proposal for Collaboration.,2026,10.1093/milmed/usag006,41734198,,,Journal Article,Musculoskeletal injury,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Operational Implications / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41734198/
EV-0151,Kolb learning styles in Tactical Combat Casualty Care (TCCC): a comparative study of military learners and civilian paramedics.,2026,10.1186/s12873-026-01509-8,41714953,,,Comparative Study; Journal Article,Tactical medicine / TCCC / TECC / APH,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Tactical Medicine Readiness / APH-Tatico,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41714953/
EV-0153,Recovery outcomes for military personnel undergoing surgery for lumbar spinal stenosis induced by physical overload: a retrospective study.,2026,10.1186/s12891-026-09638-8,41703548,,,Journal Article,Sleep / fatigue / recovery,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Integrated Operational Readiness / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41703548/
EV-0156,COMT and ACE (Epi)genetic Variation Is Associated with Cognitive and Metabolic Resilience in Swiss Tactical Athletes.,2026,10.3390/ijms27031340,41683763,,,Journal Article,Cognition / firearm performance,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Cognition and Firearm-Task Performance / Cognicao e tiro,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41683763/
EV-0158,TELE-SLEEP OSA: A protocol for a hybrid type I randomized clinical trial of telemedicine for obstructive sleep apnea among military dependents and retirees.,2026,10.1016/j.cct.2026.108252,41651286,,,Clinical Trial Protocol; Journal Article,Sleep / fatigue / recovery,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Integrated Operational Readiness / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41651286/
EV-0161,Behavioral health technician delivered written exposure therapy for posttraumatic stress disorder in the military: Design of a hybrid implementation effectiveness trial.,2026,10.1016/j.conctc.2026.101598,41626067,,,Journal Article,Mental health / stress,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Organizational Health Context / Discussao,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41626067/
