Evidence ID,Revisor,Data,Identidade confirmada?,Elegibilidade confirmada?,Desenho confirmado?,Appraisal confirmado?,Extração confirmada?,Estatísticas conferidas?,Source location conferida?,Supported claims aprovadas?,Unsupported claims aprovadas?,Transferibilidade aprovada?,Funding/COI avaliados?,Decisão final,Justificativa humana,Assinatura/confirmação,Version gate clear?,Claim-Ready
EV-0103,,,,,,,,,,,,,,,,,,NO
EV-1328,,,,,,,,,,,,,,,,,,NO
EV-0632,,,,,,,,,,,,,,,,,,NO
EV-0896,,,,,,,,,,,,,,,,,,NO
EV-0503,,,,,,,,,,,,,,,,,,NO
EV-0758,,,,,,,,,,,,,,,,,,NO
EV-0668,,,,,,,,,,,,,,,,,,NO
EV-0091,,,,,,,,,,,,,,,,,,NO
EV-0523,,,,,,,,,,,,,,,,,,NO
EV-0376,,,,,,,,,,,,,,,,,,NO
