evidence_id,redundancy_class,note
EV-0603,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
EV-1001,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
EV-0325,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
EV-1117,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
EV-1266,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
EV-1379,CONFIRMATORY,Batch 02 structured comparison
INT-EXT-31045682,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
INT-EXT-28515947,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
INT-EXT-29316674,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
INT-EXT-30862044,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
INT-EXT-42165076,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
INT-EXT-FNUT2026,SUPERSEDES_EV-1379_FOR_PRIMARY_CLAIM,Batch 02 structured comparison
BR-EXT-001,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
BR-EXT-002,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
BR-EXT-003,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
BR-EXT-004,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
BR-EXT-005,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
BR-EXT-006,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
BR-EXT-007,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
BR-EXT-008,UNIQUE_OR_COMPLEMENTARY,Batch 02 structured comparison
