Evidence ID,Instrumento,Versão,Tipo,Componente,Critério,Domínio,Julgamento IA provisório,Base textual,Fonte oficial,Confirmação humana
EV-0103,JBI Qualitative Research,JBI qualitative guidance current 2024/2026 page,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_EVIDENCE,Q1,methodology/philosophical perspective congruity,YES,Abstract; Method; Results; Discussion; Conclusions,https://jbi.global/critical-appraisal-tools,
EV-0103,JBI Qualitative Research,JBI qualitative guidance current 2024/2026 page,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_EVIDENCE,Q2,methodology/research question congruity,YES,Abstract; Method; Results; Discussion; Conclusions,https://jbi.global/critical-appraisal-tools,
EV-0103,JBI Qualitative Research,JBI qualitative guidance current 2024/2026 page,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_EVIDENCE,Q3,methodology/data collection congruity,YES,Abstract; Method; Results; Discussion; Conclusions,https://jbi.global/critical-appraisal-tools,
EV-0103,JBI Qualitative Research,JBI qualitative guidance current 2024/2026 page,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_EVIDENCE,Q4,methodology/data representation and analysis congruity,YES,Abstract; Method; Results; Discussion; Conclusions,https://jbi.global/critical-appraisal-tools,
EV-0103,JBI Qualitative Research,JBI qualitative guidance current 2024/2026 page,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_EVIDENCE,Q5,methodology/interpretation congruity,YES,Abstract; Method; Results; Discussion; Conclusions,https://jbi.global/critical-appraisal-tools,
EV-0103,JBI Qualitative Research,JBI qualitative guidance current 2024/2026 page,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_EVIDENCE,Q6,researcher culturally/theoretically located,UNCLEAR,Abstract; Method; Results; Discussion; Conclusions,https://jbi.global/critical-appraisal-tools,
EV-0103,JBI Qualitative Research,JBI qualitative guidance current 2024/2026 page,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_EVIDENCE,Q7,researcher influence addressed,UNCLEAR,Abstract; Method; Results; Discussion; Conclusions,https://jbi.global/critical-appraisal-tools,
EV-0103,JBI Qualitative Research,JBI qualitative guidance current 2024/2026 page,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_EVIDENCE,Q8,participant voices adequately represented,YES,Abstract; Method; Results; Discussion; Conclusions,https://jbi.global/critical-appraisal-tools,
EV-0103,JBI Qualitative Research,JBI qualitative guidance current 2024/2026 page,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_EVIDENCE,Q9,ethical approval/ethical conduct,YES,Abstract; Method; Results; Discussion; Conclusions,https://jbi.global/critical-appraisal-tools,
EV-0103,JBI Qualitative Research,JBI qualitative guidance current 2024/2026 page,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_EVIDENCE,Q10,conclusions flow from analysis,YES,Abstract; Method; Results; Discussion; Conclusions,https://jbi.global/critical-appraisal-tools,
EV-1301,JBI Textual Evidence: Expert Opinion,JBI critical appraisal tools; textual evidence route,TEXTUAL_PROGRAM_REPORT_APPRAISAL,IMPLEMENTATION_PROGRAM_EVIDENCE,Q1,source of opinion/program account clearly identified,YES,Abstract; Chronology of Intervention Development; Intervention Implementation; discussion of trialability/observability,https://jbi.global/critical-appraisal-tools,
EV-1301,JBI Textual Evidence: Expert Opinion,JBI critical appraisal tools; textual evidence route,TEXTUAL_PROGRAM_REPORT_APPRAISAL,IMPLEMENTATION_PROGRAM_EVIDENCE,Q2,field/program standing or expertise identifiable,YES,Abstract; Chronology of Intervention Development; Intervention Implementation; discussion of trialability/observability,https://jbi.global/critical-appraisal-tools,
EV-1301,JBI Textual Evidence: Expert Opinion,JBI critical appraisal tools; textual evidence route,TEXTUAL_PROGRAM_REPORT_APPRAISAL,IMPLEMENTATION_PROGRAM_EVIDENCE,Q3,interests/basis of position sufficiently described,UNCLEAR,Abstract; Chronology of Intervention Development; Intervention Implementation; discussion of trialability/observability,https://jbi.global/critical-appraisal-tools,
EV-1301,JBI Textual Evidence: Expert Opinion,JBI critical appraisal tools; textual evidence route,TEXTUAL_PROGRAM_REPORT_APPRAISAL,IMPLEMENTATION_PROGRAM_EVIDENCE,Q4,position/implementation reasoning is logical,YES,Abstract; Chronology of Intervention Development; Intervention Implementation; discussion of trialability/observability,https://jbi.global/critical-appraisal-tools,
EV-1301,JBI Textual Evidence: Expert Opinion,JBI critical appraisal tools; textual evidence route,TEXTUAL_PROGRAM_REPORT_APPRAISAL,IMPLEMENTATION_PROGRAM_EVIDENCE,Q5,reference to existing evidence/literature,YES,Abstract; Chronology of Intervention Development; Intervention Implementation; discussion of trialability/observability,https://jbi.global/critical-appraisal-tools,
EV-1301,JBI Textual Evidence: Expert Opinion,JBI critical appraisal tools; textual evidence route,TEXTUAL_PROGRAM_REPORT_APPRAISAL,IMPLEMENTATION_PROGRAM_EVIDENCE,Q6,incongruence with literature addressed where applicable,UNCLEAR,Abstract; Chronology of Intervention Development; Intervention Implementation; discussion of trialability/observability,https://jbi.global/critical-appraisal-tools,
EV-1039,SPIRIT protocol completeness check,SPIRIT 2013 framework; non-scored completeness route,PROTOCOL_COMPLETENESS_NOT_RISK_OF_BIAS,STUDY_PROTOCOL_EVIDENCE,D1,title/registration/protocol identity,YES,Abstract—Methods; Methods—Overview and study design; Aim 1; Randomization; Power analysis; Aim 2,https://www.spirit-statement.org/,
EV-1039,SPIRIT protocol completeness check,SPIRIT 2013 framework; non-scored completeness route,PROTOCOL_COMPLETENESS_NOT_RISK_OF_BIAS,STUDY_PROTOCOL_EVIDENCE,D2,background and rationale,YES,Abstract—Methods; Methods—Overview and study design; Aim 1; Randomization; Power analysis; Aim 2,https://www.spirit-statement.org/,
EV-1039,SPIRIT protocol completeness check,SPIRIT 2013 framework; non-scored completeness route,PROTOCOL_COMPLETENESS_NOT_RISK_OF_BIAS,STUDY_PROTOCOL_EVIDENCE,D3,objectives and hypotheses,YES,Abstract—Methods; Methods—Overview and study design; Aim 1; Randomization; Power analysis; Aim 2,https://www.spirit-statement.org/,
EV-1039,SPIRIT protocol completeness check,SPIRIT 2013 framework; non-scored completeness route,PROTOCOL_COMPLETENESS_NOT_RISK_OF_BIAS,STUDY_PROTOCOL_EVIDENCE,D4,trial design and allocation,YES,Abstract—Methods; Methods—Overview and study design; Aim 1; Randomization; Power analysis; Aim 2,https://www.spirit-statement.org/,
EV-1039,SPIRIT protocol completeness check,SPIRIT 2013 framework; non-scored completeness route,PROTOCOL_COMPLETENESS_NOT_RISK_OF_BIAS,STUDY_PROTOCOL_EVIDENCE,D5,participants/eligibility/settings,YES,Abstract—Methods; Methods—Overview and study design; Aim 1; Randomization; Power analysis; Aim 2,https://www.spirit-statement.org/,
EV-1039,SPIRIT protocol completeness check,SPIRIT 2013 framework; non-scored completeness route,PROTOCOL_COMPLETENESS_NOT_RISK_OF_BIAS,STUDY_PROTOCOL_EVIDENCE,D6,interventions and comparators,YES,Abstract—Methods; Methods—Overview and study design; Aim 1; Randomization; Power analysis; Aim 2,https://www.spirit-statement.org/,
EV-1039,SPIRIT protocol completeness check,SPIRIT 2013 framework; non-scored completeness route,PROTOCOL_COMPLETENESS_NOT_RISK_OF_BIAS,STUDY_PROTOCOL_EVIDENCE,D7,outcomes and time points,YES,Abstract—Methods; Methods—Overview and study design; Aim 1; Randomization; Power analysis; Aim 2,https://www.spirit-statement.org/,
EV-1039,SPIRIT protocol completeness check,SPIRIT 2013 framework; non-scored completeness route,PROTOCOL_COMPLETENESS_NOT_RISK_OF_BIAS,STUDY_PROTOCOL_EVIDENCE,D8,sample size/randomization/blinding,YES,Abstract—Methods; Methods—Overview and study design; Aim 1; Randomization; Power analysis; Aim 2,https://www.spirit-statement.org/,
EV-1039,SPIRIT protocol completeness check,SPIRIT 2013 framework; non-scored completeness route,PROTOCOL_COMPLETENESS_NOT_RISK_OF_BIAS,STUDY_PROTOCOL_EVIDENCE,D9,analysis and implementation/qualitative plan,YES,Abstract—Methods; Methods—Overview and study design; Aim 1; Randomization; Power analysis; Aim 2,https://www.spirit-statement.org/,
EV-1039,SPIRIT protocol completeness check,SPIRIT 2013 framework; non-scored completeness route,PROTOCOL_COMPLETENESS_NOT_RISK_OF_BIAS,STUDY_PROTOCOL_EVIDENCE,D10,ethics/consent/dissemination,YES,Abstract—Methods; Methods—Overview and study design; Aim 1; Randomization; Power analysis; Aim 2,https://www.spirit-statement.org/,
EV-0796,JBI Quasi-Experimental Studies,Revised JBI quasi-experimental tool 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_IMPLEMENTATION_EVIDENCE,Q1,cause and effect temporality clear,YES,Abstract; Intervention; Lessons learnt; Improvement of SLIPTA score; Figure 3; Recommendations,https://jbi.global/critical-appraisal-tools,
EV-0796,JBI Quasi-Experimental Studies,Revised JBI quasi-experimental tool 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_IMPLEMENTATION_EVIDENCE,Q2,comparison participants similar,UNCLEAR,Abstract; Intervention; Lessons learnt; Improvement of SLIPTA score; Figure 3; Recommendations,https://jbi.global/critical-appraisal-tools,
EV-0796,JBI Quasi-Experimental Studies,Revised JBI quasi-experimental tool 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_IMPLEMENTATION_EVIDENCE,Q3,similar care other than intervention,YES,Abstract; Intervention; Lessons learnt; Improvement of SLIPTA score; Figure 3; Recommendations,https://jbi.global/critical-appraisal-tools,
EV-0796,JBI Quasi-Experimental Studies,Revised JBI quasi-experimental tool 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_IMPLEMENTATION_EVIDENCE,Q4,control group present,NO,Abstract; Intervention; Lessons learnt; Improvement of SLIPTA score; Figure 3; Recommendations,https://jbi.global/critical-appraisal-tools,
