order,evidence_id,domain,scientific_tier,brazil_tier,ai_qualified,title
1,EV-1471,Nutrition Brazil,SUPPORTING_EVIDENCE,BRAZIL_CORE_CANDIDATE,Association between caloric and macronutrient intake and psychomotor performance,YES
2,EV-1472,Nutrition Brazil,SUPPORTING_EVIDENCE,BRAZIL_CORE_CANDIDATE,Chrononutritional Patterns in shift-working military policemen,YES
3,EV-1473,Cognition Brazil,SUPPORTING_EVIDENCE,BRAZIL_CORE_CANDIDATE,Induced stress symptoms and shooting performance in PMES cadets,YES
4,EV-1474,Cognition Brazil,SUPPORTING_EVIDENCE,BRAZIL_CORE_CANDIDATE,"Physical fitness, mood and shooting proficiency in PMES cadets",YES
5,EV-1475,Tactical Medicine Brazil,SUPPORTING_EVIDENCE,BRAZIL_CORE_CANDIDATE,PMMG tourniquet use in third parties,YES
6,EV-1476,Tactical Medicine Brazil,CONTEXTUAL_EVIDENCE,BRAZIL_CONTEXTUAL_EVIDENCE,APH-Tático in PMPR COE operations,YES
7,EV-1477,Tactical Medicine Brazil,CONTEXTUAL_EVIDENCE,BRAZIL_CONTEXTUAL_EVIDENCE,MJSP APH-Tático official institutional source,YES
8,EV-1478,Implementation Brazil,CORE_EVIDENCE,BRAZIL_CORE_EVIDENCE,Data-driven policing reform in Brazil,YES
9,EV-1479,Implementation Brazil,SUPPORTING_EVIDENCE,BRAZIL_SUPPORTING_EVIDENCE,Escola Segura impact evaluation,YES
10,EV-1480,Implementation Brazil,SUPPORTING_EVIDENCE,BRAZIL_CORE_CANDIDATE,Supplemental martial arts and simulated use-of-force performance,YES
11,EV-1481,Implementation Brazil,CORE_EVIDENCE,BRAZIL_CORE_EVIDENCE,Six-month PMTO academy training and physical fitness,YES
12,EV-1482,Implementation Brazil,CONTEXTUAL_EVIDENCE,BRAZIL_CONTEXTUAL_EVIDENCE,PMPI mental-health policy/program implementation context,YES
