Ordem,Evidence ID,PMID,DOI,PMCID,Zotero key,Título,Contexto,População,Desenho,Origem,Classe,Dados originais,Estimativa de efeito,Versão,Integridade,Elegibilidade,Instrumento,Versão instrumento,Tipo appraisal,Resumo appraisal,Extração,Resultado,Localização exata,Supported claims,Unsupported claims,Limites de transferibilidade,Revisor humano,Data humana,Decisão humana,Justificativa humana,Confirmação humana,Claim-Ready,Status,Score global
1,EV-0103,42093038,10.1186/s13049-026-01621-5,PMC13147615,MG4ER9GE,The role of tactical police medics in the prehospital environment: results from an interview study.,Sweden; national tactical police unit and civilian prehospital-healthcare interface,13 tactical police medics interviewed using a semi-structured protocol,qualitative interview study with thematic analysis following Braun and Clarke,EMPIRICAL,QUALITATIVE_EVIDENCE,YES,NO,VERSION_OF_RECORD,INTEGRITY_CLEAR,RETAIN_FOR_HUMAN_CONFIRMATION,JBI Qualitative Research,JBI qualitative guidance current 2024/2026 page,METHODOLOGICAL_QUALITY_APPRAISAL,"AI-assisted provisional JBI appraisal: clear qualitative question, sampling, verbatim transcription, thematic analysis, ethics and participant-derived findings; reflexivity and transferability remain limited.","Thirteen Swedish tactical police medics described general satisfaction with training but a mismatch between trained competencies and tasks actually performed, legal/medical restrictions on treating third parties, and inconsistent collaboration with civilian prehospital services.",The study reports medics' perceptions and experiences; it does not quantify patient outcomes or compare alternative tactical-medical systems.,Abstract; Method; Results; Discussion; Conclusions,Interviewed Swedish tactical police medics reported a perceived mismatch between training and operational use and described barriers in the interface with civilian healthcare.,"The interviews do not establish that expanding police-medic scope improves survival, safety, response time or clinical outcomes.","Swedish medical regulation, police organization, tactical-medic training and EMS governance differ from Brazilian public-safety and SUS/SAMU structures.",,,,,,NO,HUMAN_REVIEW_REQUIRED,NOT_CALCULATED
2,EV-1301,21761154,10.1007/s11121-011-0234-5,PMC3218271,APIWLAEY,Family-centered preventive intervention for military families: implications for implementation science.,United States Navy/Marine Corps installations; military-family preventive service implementation,FOCUS service program expanded from 7 installations in 2008 to 14 by 2010; article reports service reach and initial program outcomes,descriptive implementation/program-development report with uncontrolled service-evaluation observations,EMPIRICAL_PROGRAM_REPORT,IMPLEMENTATION_PROGRAM_EVIDENCE,YES,NO_CAUSAL_EFFECT,VERSION_OF_RECORD,INTEGRITY_CLEAR,RETAIN_FOR_HUMAN_CONFIRMATION,JBI Textual Evidence: Expert Opinion,JBI critical appraisal tools; textual evidence route,TEXTUAL_PROGRAM_REPORT_APPRAISAL,"AI-assisted provisional textual-evidence appraisal: implementation chronology, program architecture and contextual lessons are transparent; early outcome observations are uncontrolled and cannot establish intervention efficacy.","FOCUS was rapidly adapted and disseminated across military installations, using embedded staff, training, standardized assessment, modular services and quality-improvement feedback. The report explicitly notes development without a prior randomized trial.","The paper supports implementation-process lessons and descriptive early observations, not causal effectiveness.",Abstract; Chronology of Intervention Development; Intervention Implementation; discussion of trialability/observability,"FOCUS was developed and scaled across multiple U.S. military installations with an implementation model emphasizing embedded staff, standardized training, assessment feedback and adaptable service intensity.","This report alone does not prove that FOCUS caused mental-health improvement, is superior to alternatives, or would work similarly in Brazilian security organizations.","U.S. military family-service infrastructure, funding, command structure and clinical support differ materially from Brazilian public-safety agencies.",,,,,,NO,HUMAN_REVIEW_REQUIRED,NOT_CALCULATED
3,EV-1039,29373993,10.1186/s13063-017-2437-y,PMC5787269,6MPHY37M,A hybrid type I trial to increase Veterans' access to insomnia care: study protocol for a randomized controlled trial.,United States; one large urban Veterans Affairs Medical Center,"Planned 56 Veterans randomized 1:1 (28 BBTI, 28 CBTI); qualitative implementation samples planned for Veterans, primary-care providers and nurses",hybrid type I randomized non-inferiority trial protocol plus CFIR-guided qualitative needs assessment,PROTOCOL,STUDY_PROTOCOL_EVIDENCE,NO_RESULTS,NOT_APPLICABLE,VERSION_OF_RECORD,INTEGRITY_CLEAR,RETAIN_AS_PROTOCOL_FOR_HUMAN_CONFIRMATION,SPIRIT protocol completeness check,SPIRIT 2013 framework; non-scored completeness route,PROTOCOL_COMPLETENESS_NOT_RISK_OF_BIAS,"AI-assisted provisional protocol-completeness review: objectives, allocation, interventions, outcomes, sample-size logic, follow-up and implementation aim are described; the publication contains no trial outcome evidence.",Protocol plans a 56-participant non-inferiority comparison of BBTI vs CBTI with assessments through 12 months and a CFIR-guided qualitative needs assessment among Veterans and VA staff.,"Protocol only: no BBTI-versus-CBTI effectiveness, non-inferiority or implementation results can be extracted from this publication.",Abstract—Methods; Methods—Overview and study design; Aim 1; Randomization; Power analysis; Aim 2,The protocol specifies a hybrid type I design combining a randomized non-inferiority insomnia-treatment trial with a CFIR-guided implementation needs assessment.,"The protocol does not establish that BBTI is non-inferior, improves access, or produces clinical or implementation benefit.","Veterans Affairs primary-care delivery, psychotherapy workforce and Veteran population are not direct equivalents of Brazilian police/military public-safety systems.",,,,,,NO,HUMAN_REVIEW_REQUIRED,NOT_CALCULATED
4,EV-0796,33824854,10.4102/ajlm.v10i1.1057,PMC8008048,JFH3WYDJ,"From benchmarking to best practices: Lessons from the laboratory quality improvement programme at the military teaching hospital in Cotonou, Benin.","Cotonou, Benin; Army Teaching Hospital-University Teaching Hospital laboratory","Single military teaching-hospital laboratory quality-improvement program, 2015–2018",uncontrolled before-after quality-improvement implementation study/program evaluation,EMPIRICAL,QUASI_EXPERIMENTAL_IMPLEMENTATION_EVIDENCE,YES,DESCRIPTIVE_PRE_POST,VERSION_OF_RECORD,INTEGRITY_CLEAR,RETAIN_FOR_HUMAN_CONFIRMATION,JBI Quasi-Experimental Studies,Revised JBI quasi-experimental tool 2024,RISK_OF_BIAS_APPRAISAL,"AI-assisted provisional JBI quasi-experimental appraisal: intervention sequence and repeated external SLIPTA assessments are described, but no concurrent control exists and attribution to individual program components is limited.","The laboratory reported a 29 percentage-point increase in SLIPTA score, from 16% at baseline (2015) to 45% at follow-up (2017), alongside quality-management, proficiency-testing, internal-QC and staff-training changes.",Observed laboratory quality score improved over time during the QI program; uncontrolled design prevents causal attribution.,Abstract; Intervention; Lessons learnt; Improvement of SLIPTA score; Figure 3; Recommendations,"At this Benin military teaching-hospital laboratory, SLIPTA score increased from 16% to 45% during a multi-component quality-improvement program.",The study does not prove that any single intervention component caused the improvement or that the same effect would occur in Brazilian tactical/public-safety systems.,"Military health-system setting is relevant institutionally, but laboratory accreditation, workforce mobility, resources and Benin health governance differ from Brazil.",,,,,,NO,HUMAN_REVIEW_REQUIRED,NOT_CALCULATED
5,EV-0632,36689353,10.1080/10903127.2023.2172493,PMC10329983,YI553PD6,"Comparing the Effects of Low-Dose Ketamine, Fentanyl, and Morphine on Hemorrhagic Tolerance and Analgesia in Humans.",United States laboratory; healthy adults; doses derived from TCCC medical guidelines,"Healthy adults aged 18–45; ketamine n=30, fentanyl n=28, morphine n=30 in separate randomized crossover drug-versus-placebo projects",randomized crossover placebo-controlled human experimental studies; between-drug comparison assembled across three cohorts,EMPIRICAL,RANDOMIZED_EXPERIMENTAL_EVIDENCE,YES,YES_LAB_MODEL,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR,RETAIN_WITH_VERSION_HOLD_FOR_HUMAN_CONFIRMATION,RoB 2,Cochrane RoB 2 current framework; crossover considerations recorded provisionally,RISK_OF_BIAS_APPRAISAL,AI-assisted provisional RoB 2 domain review: randomized within-drug placebo comparisons and blinding of participants/LBNP stopping assessor are reported; cross-cohort drug comparison and laboratory model constrain direct clinical inference.,"Median hemorrhagic-tolerance CSI as percentage of each placebo trial was ketamine 99 [73–139] (n=30), fentanyl 95 [68–130] (n=28), and morphine 62 [35–85] (n=30); Kruskal-Wallis p=0.002. Morphine was lower than ketamine (post hoc p=0.002) and fentanyl (p=0.02).",Morphine reduced tolerance to simulated hemorrhage in the laboratory model relative to its placebo and compared with the other drug cohorts; findings are not direct field-patient outcomes.,Abstract; Methods—Experimental overview/Participants/Protocol/LBNP/Data analysis; Figure 1; Discussion,"In healthy adults exposed to a laboratory lower-body-negative-pressure model, the morphine cohort showed lower hemorrhagic tolerance than ketamine and fentanyl cohorts under the reported randomized crossover protocols.","The study does not directly establish mortality, shock outcomes, battlefield effectiveness or patient-level superiority of ketamine/fentanyl in actual hemorrhage.","TCCC-derived doses increase tactical relevance, but healthy volunteers, simulated hemorrhage, controlled laboratory conditions and U.S. research setting limit operational transfer.",,,,,,NO,HUMAN_REVIEW_REQUIRED,NOT_CALCULATED
6,EV-0458,38943537,10.1093/milmed/usae332,PMC13396151,LNMMU5UA,Organizational Capacity for Sexual Assault Prevention Within a U.S. Army Installation.,United States; one Army installation; sexual-assault prevention implementation capacity,15 sexual-assault prevention program personnel; individual one-hour semi-structured interviews,qualitative implementation-capacity interview study using applied thematic analysis,EMPIRICAL,QUALITATIVE_EVIDENCE,YES,NO,VERSION_OF_RECORD,INTEGRITY_CLEAR,RETAIN_FOR_HUMAN_CONFIRMATION,JBI Qualitative Research,JBI qualitative guidance current 2024/2026 page,METHODOLOGICAL_QUALITY_APPRAISAL,"AI-assisted provisional JBI qualitative appraisal: coherent implementation question, defined personnel sample, semi-structured interviews and applied thematic analysis; one-installation sampling and limited reflexive detail constrain transfer.","Participants identified proficiencies such as tailoring skills, train-the-trainer capacity and useful existing data, alongside gaps in difficult-conversation facilitation, outcome measurement, leadership investment, trust and informal networking.",Findings characterize perceived implementation capacity and organizational gaps; they do not test prevention effectiveness.,Abstract; Materials and Methods; Results; Conclusions,"Personnel at one U.S. Army installation identified specific prevention-workforce, data, leadership and collaboration capacities and gaps.",The study does not show that the assessed capacities reduce sexual assault incidence or that GTO support will produce improved outcomes.,"Military organizational relevance is high, but U.S. Army prevention policy, legal environment, program roles and single-installation context differ from Brazilian policing.",,,,,,NO,HUMAN_REVIEW_REQUIRED,NOT_CALCULATED
7,EV-0376,39727243,10.1177/15248380241305567,PMC12202711,HB4UCH3I,Integrating Implementation Science in Interpersonal Violence Research and Practice: A Systematic Review of Barriers and Facilitators of Implementation.,"United States; healthcare, school, community, correctional and military settings",31 included implementation studies after screening; studies published 2005–2023,systematic review with CFIR-based synthesis of implementation barriers and facilitators,EVIDENCE_SYNTHESIS,SYSTEMATIC_REVIEW_EVIDENCE,YES_SYNTHESIS,NO_META_EFFECT,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR,RETAIN_WITH_VERSION_HOLD_FOR_HUMAN_CONFIRMATION,JBI Systematic Reviews and Research Syntheses,JBI Manual Appendix 9.1 (2024),SYSTEMATIC_REVIEW_APPRAISAL,"AI-assisted provisional JBI review appraisal: multi-database search, duplicate screening and transparent criteria are described; synthesis targets implementation determinants rather than intervention effects, and U.S.-only/English peer-reviewed restrictions limit breadth.","From 1,319 deduplicated records, 31 studies were included. Recurrent barriers included resource/time constraints and leadership issues; facilitators included champions, adaptability, protocols, funding, ongoing training and support.",Review synthesizes implementation barriers/facilitators across multiple U.S. settings; it does not estimate pooled effectiveness.,Methods—eligibility/information sources/search/study selection/data extraction; Results—flow and implementation barriers/facilitators; Limitations; Conclusion,"Across 31 U.S. implementation studies, the review identified recurring multilevel barriers and facilitators mapped to CFIR domains.",The review does not prove that any single implementation strategy causes improved violence outcomes or transfers directly to Brazilian public safety.,"Includes one military study and varied settings, but the corpus is U.S.-only, English peer-reviewed literature and focused on interpersonal-violence interventions.",,,,,,NO,HUMAN_REVIEW_REQUIRED,NOT_CALCULATED
8,EV-0880,32414356,10.1186/s12889-020-08868-2,PMC7229618,AUZW2R9S,"Opportunities for the development of drowning interventions in West Bengal, India: a review of policy and government programs.","West Bengal, India; policy and government-program implementation environment","National/state policy documents and literature on three high-coverage government programs (ICDS, SHG, ASHA)","contextual policy content review plus systematic literature review of program reach, barriers, facilitators and equity",EVIDENCE_SYNTHESIS,POLICY_SYSTEMATIC_REVIEW_EVIDENCE,YES_SYNTHESIS,NO_META_EFFECT,VERSION_OF_RECORD,INTEGRITY_CLEAR,RETAIN_FOR_HUMAN_CONFIRMATION,JBI Systematic Reviews and Research Syntheses,JBI Manual Appendix 9.1 (2024),SYSTEMATIC_REVIEW_APPRAISAL,"AI-assisted provisional JBI review appraisal: policy-content analysis is coupled to a systematic literature review, but the question is implementation-oriented and heterogeneity precludes a conventional pooled intervention-effect estimate.","Three government programs were identified as possible platforms for drowning interventions; reported barriers included weak monitoring, resource limitations and burden on community workers, while program reach and underserved-group coverage were potential facilitators.",Contextual implementation opportunities are identified; no drowning-intervention effectiveness was tested.,Abstract; Methods; Results; policy/program tables/figures; Discussion; Conclusions,The review identified three existing West Bengal programs that could potentially support drowning-prevention implementation and documented implementation barriers and equity considerations.,The review does not demonstrate that embedding drowning interventions in these programs reduces drowning or will be effective in another jurisdiction.,"Low- and middle-income implementation constraints may be informative, but India-specific policy, community-worker systems, geography and drowning focus differ sharply from Brazilian public safety.",,,,,,NO,HUMAN_REVIEW_REQUIRED,NOT_CALCULATED
9,EV-0862,32884581,10.1186/s13031-020-00308-7,PMC7461150,MJVWFUAG,The intergenerational impact of war on mental health and psychosocial wellbeing: lessons from the longitudinal study of war-affected youth in Sierra Leone.,Sierra Leone; fragile post-conflict/humanitarian research setting,"LSWAY cohort: baseline n=259 war-affected youth aged 10–17; four waves reported (2002, 2004, 2008, 2016/2017) with mixed methods","narrative longitudinal-program case study synthesizing methods, findings and implementation lessons from LSWAY",PROGRAM_CASE_SYNTHESIS,NARRATIVE_CASE_STUDY_EVIDENCE,YES_REFERENCED_PROGRAM_DATA,NO_SINGLE_EFFECT,VERSION_OF_RECORD,INTEGRITY_CLEAR,RETAIN_FOR_HUMAN_CONFIRMATION,SANRA,SANRA 6-item scale; provisional non-comparative narrative appraisal,NARRATIVE_REVIEW_APPRAISAL,"AI-assisted provisional SANRA appraisal: rationale, literature linkage, scientific reasoning and program methods are described; article synthesizes a longitudinal research program rather than reporting one new causal estimate.","LSWAY followed war-affected youth over four waves and used mixed methods to study long-term mental health, social reintegration, parenting and intergenerational patterns; the paper emphasizes field, ethical and implementation challenges in fragile settings.","The article supports longitudinal-program and implementation lessons, not a single intervention-effect estimate.",Abstract; Discussion; LSWAY design/method sections; baseline/recruitment description; ethics/field challenges; Conclusion,LSWAY provides a long-term mixed-methods research program on war-affected youth and documents methodological and implementation challenges of longitudinal research in a fragile post-conflict setting.,"The article does not establish direct applicability to police readiness, nor a causal effect of any single intervention on mental-health or operational outcomes.","Trauma and organizational lessons may be conceptually relevant, but former child soldiers, humanitarian systems and Sierra Leone's post-conflict context are far from Brazilian tactical workforce conditions.",,,,,,NO,HUMAN_REVIEW_REQUIRED,NOT_CALCULATED
10,EV-0813,33588821,10.1186/s12909-021-02530-0,PMC7885386,IK2LSLH7,Delivering and implementing child and adolescent mental health training for mental health and allied professionals: a systematic review and qualitative meta-aggregation.,"International evidence; mental-health and allied professionals including police, teachers and youth workers","39 included qualitative studies; 12,448 records initially identified; 182 supported raw findings synthesized",systematic review and qualitative meta-aggregation following PRISMA/JBI methods,EVIDENCE_SYNTHESIS,QUALITATIVE_SYSTEMATIC_REVIEW_EVIDENCE,YES_SYNTHESIS,NO_META_EFFECT,VERSION_OF_RECORD,INTEGRITY_CLEAR,RETAIN_FOR_HUMAN_CONFIRMATION,JBI Systematic Reviews and Research Syntheses,JBI Manual Appendix 9.1 (2024),SYSTEMATIC_REVIEW_APPRAISAL,"AI-assisted provisional JBI review appraisal: protocol registration, multi-database searching, explicit eligibility, JBI appraisal and meta-aggregation are reported; variation in included-study quality and training contexts limits universal application.","Thirty-nine studies yielded 182 supported raw findings, condensed into 47 sub-categories, 19 categories and five synthesis statements covering support, content/design/planning, context, perceived value and organizational factors.",Review identifies barriers/facilitators to training delivery and workplace implementation; it does not estimate training effectiveness on clinical or operational outcomes.,Abstract; Methods—protocol/eligibility/data synthesis; Results—study selection/synthesised findings; Discussion; Conclusions,"Across 39 qualitative studies, the review synthesized five groups of barriers/facilitators relevant to delivery and workplace implementation of child/adolescent mental-health training.","The review does not establish that a specific training package improves police performance, clinical outcomes or operational readiness.","Some allied-professional evidence includes police, but most included settings/professions are not Brazilian public-safety organizations; implementation must be locally validated.",,,,,,NO,HUMAN_REVIEW_REQUIRED,NOT_CALCULATED
