evidence_id,pmid,pmcid,source_version,publisher_url,publisher_access,vor_comparison,claim_location_status,human_confirmed
EV-0367,39808097,PMC12064357,AUTHOR_ACCEPTED_MANUSCRIPT,https://www.sciencedirect.com/science/article/abs/pii/S0099176724003672,PUBLISHER_FULL_SECTIONS_ACCESSIBLE,IDENTITY_ABSTRACT_METHODS_RESULTS_LIMITATIONS_COMPARED_NO_MATERIAL_DIFFERENCE_OBSERVED,VOR_LOCATION_REQUIRED_BEFORE_CLAIM_READY,
EV-0176,41492854,PMC12771649,VERSION_OF_RECORD,https://doi.org/10.1111/hex.70552,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,VOR_LOCATION_AVAILABLE_IN_PMC,
EV-0171,41520119,PMC12882353,VERSION_OF_RECORD,https://doi.org/10.1186/s40814-025-01758-7,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,VOR_LOCATION_AVAILABLE_IN_PMC,
EV-0160,41626406,PMC12852583,VERSION_OF_RECORD,https://doi.org/10.1177/29768357251413412,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,VOR_LOCATION_AVAILABLE_IN_PMC,
EV-0157,41673910,PMC12998156,VERSION_OF_RECORD,https://doi.org/10.1186/s12954-026-01413-1,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,VOR_LOCATION_AVAILABLE_IN_PMC,
EV-0091,42196761,PMC13206323,VERSION_OF_RECORD,https://doi.org/10.3390/ijerph23050669,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,VOR_LOCATION_AVAILABLE_IN_PMC,
EV-1328,19947877,PMC3413284,AUTHOR_ACCEPTED_MANUSCRIPT,https://www.tandfonline.com/doi/abs/10.3109/10903120903349762,PUBLISHER_METADATA_AND_ABSTRACT_ACCESSIBLE,VERSION_OF_RECORD_COMPARISON_PENDING,VOR_LOCATION_REQUIRED_BEFORE_CLAIM_READY,
EV-0896,32191195,PMC7081854,VERSION_OF_RECORD,https://doi.org/10.5811/westjem.2019.11.44887,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,VOR_LOCATION_AVAILABLE_IN_PMC,
EV-0791,33909512,PMC8626520,AUTHOR_ACCEPTED_MANUSCRIPT,https://www.tandfonline.com/doi/abs/10.1080/10903127.2021.1922556,PUBLISHER_METADATA_AND_ABSTRACT_ACCESSIBLE,VERSION_OF_RECORD_COMPARISON_PENDING,VOR_LOCATION_REQUIRED_BEFORE_CLAIM_READY,
EV-0723,35120531,PMC8814788,VERSION_OF_RECORD,https://doi.org/10.1186/s12954-022-00590-z,VERSION_OF_RECORD_USED_FROM_PMC,NOT_APPLICABLE,VOR_LOCATION_AVAILABLE_IN_PMC,
