evidence_id,layer,title,brazil_tier,score
EV-0603,INTERNATIONAL,Physical Training Programs for Tactical Populations: Brief Systematic Review,,94
EV-1001,INTERNATIONAL,The effectiveness of the functional movement screen in determining injury risk in tactical occupations,,88
EV-0325,INTERNATIONAL,Salivary biomarkers of tactical athlete readiness: A systematic review,,91
EV-1117,INTERNATIONAL,Pre-hospital management of mass casualty civilian shootings: a systematic literature review,,90
EV-1266,INTERNATIONAL,Death on the battlefield (2001-2011): implications for the future of combat casualty care,,93
INT-EXT-31045682,INTERNATIONAL,Characterization of the Physical Fitness of Police Officers: A Systematic Review,,95
INT-EXT-28515947,INTERNATIONAL,The impact of body armor on physical performance of law enforcement personnel: a systematic review,,94
INT-EXT-30862044,INTERNATIONAL,Sleep Quality among Police Officers: Implications and Insights from a Systematic Review and Meta-Analysis,,95
INT-EXT-42165076,INTERNATIONAL,Association Between Work Stress and Sleep Disorders in Law Enforcement: A Systematic Review and Meta-Analysis,,96
INT-EXT-FNUT2026,INTERNATIONAL,Acute caffeine supplementation as a nutrition-based strategy to mitigate sleep-loss-related cognitive and operational performance impairments in military personnel,,95
BR-EXT-001,BRAZIL,Cardiovascular risk factors across job roles and work shifts in a Brazilian Military Police cohort: a cross-sectional study,BRAZIL_CORE_EVIDENCE,96
BR-EXT-003,BRAZIL,Atividade física e qualidade de sono em policiais militares,BRAZIL_CORE_EVIDENCE,92
