evidence_id,pmid,doi,pmcid,zotero_key,title,authors,journal,year,volume,issue,pages_or_elocation,full_text_source,access_type,lawful_access,discovered_on,full_text_obtained,identity_status,version_status,article_type_jats,integrity_status,integrity_detail,country_context,population,design,ai_full_text_decision,decision_reason,appraisal_tool,tool_version,appraisal_summary,extraction,result,exact_evidence_location,supported_claims,unsupported_claims,transferability_limits,red_team_finding,extraction_complete,appraisal_complete_ai,exact_location_complete,boundary_complete,transferability_complete,editorial_hold,human_reviewer,human_review_date,human_decision,human_justification,human_confirmation,claim_ready,record_status,evidence_origin,evidence_class,original_data,empirical_effect_estimate,eligibility_contextual_source,appraisal_tool_version,appraisal_type,methodological_quality_appraisal,risk_of_bias_appraisal,textual_evidence_appraisal,appraisal_completeness,appraisal_review_status,ai_appraisal_complete_provisional,human_appraisal_confirmed,global_quality_score,extraction_version,vor_url,vor_access_status,vor_comparison_status,vor_comparison_scope,preferred_claim_locator
EV-0668,36141388,10.3390/healthcare10091777,PMC9498760,BHR9XD2I,"Development of an Evidence-Informed Solution to Emotional Distress in Public Safety Personnel and Healthcare Workers: The Social Support, Tracking Distress, Education, and Discussion CommunitY (STEADY) Program",Janet Ellis; Melissa B. Korman,Healthcare,2022,10,9,1777,https://pmc.ncbi.nlm.nih.gov/articles/PMC9498760/,PMC,YES,2026-09-17,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,review-article,INTEGRITY_CLEAR,No correction/retraction relation found in the current PubMed record; this is not proof of absolute absence.,Canada; public safety personnel and healthcare workers,No empirical sample; narrative review and program-development article,narrative review / program development,INCLUDE_FULL_TEXT,"Relevant conceptual and implementation source for occupational stress prevention, with no effectiveness evaluation.",SANRA,2019 six-item scale,AI-assisted provisional SANRA 8/12; search methods absent and endpoint evidence incompletely presented.,"STEADY combines social support, distress tracking, education, discussion and community-building; KTA and CFIR informed development.",The paper describes program components and planned implementation; it explicitly does not report a STEADY evaluation.,The STEADY Program ¶1–2; Key Components ¶1–8; What Does STEADY Add? ¶10; Next Steps and Implications for Practice ¶1–2,The authors developed and described the five-component STEADY program and its proposed implementation basis.,"The article does not establish STEADY effectiveness, causal mental-health benefit, long-term outcomes or superiority to other programs.",Canadian program-development context; mixed PSP/healthcare target; no Brazilian implementation or outcome data.,Program description could be misread as effectiveness evidence; retained only as conceptual/implementation evidence.,YES,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED,NON_EMPIRICAL,NARRATIVE_REVIEW_EVIDENCE,NO,NO,NOT_APPLICABLE,2019; six-item scale,METHODOLOGICAL_QUALITY_APPRAISAL,YES,NO,NO,COMPLETE_FOR_SELECTED_TOOL,AI_PROVISIONAL_HUMAN_CONFIRMATION_PENDING,YES,,NOT_CALCULATED,VERSION_OF_RECORD,https://pmc.ncbi.nlm.nih.gov/articles/PMC9498760/,VERSION_OF_RECORD_ALREADY_USED,NOT_APPLICABLE,NOT_APPLICABLE,VERSION_OF_RECORD_SECTION_TABLE_OR_FIGURE_REQUIRED_BEFORE_CLAIM_READY
EV-0787,33933923,10.1016/j.drugpo.2021.103259,PMC8530836,4AXW7YEU,Implementation of a New Hampshire community-initiated response to the opioid crisis: A mixed-methods process evaluation of Safe Station,Sarah K. Moore; Elizabeth Saunders; Bethany McLeman; Stephen A. Metcalf; Olivia Walsh; Kathleen Bell; Andrea Meier; Lisa A. Marsch,The International journal on drug policy,2021,95,,103259,https://pmc.ncbi.nlm.nih.gov/articles/PMC8530836/,PMC,YES,2026-09-17,YES,MATCH_CONFIRMED,AUTHOR_ACCEPTED_MANUSCRIPT,research-article,INTEGRITY_CLEAR,No correction/retraction relation found in the current PubMed record; this is not proof of absolute absence.,"Manchester, New Hampshire, United States; fire-department Safe Station","Safe Station clients (n=49), fire staff/leadership (n=29), ED staff (n=6), ambulance partner staff (n=4), recovery partner staff (n=6)",convergent parallel mixed-methods process evaluation,INCLUDE_FULL_TEXT,Directly evaluates implementation determinants and metrics for a first-responder-linked access program.,MMAT,2018,AI-assisted provisional appraisal: mixed-method rationale and integration are reported; quantitative samples are small and significance testing was not performed.,"Observations, interviews and implementation measures were integrated using CFIR; stigma, funding, treatment availability, staffing and communication affected implementation.","Implementation scores were descriptive; small samples precluded significance testing, and staff adoption/acceptability appeared lower than client and leadership ratings.",Methods—Design ¶1; Participants ¶1; Analysis Plan ¶1–2; Results—Participant Characteristics ¶1; Quantitative Metrics ¶1; Study Strengths and Limitations ¶1,"In this local evaluation, participating stakeholder groups identified specific facilitators and barriers to Safe Station implementation.","The study does not prove program effectiveness, mortality reduction, causal benefit, sustainability or transportability to Brazil.","Single US city, self-selected small stakeholder samples, local fire/health partnerships and no inferential testing.",Effectiveness language in participant perceptions must not be converted into measured clinical effectiveness.,YES,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED,EMPIRICAL,MIXED_METHODS_EVIDENCE,YES,NO,NOT_APPLICABLE,2018,METHODOLOGICAL_QUALITY_APPRAISAL,YES,NO,NO,COMPLETE_FOR_SELECTED_TOOL,AI_PROVISIONAL_HUMAN_CONFIRMATION_PENDING,YES,,NOT_CALCULATED,AAM_WITH_VOR_SECTION_CROSSCHECK,https://www.sciencedirect.com/science/article/pii/S095539592100164X,LAWFULLY_ACCESSIBLE_OPEN_ACCESS,IDENTITY_AND_MATERIAL_SECTIONS_COMPARED_NO_MATERIAL_DIFFERENCE_OBSERVED,"Bibliographic identity, abstract, design, participants, quantitative metrics, analysis, result framing, limitations and declarations; no claim-level equivalence asserted.",VERSION_OF_RECORD_SECTION_TABLE_OR_FIGURE_REQUIRED_BEFORE_CLAIM_READY
EV-0758,34622213,10.1007/s43477-021-00011-6,PMC8116638,CRYUZSIZ,"The Readiness, Resilience and Recovery Tool: An Emerging Approach to Enhance Readiness Amidst Disruption",Jennifer Kolodny-Goetz; Debra W. Hamm; Brittany S. Cook; Abraham Wandersman,Global Implementation Research and Applications,2021,1,2,135,https://pmc.ncbi.nlm.nih.gov/articles/PMC8116638/,PMC,YES,2026-09-17,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,No correction/retraction relation found in the current PubMed record; this is not proof of absolute absence.,United States; five implementation-practice examples,No formal study sample; illustrative applications across five organizations/projects,conceptual implementation tool with descriptive case illustrations,INCLUDE_FULL_TEXT,Relevant conceptual source for organizational readiness during disruption; empirical utility remains unverified.,JBI Textual Evidence: Expert Opinion,2017,"AI-assisted provisional appraisal: argument and references are coherent, but utility evidence is anecdotal and formal validation is absent.",RRR extends R=MC² readiness thinking by considering an innovation and a disruption simultaneously; five applications are described.,Authors report preliminary user experience and explicitly state that structured qualitative and quantitative evaluation is still needed.,Enhancing the Readiness Building System with RRR Tools and Approaches ¶1–5; RRR in Practice; Next Steps for RRR ¶1–5; Conclusions ¶1–4,"The article describes the RRR tool, its conceptual basis and five early applications.","It does not validate the tool, establish psychometric properties, prove effectiveness or demonstrate generalizability.",Heterogeneous US examples; no Brazilian public-safety application; authors characterize validity support as anecdotal.,Early applications and author conclusions were bounded as descriptive; no effectiveness claim was retained.,YES,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED,NON_EMPIRICAL,CONCEPTUAL_EVIDENCE,NO,NO,NOT_APPLICABLE,current checklist; McArthur et al. 2025; file published 2026-05,TEXTUAL_EVIDENCE_APPRAISAL,NO,NO,YES,COMPLETE_FOR_SELECTED_TOOL,AI_PROVISIONAL_HUMAN_CONFIRMATION_PENDING,YES,,NOT_CALCULATED,VERSION_OF_RECORD,https://pmc.ncbi.nlm.nih.gov/articles/PMC8116638/,VERSION_OF_RECORD_ALREADY_USED,NOT_APPLICABLE,NOT_APPLICABLE,VERSION_OF_RECORD_SECTION_TABLE_OR_FIGURE_REQUIRED_BEFORE_CLAIM_READY
EV-0753,34665820,10.1371/journal.pone.0258547,PMC8525775,NAFL5D8I,Implementation and perceived effectiveness of gun violence restraining orders in California: A qualitative evaluation,Veronica A. Pear; Julia P. Schleimer; Elizabeth Tomsich; Rocco Pallin; Amanda Charbonneau; Garen J. Wintemute; Christopher E. Knoepke,PLoS ONE,2021,16,10,e0258547,https://pmc.ncbi.nlm.nih.gov/articles/PMC8525775/,PMC,YES,2026-09-17,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,No correction/retraction relation found in the current PubMed record; this is not proof of absolute absence.,"California, United States; firearm policy implementation","21 interviews with 27 judges, law-enforcement officers, attorneys, policy experts, advocates and a researcher",qualitative grounded-theory/CFIR evaluation,INCLUDE_FULL_TEXT,Direct implementation study involving law enforcement and policy actors.,JBI Qualitative Research,2017,"AI-assisted provisional appraisal: sampling, analysis, triangulation, voices and ethics are reported; researcher positioning and influence are not fully addressed.","Informants described funding, planning, interagency coordination, training, local ideology and organizational culture as implementation determinants.",Perceived effectiveness was favorable but informants and authors stated that outcome evidence remained incomplete.,Materials and methods—Study sample ¶1–2; Analytic approach ¶2–3; Results ¶1; Implementation sections; Evidence strength and quality ¶1–4; Limitations ¶1–2,"Interviewed California stakeholders identified barriers, facilitators and perceived outcomes of GVRO implementation.","The interviews do not establish that GVROs reduce violence or suicide, quantify causal effects, or resolve equity impacts.",California law and institutions differ from Brazil; participating counties had used GVROs and informants may have been more supportive.,Perceived effectiveness was separated from actual outcome effectiveness and causal inference.,YES,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED,EMPIRICAL,QUALITATIVE_EVIDENCE,YES,NO,NOT_APPLICABLE,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,YES,NO,NO,COMPLETE_FOR_SELECTED_TOOL,AI_PROVISIONAL_HUMAN_CONFIRMATION_PENDING,YES,,NOT_CALCULATED,VERSION_OF_RECORD,https://pmc.ncbi.nlm.nih.gov/articles/PMC8525775/,VERSION_OF_RECORD_ALREADY_USED,NOT_APPLICABLE,NOT_APPLICABLE,VERSION_OF_RECORD_SECTION_TABLE_OR_FIGURE_REQUIRED_BEFORE_CLAIM_READY
EV-0727,35076700,10.1001/jamanetworkopen.2021.44955,PMC8790663,H7XKJIDC,Perspectives About Emergency Department Care Encounters Among Adults With Opioid Use Disorder,Kathryn Hawk; Ryan McCormack; E. Jennifer Edelman; Edouard Coupet; Nicolle Toledo; Phoebe Gauthier; John Rotrosen; Marek Chawarski; Shara Martel; Patricia Owens; Michael V. Pantalon; Patrick O’Connor; Lauren K. Whiteside; Ethan Cowan; Lynne D. Richardson; Michael S. Lyons; Richard Rothman; Lisa Marsch; David A. Fiellin; Gail D’Onofrio,JAMA Network Open,2022,5,1,e2144955,https://pmc.ncbi.nlm.nih.gov/articles/PMC8790663/,PMC,YES,2026-09-17,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,No correction/retraction relation found in the current PubMed record; this is not proof of absolute absence.,Six emergency departments in the United States,31 adults with untreated opioid use disorder in six focus groups,multisite qualitative focus-group study,INCLUDE_FULL_TEXT,Implementation-relevant patient perspectives on emergency care and treatment access.,JBI Qualitative Research,2017,"AI-assisted provisional appraisal: sampling, analysis, audit trail, participant voices and ethics are reported; researcher influence remains partly unclear.","Themes included stigma, pain minimization, lack of OUD treatment expectations, time-sensitive readiness, on-demand treatment and staff training.",The study reports participant experiences and implementation needs; it did not test an intervention effect.,Methods—Selection of Participants ¶1; Data Collection ¶1; Data Analysis ¶1; Results—Participant Characteristics ¶1; Themes ¶1; Discussion—Limitations ¶1; Conclusions ¶1,Participants in these focus groups reported stigma and identified opportunities to improve ED care and treatment linkage.,"The study does not quantify prevalence, prove intervention effectiveness, establish causality or represent all people with OUD.",US ED and addiction-care context; selected English-speaking participants; no Brazilian public-safety workforce sample.,"Patient reports were preserved as qualitative findings, not prevalence estimates or causal effects.",YES,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED,EMPIRICAL,QUALITATIVE_EVIDENCE,YES,NO,NOT_APPLICABLE,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,YES,NO,NO,COMPLETE_FOR_SELECTED_TOOL,AI_PROVISIONAL_HUMAN_CONFIRMATION_PENDING,YES,,NOT_CALCULATED,VERSION_OF_RECORD,https://pmc.ncbi.nlm.nih.gov/articles/PMC8790663/,VERSION_OF_RECORD_ALREADY_USED,NOT_APPLICABLE,NOT_APPLICABLE,VERSION_OF_RECORD_SECTION_TABLE_OR_FIGURE_REQUIRED_BEFORE_CLAIM_READY
EV-0593,37297641,10.3390/ijerph20116037,PMC10252876,57HE5M3N,How Do We Keep our Heads above Water? An Embedded Mixed-Methods Study Exploring Implementation of a Workplace Reintegration Program for Nurses Affected by Operational Stress Injury,Chelsea Jones; Elly O’Greysik; Brenda Juby; Shaylee Spencer; Michelle Vincent; Lorraine Smith-MacDonald; Colleen Mooney; Suzette Brémault-Phillips,International Journal of Environmental Research and Public Health,2023,20,11,6037,https://pmc.ncbi.nlm.nih.gov/articles/PMC10252876/,PMC,YES,2026-09-17,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,No correction/retraction relation found in the current PubMed record; this is not proof of absolute absence.,"Urban Alberta, Canada; emergency and critical-care nurses","19 questionnaire respondents; 12 focus-group participants, all women",embedded mixed-methods implementation study,INCLUDE_FULL_TEXT,"Relevant implementation evidence for workplace reintegration, with indirect occupational transferability.",MMAT,2018,AI-assisted provisional appraisal: mixed-method design and triangulation are explicit; small self-selected sample and narrow readiness assessment limit confidence.,"Participants reported traumatic exposure and implementation needs including education, buy-in, resources, support and adaptation of a reintegration program.","Among 19 respondents, 89% reported psychological distress, 63% sought mental health care and 42% required time away; findings are descriptive and self-reported.",Materials and Methods—Study Design ¶1–3; Participants ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Questionnaire ¶1 and Thematic Analysis ¶1; Limitations ¶1,This small sample identified perceived needs and contextual barriers for a nurse workplace-reintegration program.,"The study does not establish program effectiveness, population prevalence, causal benefit or direct applicability to police in Brazil.","Canadian nurses, all-women sample, one health system, small self-selected groups and no implemented intervention outcome.",Percentages were tied to denominator 19 and not generalized to nurses or public-safety personnel.,YES,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED,EMPIRICAL,MIXED_METHODS_EVIDENCE,YES,NO,NOT_APPLICABLE,2018,METHODOLOGICAL_QUALITY_APPRAISAL,YES,NO,NO,COMPLETE_FOR_SELECTED_TOOL,AI_PROVISIONAL_HUMAN_CONFIRMATION_PENDING,YES,,NOT_CALCULATED,VERSION_OF_RECORD,https://pmc.ncbi.nlm.nih.gov/articles/PMC10252876/,VERSION_OF_RECORD_ALREADY_USED,NOT_APPLICABLE,NOT_APPLICABLE,VERSION_OF_RECORD_SECTION_TABLE_OR_FIGURE_REQUIRED_BEFORE_CLAIM_READY
EV-0523,38115970,10.1136/tsaco-2023-001292,PMC10729156,45XR289H,Implementation science in action: national organization of an ambitious first responder training program,Lacey LaGrone,Trauma Surgery & Acute Care Open,2023,8,1,e001292,https://pmc.ncbi.nlm.nih.gov/articles/PMC10729156/,PMC,YES,2026-09-17,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,article-commentary,INTEGRITY_CLEAR,CommentOn:38020852; non-integrity editorial relation retained,Commentary on a national first-responder training initiative in Pakistan,No original sample or data,editorial commentary,HUMAN_REVIEW_REQUIRED,Full text is commentary without original methods or outcomes; a human must decide contextual-source eligibility.,JBI Textual Evidence: Expert Opinion,2017,"AI-assisted provisional appraisal: author and argument are identifiable and referenced, but the commentary supplies no independently appraisable empirical data.",The author comments that EPIS structured reporting of a large CPR/bleeding-control initiative and highlights sustainability planning.,"No original effectiveness, training-target attainment or lives-saved result is reported.",Body ¶1–3,The commentary describes the author's interpretation of another implementation report and its use of EPIS.,"It cannot establish training effectiveness, lives saved, fidelity, sustainability or national generalizability.","Opinion about a Pakistan initiative; no original data; different institutions, curriculum and health-system context.",PMC article type is article-commentary; the queue's generic Journal Article label must not imply an empirical study.,YES,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED,NON_EMPIRICAL,COMMENTARY_EXPERT_OPINION,NO,NO,HUMAN_DECISION_REQUIRED,current checklist; McArthur et al. 2025; file published 2026-05,TEXTUAL_EVIDENCE_APPRAISAL,NO,NO,YES,COMPLETE_FOR_SELECTED_TOOL,AI_PROVISIONAL_HUMAN_CONFIRMATION_PENDING,YES,,NOT_CALCULATED,VERSION_OF_RECORD,https://pmc.ncbi.nlm.nih.gov/articles/PMC10729156/,VERSION_OF_RECORD_ALREADY_USED,NOT_APPLICABLE,NOT_APPLICABLE,VERSION_OF_RECORD_SECTION_TABLE_OR_FIGURE_REQUIRED_BEFORE_CLAIM_READY
EV-0503,38322801,10.1177/26334895231220259,PMC10775732,7Q3Z785H,Barriers and enablers to implementing police mental health co-responder programs: A qualitative study using the consolidated framework for implementation research,O. J. Fisher; C. Donahoo; E. Bosley; R. du Cloux; S. Garner; S. Powell; J. Pickard; N. Grevis-James; M. Wyder,Implementation Research and Practice,2024,5,,26334895231220259,https://pmc.ncbi.nlm.nih.gov/articles/PMC10775732/,PMC,YES,2026-09-17,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,No correction/retraction relation found in the current PubMed record; this is not proof of absolute absence.,"Queensland, Australia; police mental-health co-responder program","6 clinicians, 2 clinician managers, 15 police officers and 7 station officers in charge",qualitative service evaluation using post hoc CFIR analysis,INCLUDE_FULL_TEXT,Direct police implementation study with clearly bounded qualitative outcomes.,JBI Qualitative Research,2017,"AI-assisted provisional appraisal: participant groups, analysis, ethics and findings are clear; post hoc framework use, researcher positioning and unknown police denominator limit confidence.","Data sharing, leadership, complementary skills and learning culture enabled implementation; staffing, governance, legislation and interagency differences constrained it.","Participants perceived the program favorably; no cost-benefit, consumer outcome or causal effectiveness evaluation was conducted.",Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,Participating Queensland police and mental-health staff identified contextual barriers and enablers to this co-responder model.,"The study does not prove clinical effectiveness, cost-effectiveness, reduced detention or transport, or success in other jurisdictions.","Queensland legal/data-sharing context, post hoc evaluation and uncertain police participation denominator differ from Brazil.",Perceived better outcomes were not treated as measured consumer outcomes or cost-effectiveness.,YES,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED,EMPIRICAL,QUALITATIVE_EVIDENCE,YES,NO,NOT_APPLICABLE,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,YES,NO,NO,COMPLETE_FOR_SELECTED_TOOL,AI_PROVISIONAL_HUMAN_CONFIRMATION_PENDING,YES,,NOT_CALCULATED,VERSION_OF_RECORD,https://pmc.ncbi.nlm.nih.gov/articles/PMC10775732/,VERSION_OF_RECORD_ALREADY_USED,NOT_APPLICABLE,NOT_APPLICABLE,VERSION_OF_RECORD_SECTION_TABLE_OR_FIGURE_REQUIRED_BEFORE_CLAIM_READY
EV-0447,39028235,10.5811/westjem.18033,PMC11254139,5H6N3ED3,Harm Reduction in the Field: First Responders’ Perceptions of Opioid Overdose Interventions,Callan Elswick Fockele; Tessa Frohe; Owen McBride; David L. Perlmutter; Brenda Goh; Grover Williams; Courteney Wettemann; Nathan Holland; Brad Finegood; Thea Oliphant-Wells; Emily C. Williams; Jenna van Draanen,Western Journal of Emergency Medicine,2024,25,4,490,https://pmc.ncbi.nlm.nih.gov/articles/PMC11254139/,PMC,YES,2026-09-17,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,No correction/retraction relation found in the current PubMed record; this is not proof of absolute absence.,"King County, Washington, United States; first responders and mobile health staff","32 first responders, mobile medical clinicians and EMS leaders",community-engaged qualitative interview study,INCLUDE_FULL_TEXT,Direct implementation study of first-responder overdose interventions.,JBI Qualitative Research,2017,"AI-assisted provisional appraisal: reflexivity, dual coding, saturation, voices and ethics are reported; convenience/snowball sampling and low demographic diversity remain concerns.",Participants perceived leave-behind naloxone as most compatible; field buprenorphine raised workflow concerns; HIV/HCV testing was often considered unsuitable for rapid response.,The study identifies perceived facilitators and barriers; it does not evaluate patient health impact.,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,Interviewed first responders and leaders identified local implementation barriers and facilitators for three overdose interventions.,"The study does not demonstrate intervention efficacy, safety, cost-effectiveness, adoption rates or patient outcomes.","Single US county, convenience/snowball sample, limited racial/ethnic diversity and opioid-policy context unlike Brazil.",Participant endorsement was retained as perception and not upgraded to effectiveness evidence.,YES,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED,EMPIRICAL,QUALITATIVE_EVIDENCE,YES,NO,NOT_APPLICABLE,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,YES,NO,NO,COMPLETE_FOR_SELECTED_TOOL,AI_PROVISIONAL_HUMAN_CONFIRMATION_PENDING,YES,,NOT_CALCULATED,VERSION_OF_RECORD,https://pmc.ncbi.nlm.nih.gov/articles/PMC11254139/,VERSION_OF_RECORD_ALREADY_USED,NOT_APPLICABLE,NOT_APPLICABLE,VERSION_OF_RECORD_SECTION_TABLE_OR_FIGURE_REQUIRED_BEFORE_CLAIM_READY
EV-0425,39205432,10.1111/dar.13926,PMC12372593,96HF9IFT,"“You might be nice, but where you take me, they’re not gonna be”: Preferences for field-based post-overdose interventions",Jenna van Draanen; Addy Adwell; Courteney Wettemann; Callan Elswick Fockele; Brenda Goh; David L. Perlmutter; Grover “Will” Williams; Nathan Holland; Tessa Frohe,Drug and alcohol review,2024,43,7,1865,https://pmc.ncbi.nlm.nih.gov/articles/PMC12372593/,PMC,YES,2026-09-17,YES,MATCH_CONFIRMED,AUTHOR_ACCEPTED_MANUSCRIPT,research-article,INTEGRITY_CLEAR,No correction/retraction relation found in the current PubMed record; this is not proof of absolute absence.,"King County, Washington, United States; people who use drugs",13 adults with opioid-use experience and a recent EMS encounter,community-engaged qualitative interview study,INCLUDE_FULL_TEXT,Implementation-relevant service-user perspectives for field overdose care.,JBI Qualitative Research,2017,"AI-assisted provisional appraisal: community partnership, reflexivity, double coding, voices and analysis are explicit; convenience sampling and regionality limit transferability.","Participants generally favored leave-behind naloxone and field buprenorphine, were less interested in field HIV/HCV testing, and emphasized compassionate care and reduced police visibility.","Findings describe preferences and experiences, not clinical or implementation effectiveness.",Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,These 13 participants described preferences and concerns about post-overdose interventions in their local EMS context.,"The study does not establish population-wide acceptability, intervention effectiveness, safety, treatment uptake or causal outcomes.",Small convenience sample from service-connected Seattle locations; highly regional overdose and policing context.,Preferences were not converted into evidence that the interventions improve health or implementation outcomes.,YES,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED,EMPIRICAL,QUALITATIVE_EVIDENCE,YES,NO,NOT_APPLICABLE,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,YES,NO,NO,COMPLETE_FOR_SELECTED_TOOL,AI_PROVISIONAL_HUMAN_CONFIRMATION_PENDING,YES,,NOT_CALCULATED,AAM_USED_FOR_EXTRACTION,https://onlinelibrary.wiley.com/doi/10.1111/dar.13926,PUBLISHER_METADATA_AND_ABSTRACT_ACCESSIBLE,VERSION_OF_RECORD_COMPARISON_PENDING,Bibliographic identity and abstract compared; lawful publisher full text was not available in this execution.,AAM_LOCATION_PROVISIONAL_VOR_COMPARISON_REQUIRED_BEFORE_CLAIM_READY
