evidence_id,pmid,tool_compatible_with_design,current_tool_version_or_explicit_version,mixed_quant_component_appraised,mixed_qual_component_appraised,textual_not_empirical,quality_not_risk_of_bias,aam_not_vor,commentary_not_study,opinion_not_result,perception_not_effectiveness,association_not_causality,no_unsupported_international_transfer,exact_claim_location_required,record_hold,finding,overall
EV-0668,36141388,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,No methodological architecture defect remained after the corrective appraisal; scientific and human confirmation gates remain closed.,PASS
EV-0787,33933923,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,No methodological architecture defect remained after the corrective appraisal; scientific and human confirmation gates remain closed.,PASS
EV-0758,34622213,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,No methodological architecture defect remained after the corrective appraisal; scientific and human confirmation gates remain closed.,PASS
EV-0753,34665820,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,No methodological architecture defect remained after the corrective appraisal; scientific and human confirmation gates remain closed.,PASS
EV-0727,35076700,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,No methodological architecture defect remained after the corrective appraisal; scientific and human confirmation gates remain closed.,PASS
EV-0593,37297641,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,No methodological architecture defect remained after the corrective appraisal; scientific and human confirmation gates remain closed.,PASS
EV-0523,38115970,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HOLD_RECORD,Commentary remains non-empirical and HUMAN_REVIEW_REQUIRED; appraisal is provisional expert-opinion appraisal.,PASS
EV-0503,38322801,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,No methodological architecture defect remained after the corrective appraisal; scientific and human confirmation gates remain closed.,PASS
EV-0447,39028235,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,No methodological architecture defect remained after the corrective appraisal; scientific and human confirmation gates remain closed.,PASS
EV-0425,39205432,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,No methodological architecture defect remained after the corrective appraisal; scientific and human confirmation gates remain closed.,PASS
