Domain,Total,Already_Cited,Full_Text,Contradictory,Replace,Excluded
General operational / occupational readiness,897,1,0,0,0,472
Tactical medicine / TCCC / TECC / APH,168,3,29,0,0,123
Physical / academy readiness,102,1,67,2,5,21
Musculoskeletal injury,99,0,60,0,0,37
Sleep / fatigue / recovery,39,0,26,0,0,10
Nutrition / shift work,38,3,27,1,4,2
Mental health / stress,37,0,20,0,0,16
Cognition / firearm performance,33,2,14,0,6,10
Medical / cardiovascular readiness,29,1,10,0,1,13
Implementation science,20,3,7,0,0,8
Hydration / heat / thermoregulation,8,0,4,0,0,3
Load carriage / equipment burden,7,0,1,0,0,6
Monitoring / wearables,6,0,1,0,0,5
Policy / organizational readiness,1,0,0,0,0,1
