evidence_id,field,before,after,reason,source
EV-0668,evidence_classification,Implicit in free-text design,NARRATIVE_REVIEW_EVIDENCE,"Prevent semantic equivalence between empirical, conceptual, narrative-review and opinion evidence.",Pilot 01 full text and JATS article type
EV-0668,appraisal_state,appraisal_complete_ai=YES,AI_APPRAISAL_COMPLETE_PROVISIONAL=YES; HUMAN_APPRAISAL_CONFIRMED=blank,Remove ambiguity between AI completion and human confirmation.,Corrective prompt requirement
EV-0787,evidence_classification,Implicit in free-text design,MIXED_METHODS_EVIDENCE,"Prevent semantic equivalence between empirical, conceptual, narrative-review and opinion evidence.",Pilot 01 full text and JATS article type
EV-0787,appraisal_state,appraisal_complete_ai=YES,AI_APPRAISAL_COMPLETE_PROVISIONAL=YES; HUMAN_APPRAISAL_CONFIRMED=blank,Remove ambiguity between AI completion and human confirmation.,Corrective prompt requirement
EV-0758,evidence_classification,Implicit in free-text design,CONCEPTUAL_EVIDENCE,"Prevent semantic equivalence between empirical, conceptual, narrative-review and opinion evidence.",Pilot 01 full text and JATS article type
EV-0758,appraisal_state,appraisal_complete_ai=YES,AI_APPRAISAL_COMPLETE_PROVISIONAL=YES; HUMAN_APPRAISAL_CONFIRMED=blank,Remove ambiguity between AI completion and human confirmation.,Corrective prompt requirement
EV-0753,evidence_classification,Implicit in free-text design,QUALITATIVE_EVIDENCE,"Prevent semantic equivalence between empirical, conceptual, narrative-review and opinion evidence.",Pilot 01 full text and JATS article type
EV-0753,appraisal_state,appraisal_complete_ai=YES,AI_APPRAISAL_COMPLETE_PROVISIONAL=YES; HUMAN_APPRAISAL_CONFIRMED=blank,Remove ambiguity between AI completion and human confirmation.,Corrective prompt requirement
EV-0727,evidence_classification,Implicit in free-text design,QUALITATIVE_EVIDENCE,"Prevent semantic equivalence between empirical, conceptual, narrative-review and opinion evidence.",Pilot 01 full text and JATS article type
EV-0727,appraisal_state,appraisal_complete_ai=YES,AI_APPRAISAL_COMPLETE_PROVISIONAL=YES; HUMAN_APPRAISAL_CONFIRMED=blank,Remove ambiguity between AI completion and human confirmation.,Corrective prompt requirement
EV-0593,evidence_classification,Implicit in free-text design,MIXED_METHODS_EVIDENCE,"Prevent semantic equivalence between empirical, conceptual, narrative-review and opinion evidence.",Pilot 01 full text and JATS article type
EV-0593,appraisal_state,appraisal_complete_ai=YES,AI_APPRAISAL_COMPLETE_PROVISIONAL=YES; HUMAN_APPRAISAL_CONFIRMED=blank,Remove ambiguity between AI completion and human confirmation.,Corrective prompt requirement
EV-0523,evidence_classification,Implicit in free-text design,COMMENTARY_EXPERT_OPINION,"Prevent semantic equivalence between empirical, conceptual, narrative-review and opinion evidence.",Pilot 01 full text and JATS article type
EV-0523,appraisal_state,appraisal_complete_ai=YES,AI_APPRAISAL_COMPLETE_PROVISIONAL=YES; HUMAN_APPRAISAL_CONFIRMED=blank,Remove ambiguity between AI completion and human confirmation.,Corrective prompt requirement
EV-0503,evidence_classification,Implicit in free-text design,QUALITATIVE_EVIDENCE,"Prevent semantic equivalence between empirical, conceptual, narrative-review and opinion evidence.",Pilot 01 full text and JATS article type
EV-0503,appraisal_state,appraisal_complete_ai=YES,AI_APPRAISAL_COMPLETE_PROVISIONAL=YES; HUMAN_APPRAISAL_CONFIRMED=blank,Remove ambiguity between AI completion and human confirmation.,Corrective prompt requirement
EV-0447,evidence_classification,Implicit in free-text design,QUALITATIVE_EVIDENCE,"Prevent semantic equivalence between empirical, conceptual, narrative-review and opinion evidence.",Pilot 01 full text and JATS article type
EV-0447,appraisal_state,appraisal_complete_ai=YES,AI_APPRAISAL_COMPLETE_PROVISIONAL=YES; HUMAN_APPRAISAL_CONFIRMED=blank,Remove ambiguity between AI completion and human confirmation.,Corrective prompt requirement
EV-0425,evidence_classification,Implicit in free-text design,QUALITATIVE_EVIDENCE,"Prevent semantic equivalence between empirical, conceptual, narrative-review and opinion evidence.",Pilot 01 full text and JATS article type
EV-0425,appraisal_state,appraisal_complete_ai=YES,AI_APPRAISAL_COMPLETE_PROVISIONAL=YES; HUMAN_APPRAISAL_CONFIRMED=blank,Remove ambiguity between AI completion and human confirmation.,Corrective prompt requirement
