claim_id,wave,human_status,reviewer_name,reviewer_role,adjudication_date,decision,rationale,required_edit,confidence,conflict_of_interest,signature_confirmation,ai_recommendation,second_reviewer_required
BR-CLM-001,WAVE 1,PENDING_HUMAN_ADJUDICATION,,,,,,,,,,APPROVE_WITH_EDIT,NO
BR-CLM-002,WAVE 1,PENDING_HUMAN_ADJUDICATION,,,,,,,,,,APPROVE_WITH_EDIT,NO
BR-CLM-003,WAVE 1,PENDING_HUMAN_ADJUDICATION,,,,,,,,,,APPROVE_WITH_EDIT,YES
BR-CLM-004,WAVE 1,PENDING_HUMAN_ADJUDICATION,,,,,,,,,,APPROVE_WITH_EDIT,YES
BR-CLM-005,WAVE 1,PENDING_HUMAN_ADJUDICATION,,,,,,,,,,APPROVE_AS_WRITTEN,YES
BR-CLM-006,WAVE 1,PENDING_HUMAN_ADJUDICATION,,,,,,,,,,APPROVE_WITH_EDIT,YES
BR-CLM-007,WAVE 1,PENDING_HUMAN_ADJUDICATION,,,,,,,,,,APPROVE_AS_WRITTEN,NO
BR-CLM-008,WAVE 1,PENDING_HUMAN_ADJUDICATION,,,,,,,,,,APPROVE_WITH_EDIT,NO
BR-CLM-009,WAVE 1,PENDING_HUMAN_ADJUDICATION,,,,,,,,,,APPROVE_WITH_EDIT,NO
BR-CLM-010,WAVE 1,PENDING_HUMAN_ADJUDICATION,,,,,,,,,,DOWNGRADE_TO_CONTEXT,YES
BR-CLM-011,WAVE 1,PENDING_HUMAN_ADJUDICATION,,,,,,,,,,APPROVE_WITH_EDIT,YES
