pilot_order,evidence_id,pmid,doi,pmcid,zotero_key,title,authors,journal,year,volume,issue,pages_or_elocation,full_text_source,lawful_access,full_text_obtained,identity_status,version_status,article_type_jats,integrity_status,integrity_detail,eligibility_full_text,country_context,population,design,evidence_origin,evidence_class,appraisal_tool,appraisal_version,appraisal_type,extraction,result,exact_evidence_location,supported_claims,unsupported_claims,transferability_limits,appraisal_summary,original_data,empirical_effect_estimate,appraisal_complete_ai_provisional,global_quality_score,extraction_complete,exact_location_complete,boundary_complete,transferability_complete,editorial_hold,human_reviewer,human_review_date,human_decision,human_justification,human_confirmation,claim_ready,record_status
1,EV-0629,36747268,10.1186/s13722-023-00363-4,PMC9902242,LCFHG7J2,Implementation of an integrated infectious disease and substance use disorder team for injection drug use-associated infections: a qualitative study,Belén Hervera; Grace Seo; Tyler S. Bartholomew; Teresa A. Chueng; Edward Suarez; David W. Forrest; Salma Hernandez; Allan E. Rodriguez; Hansel E. Tookes; Susanne Doblecki-Lewis; David P. Serota,Addiction Science & Clinical Practice,2023,18,,8,https://pmc.ncbi.nlm.nih.gov/articles/PMC9902242/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,"Miami, Florida, United States; public academic hospital and syringe service program",15 interviews: 8 clinicians and 7 patients with injection-drug-use-associated infections; 3 patients exposed to the SIRI team,"qualitative implementation study using purposive sampling, semi-structured interviews and CFIR-guided content analysis",EMPIRICAL,QUALITATIVE_EVIDENCE,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,"Clinicians and patients described multidisciplinary expertise, advocacy and continuity as facilitators, and role ambiguity, workload, stigma and resource constraints as barriers to implementing the integrated SIRI team.",Fifteen interviews generated CFIR-organized barriers and facilitators; the article reports perceptions during the first eight months and no effectiveness estimate.,Study design and procedures P1; Study setting and participants P1; Data collection and analysis P1; Results P1; Table 2; Table 3; Discussion; Conclusions,"In this early single-site sample, interviewed clinicians and patients identified specific barriers and facilitators to implementing an integrated infectious-disease and substance-use-disorder team.","The interviews do not establish reduced readmission, infection cure, treatment retention, mortality benefit or causal effectiveness of the SIRI team.","One US safety-net academic system, small purposive sample, only three exposed patients and a local syringe-service partnership limit transfer to Brazilian public safety.","AI-provisional JBI qualitative appraisal: congruent qualitative approach, double coding, ethics and participant quotations; limited reflexivity and small early-implementation sample constrain inference.",YES,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
2,EV-0592,37326779,10.1007/s10552-023-01732-9,PMC10689544,C3CAQKDL,Supporting implementation science and health equity in cancer prevention and control through research networks,Prajakta Adsul; Stephanie B. Wheeler; Alexa L. Young; Rebecca J. Lee; Heather M. Brandt,Cancer Causes & Control,2023,34,Suppl 1,35,https://pmc.ncbi.nlm.nih.gov/articles/PMC10689544/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,United States; national Cancer Prevention and Control Research Network,"22 current or former network leaders, investigators, staff, federal partners and academic/community affiliates","qualitative brief report using convenience sampling, semi-structured interviews and constructivist thematic analysis",EMPIRICAL,QUALITATIVE_EVIDENCE,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,"Participants described a longstanding disparities focus, newer explicit health-equity structures, and needs for workforce diversity and cross-network collaboration.",Twenty-two interviews produced four themes about the network's evolution and future health-equity priorities; findings are perceptions of involved members.,Methods P1; Results P1; Themes 1-4; Table 1; Discussion P1-P4; Conclusion P1,Interviewed network participants perceived a longstanding disparities focus and identified organizational actions and remaining needs for health equity.,"The study does not demonstrate that the network improved equity, cancer outcomes or population access, or that its model transfers to public safety.","Convenience sample of engaged US cancer-research network members, modest N and likely self-selection; no operational public-safety setting.","AI-provisional JBI qualitative appraisal: question, thematic approach and illustrative quotations are coherent, but methods are partly reported elsewhere and reflexivity is limited.",YES,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
3,EV-0515,38233933,10.1186/s13011-023-00590-7,PMC10795311,FV2SE2HG,Planning and implementing community-based drug checking services in Scotland: a qualitative exploration using the consolidated framework for implementation research,Danilo Falzon; Hannah Carver; Wendy Masterton; Bruce Wallace; Harry Sumnall; Fiona Measham; Vicki Craik; Rosalind Gittins; Elizabeth V. Aston; Kira Watson; Carole Hunter; Saket Priyadarshi; Tessa Parkes,"Substance Abuse Treatment, Prevention, and Policy",2024,19,,7,https://pmc.ncbi.nlm.nih.gov/articles/PMC10795311/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,"Aberdeen, Glasgow and Dundee, Scotland; planned community drug-checking services","43 interviews: 27 professionals, 11 people with recent drug use and 5 family members; implementation meeting notes","qualitative implementation study using interviews, meeting notes and hybrid inductive-deductive CFIR analysis",EMPIRICAL,QUALITATIVE_EVIDENCE,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,"Participants supported low-threshold trusted services and identified confidentiality, rapid testing, harm-reduction links, public attitudes, policing and stakeholder communication as implementation conditions.","Forty-three interviews and implementation notes generated nine constructs/themes across all five CFIR domains; results describe anticipated implementation, not service outcomes.",Methods P1-P7; Results P1-P4; Tables 1-3; Discussion; Conclusions,"These Scottish stakeholders identified design, organizational, policing and community conditions they considered relevant to planned drug-checking services.","The study does not establish uptake, analytical accuracy, behavior change, overdose prevention or effectiveness of a service not yet operational.","Scottish legal, health and harm-reduction context; overwhelmingly White sample; anticipated rather than observed implementation.","AI-provisional JBI qualitative appraisal: explicit eligibility, reflexive diary, dual coding, triangulation and lived-experience checking; anticipated implementation and sampling limit transferability.",YES,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
4,EV-0439,39119394,10.7759/cureus.64132,PMC11307241,AGAPQVEJ,Evaluation of Current and Future Medical Staff Knowledge on the Course of Trauma Patient Management,Anna Dąbrowska; Wiktoria Malik; Dorota Czachor; Weronika Jarych; Anna Wściślak; Zuzanna Świąder; Łucja Komisarczyk; Piotr Pałczyński,Cureus,2024,16,7,e64132,https://pmc.ncbi.nlm.nih.gov/articles/PMC11307241/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,"Poland; medical, nursing and emergency-medical-service students and professionals recruited online","295 respondents; 56.9% women, 59.3% under 25 and 60% students",analytical cross-sectional voluntary survey using a proprietary 47-question trauma-knowledge instrument and unadjusted group comparisons,EMPIRICAL,QUANTITATIVE_EVIDENCE,JBI Analytical Cross Sectional Studies,revised 2026 tool,RISK_OF_BIAS_APPRAISAL,Trauma-knowledge scores were described and compared across student/professional groups and prior course participation using nonparametric and chi-square tests.,"Mean score was 63/117; paramedics averaged 78, doctors 73 and nurses 57. Prior-course participants averaged 77 versus 65 without a course (p<0.001); comparisons were unadjusted.",Materials and methods P1-P5; Results P1-P7; Figure 1; Discussion P1-P9; Conclusions P1,"Within this self-selected sample, knowledge scores differed across professional/education groups and by reported prior trauma-course participation.","The cross-sectional unadjusted comparisons do not show that courses caused higher knowledge, validate the proprietary test, measure practical competence or predict patient outcomes.","Voluntary social-media sample, proprietary instrument, no response denominator or confounder control, Polish curricula and civilian medical context.","AI-provisional revised JBI analytical cross-sectional appraisal: eligibility and statistics are reported, but selection, instrument validity and uncontrolled confounding limit associations.",YES,YES,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
5,EV-0405,39425094,10.1186/s12889-024-20336-9,PMC11490149,N3LQZTNN,The decriminalization of illicit drugs in British Columbia: a national evaluation protocol,Cayley Russell; Farihah Ali; Sameer Imtiaz; Amanda Butler; Alissa Greer; Jürgen Rehm; the Decriminalization Evaluation Research GroupBardwellGeoff BonnMatthewBoydJadeBruneauJulieCostelloJeanCrichlowFrankCrépaultJean-François DegenhardtLouisaElton-MarshallTara FerenczSarah GomesTara GoulãoJoão Castel-Branco GriffithsPaul NHickmanMatthewHodginsDavid C. HodgsonKateHyshkaElaineLe FollBernardLinklaterRennieLockKurtPatenaudeSeanMackinnonLaura M. McLuckieTaijaMitraSanjanaNurseMichaelSedgemoreKali-oltShahinRitaSmithWayne M.StewartSherry H.WerbDanXavierJessica C.,BMC Public Health,2024,24,,2879,https://pmc.ncbi.nlm.nih.gov/articles/PMC11490149/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,"British Columbia, Canada; national independent evaluation of illicit-drug decriminalization","Protocol covering people who use drugs, police/criminal justice, general public, health services and economic systems; no outcome sample yet","prospective multi-study observational evaluation protocol with eight qualitative, quantitative and mixed-methods substudies",NON_EMPIRICAL_PROTOCOL,STUDY_PROTOCOL_EVIDENCE,Protocol Methods Completeness Check,Pilot 03 controlled schema v1; non-scored,REPORTING_COMPLETENESS_CHECK,"The protocol specifies stakeholder engagement, a logic model, eight linked substudies, five domains, data integration and anticipated confounding from concurrent policy changes and data limitations.",No study results are reported; this record contributes prospective methods and an evaluation architecture only.,Methods P1; Stakeholder engagement P1-P6; Logic model and evaluation design P1-P2; Figures 2-3; five domain sections; Challenges & limitations P1-P5,"The protocol documents the planned scope, logic model, stakeholder structure and methodological challenges of evaluating British Columbia's policy.","It cannot establish any public-health, policing, economic or causal effect because outcomes have not yet been reported.","Canadian legal and health-system policy, changing possession rules, concurrent initiatives and future data availability; no Brazilian results.","AI-provisional non-scored protocol completeness check: objectives, logic model, substudies, integration and anticipated limitations are explicit; no outcome or risk-of-bias conclusion is possible.",NO,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
6,EV-0335,40156033,10.1186/s12954-025-01193-0,PMC11951663,RALPHKM3,"“I don’t let anybody die on my watch”: perspectives on the intersection of community overdose response and emergency medical services among people who use drugs in Seattle, WA",Courteney Wettemann; David L. Perlmutter; Tessa Frohe; Taylor Ryan; Grover “Will” Williams; Nathan Holland; Rachel Rourke; Robert Pitcher; Callan Elswick Fockele; Brenda Goh; Germaine Billingsley; Jenna van Draanen,Harm Reduction Journal,2025,22,,43,https://pmc.ncbi.nlm.nih.gov/articles/PMC11951663/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,"Seattle, Washington, United States; syringe-service and mobile medical sites",13 adults with opioid-use experience and an EMS interaction in the prior 12 months,"community-engaged qualitative study using convenience sampling, semi-structured interviews and hybrid CFIR-informed thematic analysis",EMPIRICAL,QUALITATIVE_EVIDENCE,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,"Participants described peer responsibility and competence in overdose response, weighed benefits and harms of EMS involvement, and identified fear of police response as a deterrent to calling EMS.","Thirteen interviews generated three themes about peer overdose response, EMS decisions and police-related fear; findings reflect participant experience and perceptions.",Community engagement P1; Data collection P1-P3; Data analysis P1; Results P1-P4; Table 1; Table 2; Limitations P1,"In this convenience sample, participants described active peer overdose-response roles and police-response fears that influenced decisions about contacting EMS.","The study does not estimate how often EMS is avoided, quantify police effects, establish overdose outcomes or represent people outside participating harm-reduction sites.",Small self-selected Seattle sample with access to well-resourced legal harm reduction and local police/EMS arrangements.,"AI-provisional JBI qualitative appraisal: community co-production, saturation, dual coding, ethics and quotations are reported; convenience recruitment and setting limit transferability.",YES,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
7,EV-0316,40406195,10.1177/10986111241265290,PMC12094109,IPT4R6IA,Using Implementation Science to Improve Evidence-Based Policing: An Introduction for Researchers and Practitioners,Brandon del Pozo; Steven Belenko; Ekaterina Pivovarova; Bradley Ray; Kaitlin F. Martins; Faye S. Taxman,Police quarterly,2025,28,2,182,https://pmc.ncbi.nlm.nih.gov/articles/PMC12094109/,YES,YES,MATCH_CONFIRMED,AUTHOR_ACCEPTED_MANUSCRIPT,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,United States policing; conceptual orientation to implementation science,"Published literature, frameworks and illustrative policing cases; no participant sample",narrative review and conceptual practice orientation without a systematic review protocol,NON_EMPIRICAL,NARRATIVE_REVIEW_EVIDENCE,SANRA,2019; six-item scale used domain-by-domain without global score,METHODOLOGICAL_QUALITY_APPRAISAL,"The article maps implementation-science concepts, CFIR and EPIS frameworks, hybrid trials and de-implementation to evidence-based policing and proposes a research/practice agenda.","A 2023 author/librarian search identified six policing publications, but the paper is an orientation and conceptual synthesis rather than an effect review.",Abstract; Introduction P1-P10; The State of Implementation Science in EBP P1-P8; Tables 1-3; framework and trial sections; Discussion P1-P6; Conclusion,The review provides a structured conceptual account of how implementation-science frameworks could inform policing research and practice.,"It does not demonstrate that CFIR, EPIS or any implementation strategy improves policing outcomes, legitimacy, safety or sustainability.","Predominantly US conceptual examples, non-systematic search and no empirical synthesis or Brazilian validation.","AI-provisional SANRA appraisal: aims, rationale and referencing are strong; search strategy is only briefly described and evidence selection is not systematic.",NO,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
8,EV-0282,40710431,10.3390/jpm15070314,PMC12298807,DSDH9DAX,"Integrating Telemedical Supervision, Responder Apps, and Data-Driven Triage: The RuralRescue Model of Personalized Emergency Care",Klaus Hahnenkamp; Steffen Flessa; Timm Laslo; Joachim Paul Hasebrook,Journal of Personalized Medicine,2025,15,7,314,https://pmc.ncbi.nlm.nih.gov/articles/PMC12298807/,YES,YES,MATCH_CONFIRMED,VERSION_OF_RECORD,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,"Western Pomerania, Germany; rural emergency medical services","Secondary integrated analysis of a regional project spanning lay CPR training, responder-app activation, tele-emergency physician support, economic modeling and workforce evaluation","mixed-methods secondary implementation evaluation with uncontrolled pre-post quantitative components, economic modeling and formative organizational evidence",EMPIRICAL_SECONDARY_ANALYSIS,MIXED_METHODS_EVIDENCE,MMAT,2018; screening + qualitative + non-randomized quantitative + mixed-methods domains,METHODOLOGICAL_QUALITY_APPRAISAL,"The article integrates clinical/operational, economic and work-system findings across three implemented pillars and explicitly frames results as a secondary personalized-medicine analysis.","Reported examples include 3.96 tele-emergency cases/day, >90% idle time for a single district, and modeled cost reduction from EUR 696,949 per unit to EUR 57,300 per district in a 20-district centralized scenario; causal attribution is limited.",2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,"This secondary project analysis reports operational, economic-model and organizational findings from the RuralRescue implementation.","The uncontrolled evaluation and modeled scenarios do not establish causal clinical benefit, mortality reduction, realized regional savings or superiority over alternative systems.","German EMS financing, rural geography, dispatcher infrastructure and telemedicine regulation differ materially from Brazilian public-safety and health systems.","AI-provisional full MMAT: multiple components are integrated around an implementation question, but secondary reporting, no control, self-selection and incompletely controlled confounding constrain inference.",YES,YES,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
9,EV-0252,40979841,10.1080/15614263.2025.2512806,PMC12448121,CGBGDU6Y,Why innovations in policing don’t work or don’t translate: An implementation science survey of US police leaders,Brandon del Pozo; Rose E. Nevill; Javier Cepeda; Ian T. Adams; Alina Whiteside; Erin Thompson,Police practice & research : an international journal,2025,,,10.1080/15614263.2025.2512806,https://pmc.ncbi.nlm.nih.gov/articles/PMC12448121/,YES,YES,MATCH_CONFIRMED,AUTHOR_ACCEPTED_MANUSCRIPT,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,United States; police leadership conferences and academy cohorts,"72 law-enforcement executives, senior staff and a small number of experienced police researchers",quantitative descriptive convenience survey with 31 investigator/executive-derived CFIR items and exploratory bivariate correlations,EMPIRICAL,QUANTITATIVE_EVIDENCE,MMAT Quantitative Descriptive,2018; screening + criteria 4.1-4.5,METHODOLOGICAL_QUALITY_APPRAISAL,Respondents rated organizational and community determinants of innovation implementation; analyses were descriptive with exploratory construct correlations.,"Seventy-two respondents completed the instrument with 46/2,232 item responses missing (2.0%); response rate could not be computed and results describe this selected leadership sample.",Study population P1; Survey development and measures P1-P3; Results P1-P3; Table 3; Table 4; Exploratory bivariate associations; Limitations P1-P2,"In this selected US leadership sample, respondents rated several CFIR-aligned implementation determinants as salient and provided descriptive priorities for future research.","The survey does not establish prevalence across US policing, causal determinants of implementation success, innovation effectiveness or transferability to Brazil.","Convenience sample from change-oriented venues, no computable response rate, novel closed-form instrument, senior US leadership perspective and limited rank-and-file input.","AI-provisional MMAT quantitative-descriptive appraisal: measures and descriptive analysis are traceable, but convenience sampling, unknown response rate and uncertain instrument validation limit representativeness.",YES,NO,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
10,EV-0167,41537090,10.1007/s11292-025-09711-7,PMC12798756,X6PMUAYB,Does automated feedback impact the acceptability of AI-generated police body worn camera review? An implementation science natural experiment,Seth Watts; Brandon del Pozo; Michael D. White; Aili Malm,Journal of experimental criminology,2025,,,10.1007/s11292-025-09711-7,https://pmc.ncbi.nlm.nih.gov/articles/PMC12798756/,YES,YES,MATCH_CONFIRMED,AUTHOR_ACCEPTED_MANUSCRIPT,research-article,INTEGRITY_CLEAR,"No correction, retraction, update or expression-of-concern relation in current PubMed XML; absence is not absolute proof.",RETAIN_FOR_HUMAN_CONFIRMATION,"Two mid-sized police departments in Arizona, United States","84 anonymous frontline responses: 43 in AJPD and 41 in CGPD, collected about five months into parallel RCT deployments","natural experiment comparing departments with versus without automated positive-feedback email, using cross-sectional surveys, adjusted ordered-logit and instrumental-variable models",EMPIRICAL,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,"The study compared acceptability, appropriateness and feasibility perceptions between two departments and modeled reported receipt of automated feedback using department assignment as an instrument.",Adjusted probability of agreeing Truleo was appropriate was 21.7 percentage points higher in CGPD (p=.011); acceptability was 14.5 points higher (p=.054) and feasibility was not significant. IV coefficients were 1.226 (p=.042) and 1.428 (p=.030) for acceptability and appropriateness.,Setting P1-P3; Data collection P1; Analytical sample and plan P1-P24; Sample characteristics P1-P3; Tables 1-4; Discussion P1-P9; Limitations P1-P2; Conclusion P1,"In these two departments, officers in the department with automated feedback reported higher appropriateness and the adjusted and IV analyses found positive associations for selected perception outcomes.","The study does not establish improved officer behavior, public safety, accountability, technology accuracy or general effects across agencies; department assignment was not randomized for this comparison.","Two Arizona agencies, voluntary cross-sectional perceptions, no baseline primary outcomes, possible department confounding, exposure misclassification and borderline instrument strength.","AI-provisional JBI quasi-experimental appraisal: temporal implementation contrast and adjusted analyses support cautious inference, but no randomized department allocation, no baseline outcomes and residual confounding remain.",YES,YES,YES,NOT_CALCULATED,YES,YES,YES,YES,NO,,,,,,NO,HUMAN_REVIEW_REQUIRED
