evidence_id,pmid,article_identity,doi_identity,pmcid_identity,duplicate_exclusion,version_classification,design_classification,tool_compatibility,appraisal_completeness,denominator_traceability,outcome_traceability,table_figure_interpretation,causal_boundary,geographic_boundary,empirical_classification,aam_not_silent_vor,human_gate_fail_closed,record_gate,finding,overall
EV-0367,39808097,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The study does not establish screening effectiveness, diagnostic accuracy, patient-safety benefit, adoption rates or generalizability to other emergency departments.",PASS
EV-0176,41492854,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The study does not estimate treatment effectiveness, retention, overdose reduction, causal benefit or experiences of people unable to access the service.",PASS
EV-0171,41520119,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The study does not establish service-linkage effectiveness, cost-effectiveness, reduced reincarceration or client outcomes.",PASS
EV-0160,41626406,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"It does not establish reductions in overdose or infection, causal community benefit, effectiveness of individual activities or sustainability across settings.",PASS
EV-0157,41673910,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The study does not show that drug checking reduces overdose, quantify adoption nationally or establish partnership effectiveness.",PASS
EV-0091,42196761,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The study does not establish that the Standard or training caused the changes, reduced costs, prevented illness or will reproduce in other organizations.",PASS
EV-1328,19947877,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The uncontrolled evaluation does not establish clinical performance, casualty outcomes, long-term retention or superiority to another course.",PASS
EV-0896,32191195,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The study does not prove real-event mortality benefit, durable skill retention, population effectiveness or equivalence to professional EMS.",PASS
EV-0791,33909512,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,The uncontrolled comparison does not establish that Community-FIT caused the reductions or that the effect will generalize to other communities.,PASS
EV-0723,35120531,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"It does not establish drug-checking effectiveness, overdose prevention, causal effects of policing or generalizability beyond the site.",PASS
